capture,class,take,sample_id,quad_source,mask_backend,shape_frac,mask
teleop_candle_01,candle,01,,4tag,sam2-points,0.191,Teleops/source/teleop_set2/masks/teleop_candle_01_mask.png
teleop_crab_01,crab,01,,4tag,sam2-points,0.1877,Teleops/source/teleop_set2/masks/teleop_crab_01_mask.png
teleop_groot_01,groot,01,,4tag,sam2-points,0.2221,Teleops/source/teleop_set2/masks/teleop_groot_01_mask.png
teleop_hand_01,hand,01,,4tag,sam2-points,0.1395,Teleops/source/teleop_set2/masks/teleop_hand_01_mask.png
teleop_hand_02,hand,02,,4tag,sam2-points,0.1417,Teleops/source/teleop_set2/masks/teleop_hand_02_mask.png
teleop_hollowsquare_01,hollowsquare,01,,3tag-inferred,sam2-points,0.168,Teleops/source/teleop_set2/masks/teleop_hollowsquare_01_mask.png
teleop_lightening_01,lightening,01,,4tag,sam2-points,0.1584,Teleops/source/teleop_set2/masks/teleop_lightening_01_mask.png
teleop_lightening_02,lightening,02,,4tag,sam2-points,0.175,Teleops/source/teleop_set2/masks/teleop_lightening_02_mask.png
teleop_lowerd_01,lowerd,01,,4tag,sam2-points,0.1873,Teleops/source/teleop_set2/masks/teleop_lowerd_01_mask.png
teleop_pencil_01,pencil,01,,4tag,sam2-points,0.1237,Teleops/source/teleop_set2/masks/teleop_pencil_01_mask.png
teleop_seagull_01,seagull,01,,4tag,sam2-points,0.1333,Teleops/source/teleop_set2/masks/teleop_seagull_01_mask.png
teleop_sneak_01,sneak,01,,3tag-inferred,sam2-points,0.2229,Teleops/source/teleop_set2/masks/teleop_sneak_01_mask.png
teleop_sneak_02,sneak,02,,4tag,sam2-points,0.2177,Teleops/source/teleop_set2/masks/teleop_sneak_02_mask.png
teleop_tank_01,tank,01,,4tag,sam2-points,0.131,Teleops/source/teleop_set2/masks/teleop_tank_01_mask.png
teleop_upperc_01,upperc,01,,4tag,sam2-points,0.1874,Teleops/source/teleop_set2/masks/teleop_upperc_01_mask.png
teleop_uppere_01,uppere,01,,4tag,sam2-points,0.1601,Teleops/source/teleop_set2/masks/teleop_uppere_01_mask.png
teleop_upperf_01,upperf,01,,4tag,sam2-points,0.1416,Teleops/source/teleop_set2/masks/teleop_upperf_01_mask.png
teleop_upperg_01,upperg,01,,4tag,sam2-points,0.1382,Teleops/source/teleop_set2/masks/teleop_upperg_01_mask.png
teleop_upperh_01,upperh,01,,4tag,sam2-points,0.2012,Teleops/source/teleop_set2/masks/teleop_upperh_01_mask.png
teleop_upperi_01,upperi,01,,4tag,sam2-points,0.0877,Teleops/source/teleop_set2/masks/teleop_upperi_01_mask.png
teleop_upperk_01,upperk,01,,3tag-inferred,sam2-points,0.1788,Teleops/source/teleop_set2/masks/teleop_upperk_01_mask.png
teleop_upperk_03,upperk,03,,3tag-inferred,sam2-points,0.1817,Teleops/source/teleop_set2/masks/teleop_upperk_03_mask.png
teleop_upperk_04,upperk,04,,3tag-inferred,sam2-points,0.1711,Teleops/source/teleop_set2/masks/teleop_upperk_04_mask.png
teleop_upperm_01,upperm,01,,4tag,sam2-points,0.1866,Teleops/source/teleop_set2/masks/teleop_upperm_01_mask.png
teleop_upperp_01,upperp,01,,4tag,sam2-points,0.1227,Teleops/source/teleop_set2/masks/teleop_upperp_01_mask.png
teleop_uppery_01,uppery,01,,4tag,sam2-points,0.1334,Teleops/source/teleop_set2/masks/teleop_uppery_01_mask.png
teleop_uppery_02,uppery,02,,4tag,sam2-points,0.1037,Teleops/source/teleop_set2/masks/teleop_uppery_02_mask.png
teleop_whale_01,whale,01,,4tag,sam2-points,0.1276,Teleops/source/teleop_set2/masks/teleop_whale_01_mask.png
teleop_wrench_01,wrench,01,,3tag-inferred,sam2-points,0.1277,Teleops/source/teleop_set2/masks/teleop_wrench_01_mask.png
teleop_wrench_02,wrench,02,,3tag-inferred,sam2-points,0.1249,Teleops/source/teleop_set2/masks/teleop_wrench_02_mask.png
teleop_wrench_03,wrench,03,,4tag,sam2-points,0.1244,Teleops/source/teleop_set2/masks/teleop_wrench_03_mask.png
