mask,roughness_before,roughness_after,area_before,area_after,cc_before,cc_after
f0001_I_mask.png,1.701,1.675,54067,54050,1,1
f0006_I_mask.png,1.699,1.677,54081,54058,1,1
f0011_I_mask.png,1.745,1.724,58443,58419,1,1
f0016_I_mask.png,1.786,1.765,62600,62599,1,1
f0021_I_mask.png,1.841,1.813,66528,66506,1,1
f0026_I_mask.png,1.892,1.872,69974,69953,1,1
f0031_I_mask.png,1.9,1.88,77548,77534,1,1
f0036_I_mask.png,1.92,1.897,81234,81219,1,1
f0041_I_mask.png,1.962,1.93,85538,85523,1,1
f0046_I_mask.png,1.961,1.93,85505,85477,1,1
f0102_F_mask.png,1.896,1.877,101863,101832,1,1
f0107_F_mask.png,1.862,1.845,105720,105714,1,1
f0112_F_mask.png,1.862,1.85,109952,109944,1,1
f0117_F_mask.png,1.899,1.887,110752,110741,1,1
f0122_F_mask.png,1.931,1.914,108809,108772,1,1
f0127_F_mask.png,1.919,1.897,105881,105866,1,1
f0132_F_mask.png,1.938,1.922,105602,105583,1,1
f0137_F_mask.png,1.956,1.933,104922,104906,1,1
f0142_F_mask.png,1.972,1.952,104117,104094,1,1
f0147_F_mask.png,1.96,1.948,101755,101729,1,1
f0152_F_mask.png,1.956,1.946,102152,102132,1,1
f0157_F_mask.png,1.963,1.948,101895,101868,1,1
f0162_F_mask.png,1.948,1.933,104062,104036,1,1
f0167_F_mask.png,1.956,1.94,105159,105144,1,1
f0172_F_mask.png,1.794,1.785,104650,104632,1,1
f0177_F_mask.png,1.791,1.771,101176,101154,1,1
f0182_F_mask.png,1.722,1.696,107354,109168,1,1
f0187_F_mask.png,1.732,1.644,106836,116436,1,1
f0192_F_mask.png,2.298,2.279,109202,109188,1,1
f0197_F_mask.png,2.333,2.309,109110,109093,1,1
f0202_F_mask.png,2.338,2.315,108730,108703,1,1
f0224_F_mask.png,2.46,2.426,78309,78262,1,1
f0229_F_mask.png,2.406,2.384,78268,78237,1,1
f0234_F_mask.png,2.389,2.369,78091,78063,1,1
f0239_F_mask.png,2.401,2.376,79482,79464,1,1
f0244_F_mask.png,2.45,2.413,79934,79882,1,1
f0249_F_mask.png,2.432,2.403,81655,81634,1,1
f0254_F_mask.png,2.475,2.448,77059,77047,1,1
f0259_F_mask.png,2.424,2.392,77948,77932,1,1
f0259_I_mask.png,2.459,2.157,58206,57633,4,1
f0264_F_mask.png,2.391,2.36,78024,78008,1,1
f0264_I_mask.png,2.105,1.957,62187,61842,3,1
f0269_F_mask.png,2.408,2.371,79188,79159,1,1
f0269_I_mask.png,1.984,1.962,65057,65020,1,1
f0274_F_mask.png,2.445,2.412,79341,79329,1,1
f0274_I_mask.png,1.984,1.968,64862,64844,1,1
f0279_F_mask.png,2.46,2.419,80168,80131,2,1
f0279_I_mask.png,1.987,1.944,66249,66219,3,1
f0284_F_mask.png,2.493,2.448,78962,78958,1,1
f0284_I_mask.png,1.96,1.94,66540,66529,1,1
f0289_F_mask.png,2.502,2.45,79324,79284,1,1
f0289_I_mask.png,1.964,1.935,67078,67057,1,1
f0294_F_mask.png,2.611,2.566,76565,76552,1,1
f0294_I_mask.png,1.963,1.932,67264,67249,1,1
f0299_F_mask.png,2.467,2.432,86426,86386,1,1
f0299_I_mask.png,1.968,1.937,67046,67031,1,1
f0304_F_mask.png,2.476,2.393,85745,85769,1,1
f0304_I_mask.png,1.973,1.954,63807,63777,2,1
f0309_F_mask.png,2.243,2.202,86073,86059,1,1
f0309_I_mask.png,2.009,1.96,63704,63666,2,1
f0314_F_mask.png,1.845,1.759,85948,91048,1,1
f0314_I_mask.png,2.014,1.985,61637,61605,1,1
f0319_F_mask.png,1.81,1.751,87062,89987,1,1
f0319_I_mask.png,2.012,1.989,61187,61161,1,1
f0324_F_mask.png,1.811,1.758,85525,88013,1,1
f0324_I_mask.png,2.015,1.988,61237,61213,1,1
f0329_F_mask.png,1.814,1.763,85392,87867,1,1
f0329_I_mask.png,1.993,1.972,63563,63527,1,1
f0334_F_mask.png,1.813,1.759,85172,87723,1,1
f0334_I_mask.png,2.022,1.971,63513,63495,1,1
f0339_F_mask.png,1.816,1.764,85080,87671,1,1
f0339_I_mask.png,2.041,1.979,61996,61974,1,1
f0418_M_mask.png,2.088,2.063,143279,143247,1,1
f0423_M_mask.png,2.085,2.064,143178,143135,1,1
