frame_id,scene,letter,x,y,w,h,area,score,cutout,mask
f0001,scene_01,I,888,528,201,421,54067,0.975,by_frame\f0001\f0001_I.png,by_frame\f0001\f0001_I_mask.png
f0006,scene_01,I,888,528,201,421,54081,0.9826,by_frame\f0006\f0006_I.png,by_frame\f0006\f0006_I_mask.png
f0011,scene_01,I,882,491,211,455,58443,0.9847,by_frame\f0011\f0011_I.png,by_frame\f0011\f0011_I_mask.png
f0016,scene_01,I,876,453,223,493,62600,0.9841,by_frame\f0016\f0016_I.png,by_frame\f0016\f0016_I_mask.png
f0021,scene_01,I,870,411,237,532,66528,0.9683,by_frame\f0021\f0021_I.png,by_frame\f0021\f0021_I_mask.png
f0026,scene_01,I,861,383,251,560,69974,0.9688,by_frame\f0026\f0026_I.png,by_frame\f0026\f0026_I_mask.png
f0031,scene_01,I,850,343,272,601,77548,0.9669,by_frame\f0031\f0031_I.png,by_frame\f0031\f0031_I_mask.png
f0036,scene_01,I,839,323,286,625,81234,0.9743,by_frame\f0036\f0036_I.png,by_frame\f0036\f0036_I_mask.png
f0041,scene_01,I,835,304,304,647,85538,0.986,by_frame\f0041\f0041_I.png,by_frame\f0041\f0041_I_mask.png
f0046,scene_01,I,835,304,304,647,85505,0.9869,by_frame\f0046\f0046_I.png,by_frame\f0046\f0046_I_mask.png
f0102,scene_02,F,836,348,344,626,101863,0.9832,by_frame\f0102\f0102_F.png,by_frame\f0102\f0102_F_mask.png
f0107,scene_02,F,848,357,354,613,105720,0.9885,by_frame\f0107\f0107_F.png,by_frame\f0107\f0107_F_mask.png
f0112,scene_02,F,861,370,382,599,109952,0.988,by_frame\f0112\f0112_F.png,by_frame\f0112\f0112_F_mask.png
f0117,scene_02,F,863,360,403,605,110752,0.9879,by_frame\f0117\f0117_F.png,by_frame\f0117\f0117_F_mask.png
f0122,scene_02,F,863,359,413,605,108809,0.9881,by_frame\f0122\f0122_F.png,by_frame\f0122\f0122_F_mask.png
f0127,scene_02,F,871,379,411,588,105881,0.9876,by_frame\f0127\f0127_F.png,by_frame\f0127\f0127_F_mask.png
f0132,scene_02,F,866,389,421,573,105602,0.9884,by_frame\f0132\f0132_F.png,by_frame\f0132\f0132_F_mask.png
f0137,scene_02,F,860,389,425,570,104922,0.9884,by_frame\f0137\f0137_F.png,by_frame\f0137\f0137_F_mask.png
f0142,scene_02,F,852,399,427,565,104117,0.9822,by_frame\f0142\f0142_F.png,by_frame\f0142\f0142_F_mask.png
f0147,scene_02,F,854,399,416,566,101755,0.9828,by_frame\f0147\f0147_F.png,by_frame\f0147\f0147_F_mask.png
f0152,scene_02,F,854,398,417,567,102152,0.9876,by_frame\f0152\f0152_F.png,by_frame\f0152\f0152_F_mask.png
f0157,scene_02,F,854,399,417,566,101895,0.9836,by_frame\f0157\f0157_F.png,by_frame\f0157\f0157_F_mask.png
f0162,scene_02,F,853,398,411,564,104062,0.9842,by_frame\f0162\f0162_F.png,by_frame\f0162\f0162_F_mask.png
f0167,scene_02,F,854,391,406,572,105159,0.9811,by_frame\f0167\f0167_F.png,by_frame\f0167\f0167_F_mask.png
f0172,scene_02,F,859,396,388,571,104650,0.9827,by_frame\f0172\f0172_F.png,by_frame\f0172\f0172_F_mask.png
f0177,scene_02,F,856,388,372,578,101176,0.9858,by_frame\f0177\f0177_F.png,by_frame\f0177\f0177_F_mask.png
f0182,scene_02,F,856,390,380,579,107354,0.9663,by_frame\f0182\f0182_F.png,by_frame\f0182\f0182_F_mask.png
f0187,scene_02,F,852,394,393,572,106836,0.9419,by_frame\f0187\f0187_F.png,by_frame\f0187\f0187_F_mask.png
f0192,scene_02,F,852,395,405,572,109202,0.9483,by_frame\f0192\f0192_F.png,by_frame\f0192\f0192_F_mask.png
f0197,scene_02,F,854,392,412,571,109110,0.9535,by_frame\f0197\f0197_F.png,by_frame\f0197\f0197_F_mask.png
f0202,scene_02,F,855,392,410,571,108730,0.9481,by_frame\f0202\f0202_F.png,by_frame\f0202\f0202_F_mask.png
f0224,scene_03,F,888,464,403,461,78309,0.9447,by_frame\f0224\f0224_F.png,by_frame\f0224\f0224_F_mask.png
f0229,scene_03,F,894,476,401,449,78268,0.9518,by_frame\f0229\f0229_F.png,by_frame\f0229\f0229_F_mask.png
f0234,scene_03,F,897,484,403,445,78091,0.9494,by_frame\f0234\f0234_F.png,by_frame\f0234\f0234_F_mask.png
f0239,scene_03,F,907,471,401,458,79482,0.9587,by_frame\f0239\f0239_F.png,by_frame\f0239\f0239_F_mask.png
f0244,scene_03,F,909,461,404,469,79934,0.9561,by_frame\f0244\f0244_F.png,by_frame\f0244\f0244_F_mask.png
f0249,scene_03,F,919,455,398,476,81655,0.9568,by_frame\f0249\f0249_F.png,by_frame\f0249\f0249_F_mask.png
f0254,scene_03,F,924,465,400,460,77059,0.9569,by_frame\f0254\f0254_F.png,by_frame\f0254\f0254_F_mask.png
f0259,scene_03,F,930,477,400,448,77948,0.9479,by_frame\f0259\f0259_F.png,by_frame\f0259\f0259_F_mask.png
f0259,scene_03,I,669,343,237,576,58206,0.8541,by_frame\f0259\f0259_I.png,by_frame\f0259\f0259_I_mask.png
f0264,scene_03,F,933,485,399,443,78024,0.9636,by_frame\f0264\f0264_F.png,by_frame\f0264\f0264_F_mask.png
f0264,scene_03,I,653,343,264,576,62187,0.9135,by_frame\f0264\f0264_I.png,by_frame\f0264\f0264_I_mask.png
f0269,scene_03,F,943,472,401,456,79188,0.9505,by_frame\f0269\f0269_F.png,by_frame\f0269\f0269_F_mask.png
f0269,scene_03,I,665,342,268,577,65057,0.9485,by_frame\f0269\f0269_I.png,by_frame\f0269\f0269_I_mask.png
f0274,scene_03,F,946,460,402,469,79341,0.9494,by_frame\f0274\f0274_F.png,by_frame\f0274\f0274_F_mask.png
f0274,scene_03,I,675,343,270,576,64862,0.9682,by_frame\f0274\f0274_I.png,by_frame\f0274\f0274_I_mask.png
f0279,scene_03,F,956,455,395,475,80168,0.9391,by_frame\f0279\f0279_F.png,by_frame\f0279\f0279_F_mask.png
