sequence_id,frame_idx,source,input,clip_rank,clip_rr,clip_top1,n_classes,chance_top1
family_ad_scene_01_I,0,optimizer,reassembled,37,0.027,0,49,0.0204
family_ad_scene_01_I,1,optimizer,reassembled,32,0.0312,0,49,0.0204
family_ad_scene_01_I,2,optimizer,reassembled,42,0.0238,0,49,0.0204
family_ad_scene_01_I,3,optimizer,reassembled,39,0.0256,0,49,0.0204
family_ad_scene_01_I,4,optimizer,reassembled,32,0.0312,0,49,0.0204
family_ad_scene_01_I,5,optimizer,reassembled,35,0.0286,0,49,0.0204
family_ad_scene_01_I,6,optimizer,reassembled,41,0.0244,0,49,0.0204
family_ad_scene_01_I,7,optimizer,reassembled,24,0.0417,0,49,0.0204
family_ad_scene_01_I,8,optimizer,reassembled,39,0.0256,0,49,0.0204
family_ad_scene_01_I,9,optimizer,reassembled,40,0.025,0,49,0.0204
family_ad_scene_01_I,0,,authored,42,0.0238,0,49,0.0204
family_ad_scene_01_I,1,,authored,43,0.0233,0,49,0.0204
family_ad_scene_01_I,2,,authored,41,0.0244,0,49,0.0204
family_ad_scene_01_I,3,,authored,41,0.0244,0,49,0.0204
family_ad_scene_01_I,4,,authored,42,0.0238,0,49,0.0204
family_ad_scene_01_I,5,,authored,42,0.0238,0,49,0.0204
family_ad_scene_01_I,6,,authored,42,0.0238,0,49,0.0204
family_ad_scene_01_I,7,,authored,42,0.0238,0,49,0.0204
family_ad_scene_01_I,8,,authored,42,0.0238,0,49,0.0204
family_ad_scene_01_I,9,,authored,42,0.0238,0,49,0.0204
family_ad_scene_01_I,,optimizer,reassembled,36.1,0.0284,0.0,49,0.0204
family_ad_scene_01_I,,,authored,41.9,0.0239,0.0,49,0.0204
family_ad_scene_02_F,0,optimizer,reassembled,1,1.0,1,49,0.0204
family_ad_scene_02_F,1,optimizer,reassembled,1,1.0,1,49,0.0204
family_ad_scene_02_F,2,optimizer,reassembled,1,1.0,1,49,0.0204
family_ad_scene_02_F,3,optimizer,reassembled,1,1.0,1,49,0.0204
family_ad_scene_02_F,4,optimizer,reassembled,3,0.3333,0,49,0.0204
family_ad_scene_02_F,5,optimizer,reassembled,5,0.2,0,49,0.0204
family_ad_scene_02_F,6,optimizer,reassembled,18,0.0556,0,49,0.0204
family_ad_scene_02_F,7,optimizer,reassembled,17,0.0588,0,49,0.0204
family_ad_scene_02_F,8,optimizer,reassembled,11,0.0909,0,49,0.0204
family_ad_scene_02_F,9,optimizer,reassembled,7,0.1429,0,49,0.0204
family_ad_scene_02_F,10,optimizer,reassembled,6,0.1667,0,49,0.0204
family_ad_scene_02_F,11,optimizer,reassembled,5,0.2,0,49,0.0204
family_ad_scene_02_F,12,optimizer,reassembled,8,0.125,0,49,0.0204
family_ad_scene_02_F,13,optimizer,reassembled,11,0.0909,0,49,0.0204
family_ad_scene_02_F,14,optimizer,reassembled,8,0.125,0,49,0.0204
family_ad_scene_02_F,15,optimizer,reassembled,11,0.0909,0,49,0.0204
family_ad_scene_02_F,16,optimizer,reassembled,11,0.0909,0,49,0.0204
family_ad_scene_02_F,17,optimizer,reassembled,12,0.0833,0,49,0.0204
family_ad_scene_02_F,18,optimizer,reassembled,7,0.1429,0,49,0.0204
family_ad_scene_02_F,19,optimizer,reassembled,4,0.25,0,49,0.0204
family_ad_scene_02_F,20,optimizer,reassembled,4,0.25,0,49,0.0204
family_ad_scene_02_F,0,,authored,2,0.5,0,49,0.0204
family_ad_scene_02_F,1,,authored,2,0.5,0,49,0.0204
family_ad_scene_02_F,2,,authored,1,1.0,1,49,0.0204
family_ad_scene_02_F,3,,authored,1,1.0,1,49,0.0204
family_ad_scene_02_F,4,,authored,2,0.5,0,49,0.0204
family_ad_scene_02_F,5,,authored,2,0.5,0,49,0.0204
family_ad_scene_02_F,6,,authored,2,0.5,0,49,0.0204
family_ad_scene_02_F,7,,authored,2,0.5,0,49,0.0204
family_ad_scene_02_F,8,,authored,2,0.5,0,49,0.0204
family_ad_scene_02_F,9,,authored,2,0.5,0,49,0.0204
family_ad_scene_02_F,10,,authored,4,0.25,0,49,0.0204
family_ad_scene_02_F,11,,authored,2,0.5,0,49,0.0204
family_ad_scene_02_F,12,,authored,2,0.5,0,49,0.0204
family_ad_scene_02_F,13,,authored,2,0.5,0,49,0.0204
family_ad_scene_02_F,14,,authored,2,0.5,0,49,0.0204
family_ad_scene_02_F,15,,authored,6,0.1667,0,49,0.0204
family_ad_scene_02_F,16,,authored,6,0.1667,0,49,0.0204
family_ad_scene_02_F,17,,authored,10,0.1,0,49,0.0204
family_ad_scene_02_F,18,,authored,2,0.5,0,49,0.0204
family_ad_scene_02_F,19,,authored,2,0.5,0,49,0.0204
family_ad_scene_02_F,20,,authored,2,0.5,0,49,0.0204
family_ad_scene_02_F,,optimizer,reassembled,7.238,0.3094,0.1905,49,0.0204
family_ad_scene_02_F,,,authored,2.762,0.4849,0.0952,49,0.0204
family_ad_scene_03_F,0,optimizer,reassembled,21,0.0476,0,49,0.0204
family_ad_scene_03_F,1,optimizer,reassembled,15,0.0667,0,49,0.0204
family_ad_scene_03_F,2,optimizer,reassembled,19,0.0526,0,49,0.0204
family_ad_scene_03_F,3,optimizer,reassembled,20,0.05,0,49,0.0204
family_ad_scene_03_F,4,optimizer,reassembled,33,0.0303,0,49,0.0204
family_ad_scene_03_F,5,optimizer,reassembled,27,0.037,0,49,0.0204
family_ad_scene_03_F,6,optimizer,reassembled,25,0.04,0,49,0.0204
family_ad_scene_03_F,7,optimizer,reassembled,21,0.0476,0,49,0.0204
family_ad_scene_03_F,8,optimizer,reassembled,19,0.0526,0,49,0.0204
family_ad_scene_03_F,9,optimizer,reassembled,30,0.0333,0,49,0.0204
family_ad_scene_03_F,10,optimizer,reassembled,27,0.037,0,49,0.0204
family_ad_scene_03_F,11,optimizer,reassembled,29,0.0345,0,49,0.0204
family_ad_scene_03_F,12,optimizer,reassembled,25,0.04,0,49,0.0204
family_ad_scene_03_F,13,optimizer,reassembled,16,0.0625,0,49,0.0204
family_ad_scene_03_F,14,optimizer,reassembled,19,0.0526,0,49,0.0204
family_ad_scene_03_F,15,optimizer,reassembled,22,0.0455,0,49,0.0204
family_ad_scene_03_F,16,optimizer,reassembled,17,0.0588,0,49,0.0204
family_ad_scene_03_F,17,optimizer,reassembled,19,0.0526,0,49,0.0204
family_ad_scene_03_F,18,optimizer,reassembled,12,0.0833,0,49,0.0204
family_ad_scene_03_F,19,optimizer,reassembled,8,0.125,0,49,0.0204
family_ad_scene_03_F,20,optimizer,reassembled,9,0.1111,0,49,0.0204
family_ad_scene_03_F,21,optimizer,reassembled,6,0.1667,0,49,0.0204
family_ad_scene_03_F,22,optimizer,reassembled,9,0.1111,0,49,0.0204
family_ad_scene_03_F,23,optimizer,reassembled,12,0.0833,0,49,0.0204
family_ad_scene_03_F,0,,authored,4,0.25,0,49,0.0204
family_ad_scene_03_F,1,,authored,10,0.1,0,49,0.0204
family_ad_scene_03_F,2,,authored,2,0.5,0,49,0.0204
family_ad_scene_03_F,3,,authored,3,0.3333,0,49,0.0204
family_ad_scene_03_F,4,,authored,8,0.125,0,49,0.0204
family_ad_scene_03_F,5,,authored,6,0.1667,0,49,0.0204
family_ad_scene_03_F,6,,authored,3,0.3333,0,49,0.0204
family_ad_scene_03_F,7,,authored,5,0.2,0,49,0.0204
family_ad_scene_03_F,8,,authored,3,0.3333,0,49,0.0204
family_ad_scene_03_F,9,,authored,6,0.1667,0,49,0.0204
family_ad_scene_03_F,10,,authored,8,0.125,0,49,0.0204
