frame,arm0_q0,arm0_q1,arm0_q2,arm0_q3,arm0_q4,arm0_q5,arm1_q0,arm1_q1,arm1_q2,arm1_q3,arm1_q4,arm1_q5,arm2_q0,arm2_q1,arm2_q2,arm2_q3,arm2_q4,arm2_q5
0,1.919853,-0.594655,0.984300,-0.598438,-1.222959,0.320304,1.278663,0.854762,-0.932764,0.158389,-2.150481,0.998795,-1.616888,-1.745070,-1.118085,0.093348,-0.868171,1.319658
1,1.917061,-0.710285,1.046265,-0.303806,-1.422239,0.404761,1.265824,0.952841,-0.931723,0.129248,-1.955671,0.978494,-1.600209,-1.740382,-1.212207,0.259599,-0.589275,1.337225
2,1.910048,-0.976452,1.156138,0.044032,-1.660836,0.408443,1.313969,1.068841,-0.893114,0.095009,-1.729021,0.991351,-1.575440,-1.719728,-1.239492,0.251406,-0.244768,1.336049
3,1.829540,-0.950476,1.109183,0.162292,-2.044357,0.430469,1.313969,1.068841,-0.893114,0.095009,-1.729021,0.991351,-1.574568,-1.745324,-1.210202,0.276891,-0.217967,1.338372
4,1.862774,-0.970749,1.035313,0.223252,-2.187071,0.332793,1.321478,1.083968,-0.864238,0.084304,-1.743497,0.990625,-1.572757,-1.716053,-1.260950,0.275471,-0.182469,1.332674
5,1.919582,-0.791529,0.928663,0.095286,-2.048421,0.316474,1.325338,0.878875,-0.808678,0.329997,-1.723886,0.990490,-1.572488,-1.711813,-1.266461,0.288048,-0.162286,1.330170
6,1.919857,-0.701816,0.958975,-0.343343,-1.875134,0.361885,1.281378,0.827333,-0.892971,0.245009,-1.247439,1.017841,-1.575674,-1.649846,-1.352278,0.262540,-0.158071,1.322779
7,1.918742,-0.631073,0.910077,-0.480290,-1.178809,0.301095,1.303683,0.800729,-0.919374,0.059456,-1.814594,1.033142,-1.574644,-1.647701,-1.354293,0.266214,-0.161579,1.322767
8,1.919816,-0.728080,1.022009,-0.295358,-1.270150,0.333406,1.270810,0.935763,-0.948058,0.040775,-1.810028,1.029621,-1.571213,-1.644386,-1.364316,0.272625,-0.119045,1.321914
9,1.919856,-0.881565,1.123877,-0.119908,-1.559039,0.396932,1.284234,1.044790,-0.928334,0.008860,-1.531867,1.023352,-1.571352,-1.683206,-1.321974,0.321872,-0.130223,1.334796
10,1.806921,-0.949952,1.111053,0.194079,-1.658988,0.518509,1.315829,1.020650,-0.842807,0.130781,-1.493570,1.081481,-1.571374,-1.564560,-1.507539,0.331736,-0.063700,1.320506
11,1.768983,-1.411021,1.256392,0.368093,-2.168506,0.589367,1.041452,1.745182,-1.447047,-0.099102,-1.474242,1.064052,-1.579499,-1.577073,-1.513390,0.380344,-0.249457,1.325746
12,1.733721,-1.654826,1.388091,0.357416,-2.449323,0.597133,1.038689,1.745323,-1.453616,-0.097857,-1.477016,1.069149,-1.584852,-1.731026,-1.338692,0.490225,-0.187650,1.316068
13,1.702590,-1.741912,1.554517,0.227182,-2.739784,0.410625,1.041064,1.745281,-1.451192,-0.098329,-1.482339,1.069511,-1.581411,-1.705549,-1.326333,0.495718,-0.163499,1.317072
14,1.637444,-1.711471,1.579944,0.249094,-2.743539,0.409140,1.039770,1.745319,-1.449567,-0.098634,-1.477810,1.069056,-1.573776,-1.714820,-1.226529,0.384566,0.030093,1.327218
