frame,arm0_q0,arm0_q1,arm0_q2,arm0_q3,arm0_q4,arm0_q5,arm1_q0,arm1_q1,arm1_q2,arm1_q3,arm1_q4,arm1_q5,arm2_q0,arm2_q1,arm2_q2,arm2_q3,arm2_q4,arm2_q5
0,-0.136336,0.055192,-0.512335,0.616223,-0.646666,1.093560,-0.658129,-0.760827,1.347662,-1.616674,-0.850836,1.744452,1.828178,-1.151680,1.002991,0.229909,1.573847,0.111281
1,-0.313220,0.116450,-0.351810,0.268300,-0.530164,0.862827,-0.862890,-0.691160,1.315996,-1.657001,-0.675206,1.684793,1.830059,-1.036492,0.866054,0.304576,1.052223,0.611562
2,-0.291867,0.073925,-0.385020,0.270123,-0.464681,0.861491,-0.886003,-0.740895,1.319871,-1.658025,-0.569310,1.596485,1.770592,-1.002446,0.777950,0.305620,1.152546,0.607218
3,-1.138847,0.027714,-0.296581,0.293877,-0.070054,0.452602,-1.099152,-0.481324,1.169428,-1.655523,-0.588923,1.734780,1.748682,-0.774366,0.546342,0.538278,0.595244,0.159814
4,-1.469405,0.202676,-0.313877,0.226762,-0.185645,0.539424,-1.152563,-0.577258,1.218899,-1.598770,-0.448743,1.713528,1.789541,-0.890102,0.648435,0.511657,0.508535,0.182083
5,-1.457804,0.203993,-0.304849,0.211581,-0.191606,0.490876,-1.191481,-0.669558,1.244863,-1.417118,-0.679671,1.716966,1.849261,-0.947198,0.759638,0.494931,0.473655,0.185115
6,-1.449786,0.190737,-0.262306,0.148720,-0.330977,0.308880,-1.136784,-0.777317,1.314733,-1.294968,-0.834230,1.745199,1.880502,-0.986695,0.860013,0.388341,0.512517,0.165452
7,-1.463542,0.360528,-0.408456,-0.000498,-0.439973,0.223163,-1.139058,-0.872897,1.389801,-1.260825,-0.868813,1.745032,1.897847,-1.036449,0.930459,0.368241,0.378039,0.149556
8,-1.459376,0.347984,-0.428611,0.051037,-0.327138,0.227435,-1.148908,-0.862122,1.367340,-1.265735,-0.845199,1.744480,1.882222,-1.047523,0.882886,0.420408,0.427914,0.150916
9,-1.459376,0.347984,-0.428611,0.051037,-0.327138,0.227435,-1.156890,-0.741197,1.227953,-1.275501,-0.832045,1.744901,1.833879,-1.145209,0.847385,0.489044,0.598538,0.156195
10,-1.457449,0.265395,-0.294744,0.026539,-0.383917,0.266561,-1.190165,-0.672373,1.244752,-1.269644,-0.844786,1.745144,1.837382,-1.155574,0.852858,0.491514,0.604526,0.162298
11,-1.331569,0.609993,0.427053,-0.426661,0.394379,0.243368,-1.088348,-0.742794,1.363639,-1.188035,-1.641087,1.160538,1.888594,-1.084778,0.907317,0.499447,-0.271065,-0.156927
12,-1.155756,0.777554,0.433936,-0.887857,0.944103,0.957200,-0.779280,-0.947892,1.494581,0.001703,-2.139706,0.407434,0.783079,-1.109491,1.257056,0.357752,0.891266,0.151688
13,-1.506813,0.303145,0.317612,-1.567592,0.397953,1.235756,-0.648454,-0.109894,1.173908,0.720051,-1.527047,0.943421,1.230558,-1.485157,1.218477,-0.312195,1.499212,-0.174355
14,-1.440460,0.158314,0.463758,-1.556721,0.009922,1.521727,-1.020638,-0.258593,1.117469,1.122297,-1.896443,1.745090,1.454103,-1.608032,1.283866,-0.248867,1.330538,0.889018
