frame,arm0_q0,arm0_q1,arm0_q2,arm0_q3,arm0_q4,arm0_q5,arm1_q0,arm1_q1,arm1_q2,arm1_q3,arm1_q4,arm1_q5,arm2_q0,arm2_q1,arm2_q2,arm2_q3,arm2_q4,arm2_q5
0,-1.766771,-0.569528,0.496722,0.413690,-2.740313,0.723349,1.218371,-0.115540,-0.062368,0.385945,0.114186,-0.087301,0.935752,0.113821,1.540552,-1.655769,2.633993,1.590144
1,-1.774440,-0.550891,0.475348,0.427102,-2.684554,0.758414,1.163513,-0.008401,-0.410872,0.845706,0.151391,-0.114428,0.925052,0.165514,1.528413,-1.654837,2.777156,1.627147
2,-1.774440,-0.550891,0.475348,0.427102,-2.684554,0.758414,1.139472,0.173850,-0.797691,1.351810,-0.018780,-0.170509,0.974445,0.221769,1.519632,-1.642378,2.831849,1.633956
3,-1.782216,-0.589546,0.514887,0.426232,-2.724967,0.796174,1.122089,0.216185,-1.002037,1.658010,0.310008,-0.154914,1.042686,0.241489,1.497036,-1.657621,2.839971,1.654599
4,-1.782216,-0.589546,0.514887,0.426232,-2.724967,0.796174,1.106284,0.072903,-0.843239,1.658027,0.402353,-0.119400,1.091284,0.337456,1.466226,-1.657995,2.841193,1.701285
5,-1.776511,-0.549056,0.522952,0.309988,-2.743521,0.791261,1.069258,-0.113972,-0.689920,1.655949,0.471412,-0.094558,1.006847,-0.393803,0.810814,-1.657923,2.829744,1.730530
6,-1.786601,-0.765596,0.678654,0.414963,-2.740190,0.777575,1.050895,-0.200727,-0.611297,1.658059,0.549810,-0.090723,0.924357,-0.430117,0.860638,-1.655497,2.827719,1.735480
7,-1.775308,-0.806583,0.834888,0.177063,-2.743243,0.427423,0.665778,-0.842331,-0.350629,1.657847,1.356113,-0.165375,0.837525,-0.525183,0.997485,-1.657321,2.841136,1.421148
8,-1.772829,-1.000911,0.988765,0.200821,-2.743836,0.243327,0.589993,-0.922286,-0.347734,1.657969,1.086816,-0.169069,0.670527,-0.755590,1.215172,-1.657907,2.841114,0.246798
9,-1.771355,-1.002801,1.070067,0.357362,-2.725901,1.085922,0.443267,-0.992386,-0.351449,1.658043,0.850611,-0.174433,0.418017,-0.961817,1.457567,-1.657900,2.019425,-0.173582
10,-1.810902,-1.233038,1.143562,0.265946,-2.741151,1.082491,0.300715,-1.060015,-0.357815,1.657963,0.836389,-0.174352,0.324662,-1.051255,1.530044,-1.623709,1.983533,-0.171287
11,-1.856864,-1.479789,1.329344,0.215433,-2.681334,1.099528,0.116217,-1.117239,-0.334820,1.657891,0.868268,-0.174465,0.249340,-1.111431,1.546618,-1.583992,2.051432,-0.174103
12,-1.903953,-1.547916,1.382298,0.112068,-2.522823,1.088909,0.029819,-1.128626,-0.326381,1.651215,0.872673,-0.174066,0.215275,-1.111817,1.550140,-1.601622,2.047846,-0.173897
13,-1.884672,-1.581881,1.445339,0.001633,-2.243877,1.130751,0.023045,-1.158965,-0.318886,1.645652,0.852005,-0.131819,0.209279,-1.131944,1.566698,-1.596611,2.069360,-0.174506
14,-1.359418,-1.724897,1.450769,0.047799,-1.182322,0.947292,0.020103,-1.157967,-0.320989,1.648390,0.845988,-0.172003,0.107620,-1.489667,1.578027,-1.138330,2.205300,-0.159380
