frame,arm0_q0,arm0_q1,arm0_q2,arm0_q3,arm0_q4,arm0_q5,arm1_q0,arm1_q1,arm1_q2,arm1_q3,arm1_q4,arm1_q5,arm2_q0,arm2_q1,arm2_q2,arm2_q3,arm2_q4,arm2_q5
0,-1.918560,-1.745321,0.598752,1.652742,-0.289172,1.725810,-0.320035,0.140572,-0.349695,-0.565911,2.217121,0.626939,0.732941,-0.708930,1.550837,0.664359,-1.311658,1.638000
1,-1.919628,-1.745313,0.642949,1.647911,-0.273197,1.742369,-0.320035,0.140572,-0.349695,-0.565911,2.217121,0.626939,0.590995,-0.704437,1.559748,0.626346,-1.295415,1.619226
2,-1.902902,-1.742981,0.635871,1.657930,-0.201533,1.742449,-0.302484,0.101153,-0.294865,-0.398432,2.093803,0.467770,0.207840,-0.791105,1.543606,0.654418,-1.308655,1.708483
3,-1.646402,-1.744219,0.760524,1.427432,0.120228,1.733498,-0.151332,0.017953,-0.359455,-0.298304,2.753209,0.216036,0.009689,-0.819893,1.469887,0.504872,-1.686578,1.482279
4,-1.685673,-1.744992,0.802552,1.338871,0.174445,1.738882,-0.174644,-0.119283,-0.322432,-0.108000,2.830763,-0.104207,-0.106451,-0.418806,1.317889,0.722160,-1.332189,1.744895
5,-1.646016,-1.738333,0.852968,1.272763,0.314894,1.572872,-0.116199,-0.288189,-0.260283,0.624622,2.281774,0.213095,-0.121326,-0.481115,1.230713,0.853513,-1.142957,1.700928
6,-1.661842,-1.677701,0.995197,1.064710,0.315818,1.538402,-0.103886,-0.373946,-0.316746,0.652137,2.278648,0.209272,-0.131247,-0.467225,1.129530,0.918990,-1.246860,1.693556
7,-1.911411,-1.743499,0.699622,1.407804,-0.584940,1.738070,-0.019882,0.356493,-0.010186,0.834408,2.447540,0.337619,0.017324,-0.489938,0.808772,-0.046070,-0.897697,1.615337
8,-1.909561,-1.745320,0.605862,1.658034,-0.405114,1.745270,0.151463,0.172141,0.028756,0.603640,2.381680,0.416122,0.026675,-0.629412,0.802904,-0.071766,-0.834093,1.394151
9,-1.685032,-1.741998,0.628492,1.642192,-0.141995,1.742619,0.133550,0.181338,0.004275,0.353700,2.799981,0.118334,1.152758,-0.931155,1.127666,0.324443,-0.784078,1.581312
10,-1.680946,-1.744118,0.641568,1.646108,-0.094708,1.741706,-0.071288,0.054186,-0.050380,0.938545,2.784560,0.175265,1.135020,-1.110040,1.183107,0.163078,-0.332786,1.734814
11,-1.777465,-1.745330,0.526931,1.657384,-0.220544,1.322709,0.117644,0.152700,0.069739,0.812065,2.539582,0.172733,1.128973,-1.231043,1.113802,0.541383,0.051703,1.705605
12,-1.919679,-1.743633,0.465139,1.658059,-0.373211,1.242370,0.153074,0.152988,0.045935,0.725387,2.201768,-0.149276,1.028843,-1.364350,1.116503,1.378768,-0.289027,1.681012
13,-1.884289,-1.704088,0.466193,1.658016,-0.328201,1.208340,0.126035,0.159789,0.052008,0.822061,2.074027,0.435394,1.011908,-1.432246,1.311292,0.803674,-1.038801,1.496662
14,-1.841708,-1.684264,0.494440,1.657824,-0.329306,1.241408,0.121250,0.161361,0.086931,0.851514,1.942207,0.768929,0.987505,-1.483071,1.342822,0.765507,-1.064628,1.726384
