frame,arm0_q0,arm0_q1,arm0_q2,arm0_q3,arm0_q4,arm0_q5,arm1_q0,arm1_q1,arm1_q2,arm1_q3,arm1_q4,arm1_q5,arm2_q0,arm2_q1,arm2_q2,arm2_q3,arm2_q4,arm2_q5
0,1.208639,-1.745284,0.031121,1.261040,-2.743461,0.837752,0.270143,-1.354751,0.980046,1.590050,1.782453,1.745153,1.049681,-1.368665,1.360164,-0.844788,0.129161,1.245331
1,1.255047,-1.744442,-0.024045,1.322037,-2.742648,0.991821,0.705924,-1.388299,0.839750,1.383400,2.034662,1.671254,1.085193,-1.262872,1.262847,-0.769990,0.129448,1.485487
2,1.303710,-1.745326,-0.054025,1.281070,-2.743066,1.156418,0.770814,-1.297949,0.753019,1.271866,2.021181,1.745328,1.095188,-1.249445,1.138362,-0.244398,-0.044379,1.745138
3,1.283658,-1.456398,-0.130339,1.601673,-2.743822,1.158384,0.921936,-0.927233,0.462674,1.101237,2.063179,1.745307,1.245151,-1.543500,0.930509,0.093843,-0.672414,1.739807
4,1.204435,-1.281569,-0.194910,1.658055,-1.544111,1.005964,0.955020,-0.998301,0.180839,1.215675,1.938292,1.745286,1.245426,-1.572436,0.716110,0.307217,-0.492459,1.743852
5,1.261338,-1.385578,-0.280914,1.601068,-1.247463,0.981636,0.963858,-0.941803,0.078741,1.073988,1.867278,1.743434,1.250672,-1.548737,0.674333,0.316470,-0.752555,1.745328
6,1.402303,-1.421641,-0.527167,1.657934,-1.414859,0.751892,1.173524,-0.885128,-0.125073,1.221764,1.546781,1.743456,1.539460,-0.950300,0.618897,0.079513,-1.087079,1.427698
7,1.444714,-1.379002,-0.526165,1.657111,-1.428130,0.754169,1.288308,-0.800327,-0.180946,1.250322,0.947072,0.815939,1.823096,-0.585138,0.426425,-0.214634,-0.481234,1.744685
8,1.444714,-1.379002,-0.526165,1.657111,-1.428130,0.754169,1.278138,-0.745895,-0.217461,1.193417,0.927447,0.821176,1.845795,-0.582083,0.428169,-0.222373,-0.462253,1.745243
9,1.444714,-1.379002,-0.526165,1.657111,-1.428130,0.754169,1.278138,-0.745895,-0.217461,1.193417,0.927447,0.821176,1.844673,-0.581891,0.426830,-0.225465,-0.459294,1.742874
10,1.444714,-1.379002,-0.526165,1.657111,-1.428130,0.754169,1.279452,-0.738780,-0.218842,1.186447,0.925236,0.819660,1.844673,-0.581891,0.426830,-0.225465,-0.459294,1.742874
