frame,arm0_q0,arm0_q1,arm0_q2,arm0_q3,arm0_q4,arm0_q5,arm1_q0,arm1_q1,arm1_q2,arm1_q3,arm1_q4,arm1_q5,arm2_q0,arm2_q1,arm2_q2,arm2_q3,arm2_q4,arm2_q5
0,1.102690,1.157241,-1.690000,-1.658056,1.336918,-0.172655,1.051971,1.425905,-1.675931,-1.198488,-0.465521,0.470567,1.460989,-0.442180,-1.689352,-1.313982,1.974356,1.289877
1,1.096630,1.153291,-1.689992,-1.657757,1.444447,-0.172158,1.051971,1.425905,-1.675931,-1.198488,-0.465521,0.470567,1.491352,-0.593490,-1.535895,-1.401088,1.929656,1.336843
2,1.089126,1.144808,-1.689130,-1.656992,1.374983,-0.174139,1.051971,1.425905,-1.675931,-1.198488,-0.465521,0.470567,1.483784,-0.809090,-1.260956,-1.385364,1.908219,1.399123
3,1.088936,1.145142,-1.689999,-1.657452,1.374726,-0.174513,1.051971,1.425905,-1.675931,-1.198488,-0.465521,0.470567,1.472657,-0.817857,-1.234897,-1.467492,2.026116,1.468282
4,1.088812,1.156787,-1.689662,-1.657990,1.266000,-0.163810,1.049428,1.433973,-1.686504,-1.297656,-0.649274,0.407784,1.427690,-1.010869,-0.910784,-1.657733,2.201844,1.706798
5,1.088812,1.156787,-1.689662,-1.657990,1.266000,-0.163810,1.049428,1.433973,-1.686504,-1.297656,-0.649274,0.407784,1.431579,-1.138258,-0.796126,-1.638609,2.273510,1.743150
6,1.088812,1.156787,-1.689662,-1.657990,1.266000,-0.163810,1.049428,1.433973,-1.686504,-1.297656,-0.649274,0.407784,1.427328,-1.096492,-1.062878,-1.657925,2.546432,1.705306
7,1.088812,1.156787,-1.689662,-1.657990,1.266000,-0.163810,1.049428,1.433973,-1.686504,-1.297656,-0.649274,0.407784,1.427328,-1.096492,-1.062878,-1.657925,2.546432,1.705306
8,1.088812,1.156787,-1.689662,-1.657990,1.266000,-0.163810,1.049428,1.433973,-1.686504,-1.297656,-0.649274,0.407784,1.426148,-1.043277,-1.157173,-1.647208,2.551302,1.732860
9,1.088812,1.156787,-1.689662,-1.657990,1.266000,-0.163810,1.049428,1.433973,-1.686504,-1.297656,-0.649274,0.407784,1.426148,-1.043277,-1.157173,-1.647208,2.551302,1.732860
10,1.082872,1.136103,-1.689995,-1.658038,1.258182,-0.164831,1.073584,1.481839,-1.689222,-1.128799,-0.787875,0.407373,1.426148,-1.043277,-1.157173,-1.647208,2.551302,1.732860
