frame,arm0_q0,arm0_q1,arm0_q2,arm0_q3,arm0_q4,arm0_q5,arm1_q0,arm1_q1,arm1_q2,arm1_q3,arm1_q4,arm1_q5,arm2_q0,arm2_q1,arm2_q2,arm2_q3,arm2_q4,arm2_q5
0,1.535649,-1.731486,1.350044,-1.202778,-2.413730,0.200691,-1.731886,-1.666435,0.468832,-1.342701,-1.605043,0.074451,1.401110,0.328889,0.095672,1.631341,-1.361383,0.265993
1,1.535649,-1.731486,1.350044,-1.202778,-2.413730,0.200691,-1.731886,-1.666435,0.468832,-1.342701,-1.605043,0.074451,1.401110,0.328889,0.095672,1.631341,-1.361383,0.265993
2,1.535649,-1.731486,1.350044,-1.202778,-2.413730,0.200691,-1.788348,-1.743168,0.782776,-1.382852,-1.648794,0.079791,1.401110,0.328889,0.095672,1.631341,-1.361383,0.265993
3,1.606827,-1.516234,1.358842,-1.397067,-2.743748,0.025498,-1.819524,-1.745330,0.498486,-1.246642,-1.822048,0.028413,1.590316,0.319749,0.406196,1.385100,-1.852797,0.121523
4,1.850462,-1.744588,1.392722,-1.417740,-2.742119,-0.160122,-1.918620,-1.744037,0.745366,-1.401996,-1.893090,0.095804,1.607563,0.289619,0.358449,1.157478,-1.537636,0.491315
5,1.796298,-1.353891,1.439730,-1.588466,-2.212598,-0.159526,-1.917886,-1.718335,0.787341,-1.451568,-1.743753,0.193760,1.671534,0.348923,0.309505,1.214525,-1.522721,0.499042
6,1.849123,-1.267194,1.387688,-1.437145,-2.111237,-0.173031,-1.919579,-1.499036,0.837663,-1.658060,-1.779519,1.368208,1.692506,0.280308,-0.037352,1.649615,-1.406065,-0.171444
7,1.918064,-1.241024,1.328723,-1.363927,-2.344505,-0.174413,-1.919860,-1.426360,0.803670,-1.656032,-1.515008,1.479604,1.737181,0.308448,-0.078020,1.520622,-1.530678,-0.073727
8,1.919853,-1.242083,1.271613,-1.293947,-2.444582,-0.172415,-1.919853,-1.408766,0.733554,-1.647340,-1.297217,1.505913,1.807741,0.645808,0.136966,1.592146,-1.556824,-0.133466
9,1.919857,-1.212840,1.199840,-1.049653,-2.693052,-0.157869,-1.919215,-1.395612,0.592291,-1.657876,-1.280090,1.745042,1.849840,0.718962,0.150530,1.555278,-2.020911,0.025320
10,1.919857,-1.212840,1.199840,-1.049653,-2.693052,-0.157869,-1.919215,-1.395612,0.592291,-1.657876,-1.280090,1.745042,1.856846,0.741961,0.112444,1.562320,-2.023623,0.038040
