frame,arm0_q0,arm0_q1,arm0_q2,arm0_q3,arm0_q4,arm0_q5,arm1_q0,arm1_q1,arm1_q2,arm1_q3,arm1_q4,arm1_q5,arm2_q0,arm2_q1,arm2_q2,arm2_q3,arm2_q4,arm2_q5
0,1.014847,-1.236392,-0.330943,1.653012,-1.781882,1.605568,-1.328061,0.194474,-0.309807,1.657218,0.609902,0.150736,-0.851448,-0.785207,1.071427,-1.656971,2.841209,0.203918
1,1.159337,-1.343561,-0.276052,1.657146,-2.057339,1.591628,-1.378161,0.287273,-0.500523,1.425927,0.437889,0.133596,-0.914278,-0.813518,1.080743,-1.655746,2.796523,0.202118
2,1.129832,-1.635410,0.155823,1.131374,-2.145870,1.604973,-1.423142,0.418826,-0.670653,1.170458,0.263610,0.138770,-1.019702,-0.847658,1.119920,-1.655195,2.835640,0.202674
3,1.212147,-1.680554,0.289220,0.951632,-2.425477,1.603568,-1.417054,0.493177,-0.493651,1.229943,0.231220,0.115209,-0.985867,-0.921945,1.150158,-1.657958,2.840603,0.222532
4,1.917408,-1.516323,0.082334,1.200403,-2.743220,1.337851,-0.412478,0.189482,-0.380918,1.106339,0.120260,-0.060554,-0.863972,-0.896944,1.213504,-1.658037,2.829665,-0.174531
5,1.919840,-1.150683,-0.110687,1.438789,-2.743841,1.744745,-0.138377,-0.539857,0.131824,0.418869,-0.309985,0.310208,-0.803809,-1.233332,1.357723,-1.487026,2.835081,0.027102
6,1.919859,-1.054836,-0.069612,1.425236,-2.743850,1.744861,-0.227383,-0.519019,0.012837,0.528579,-0.236114,0.214750,-0.928920,-1.562467,1.335301,-0.976205,2.841135,0.208301
7,1.919844,-1.016268,-0.046214,1.403829,-2.743287,1.745221,-0.256773,-0.550498,-0.065666,0.630674,0.274312,0.469372,-1.010469,-1.745327,1.329601,-0.754914,2.838611,0.207352
8,1.919844,-1.016268,-0.046214,1.403829,-2.743287,1.745221,-0.256773,-0.550498,-0.065666,0.630674,0.274312,0.469372,-1.010469,-1.745327,1.329601,-0.754914,2.838611,0.207352
9,1.919844,-1.016268,-0.046214,1.403829,-2.743287,1.745221,-0.256773,-0.550498,-0.065666,0.630674,0.274312,0.469372,-1.010469,-1.745327,1.329601,-0.754914,2.838611,0.207352
10,1.919844,-1.016268,-0.046214,1.403829,-2.743287,1.745221,-0.256773,-0.550498,-0.065666,0.630674,0.274312,0.469372,-1.010469,-1.745327,1.329601,-0.754914,2.838611,0.207352
