frame,arm0_q0,arm0_q1,arm0_q2,arm0_q3,arm0_q4,arm0_q5,arm1_q0,arm1_q1,arm1_q2,arm1_q3,arm1_q4,arm1_q5,arm2_q0,arm2_q1,arm2_q2,arm2_q3,arm2_q4,arm2_q5
0,-1.169201,-1.125200,0.408060,1.013139,0.462361,1.205486,0.627697,-0.517355,0.767668,1.076639,-0.473952,1.713164,0.989842,-0.482114,-0.557805,1.382648,-2.080060,0.864376
1,-1.169201,-1.125200,0.408060,1.013139,0.462361,1.205486,0.639750,-0.535965,0.774726,1.041506,-0.489006,1.710902,0.981630,-0.482080,-0.577308,1.330438,-2.106692,0.866674
2,-1.040267,-1.208455,0.432469,1.167504,0.458258,1.582679,0.706371,-0.623924,0.937955,0.776596,-0.107386,1.728515,0.811948,-0.740048,-0.447084,1.459969,-2.740946,1.296381
3,-1.150314,-1.109307,0.404329,1.039950,0.521541,1.525137,0.673447,-0.543455,0.824982,0.869655,-0.333092,1.733770,0.935061,-0.603305,-0.429789,1.312088,-2.735052,1.317960
4,-1.098137,-1.188136,0.411313,1.111663,0.471617,1.457044,0.617700,-0.581699,0.828792,0.996393,-0.453851,1.732859,0.935061,-0.603305,-0.429789,1.312088,-2.735052,1.317960
5,-1.095555,-1.239082,0.469976,1.047083,0.464514,1.412863,0.617700,-0.581699,0.828792,0.996393,-0.453851,1.732859,0.858520,-0.696317,-0.387773,1.413499,-2.641824,1.312103
6,-1.098427,-1.243360,0.477772,1.009246,0.486355,1.333931,0.610901,-0.603220,0.820612,1.065747,-0.369126,1.731198,0.858520,-0.696317,-0.387773,1.413499,-2.641824,1.312103
7,-1.109395,-1.250864,0.506587,0.990896,0.447883,1.282106,0.610901,-0.603220,0.820612,1.065747,-0.369126,1.731198,0.852697,-0.667193,-0.403220,1.418066,-2.633222,1.312058
8,-1.110571,-1.251608,0.485357,0.999034,0.472289,1.285809,0.610901,-0.603220,0.820612,1.065747,-0.369126,1.731198,0.849352,-0.665946,-0.398267,1.420851,-2.623152,1.309873
9,-1.136049,-1.215871,0.508393,0.944209,0.455217,1.243780,0.638532,-0.541302,0.777129,1.035461,-0.468924,1.742816,0.897043,-0.590648,-0.447245,1.424618,-2.644437,1.312726
