frame,arm0_q0,arm0_q1,arm0_q2,arm0_q3,arm0_q4,arm0_q5,arm1_q0,arm1_q1,arm1_q2,arm1_q3,arm1_q4,arm1_q5,arm2_q0,arm2_q1,arm2_q2,arm2_q3,arm2_q4,arm2_q5
0,1.057582,-0.656442,-1.457360,-0.638434,1.667678,1.707738,-0.407320,-0.675180,-1.688893,1.598070,2.836312,-0.101202,-1.347010,-0.601512,-1.520516,1.384803,1.568040,0.351641
1,1.004981,-0.753525,-1.312095,-0.663704,1.832116,1.708869,-0.521778,-0.746061,-1.689017,1.655706,2.839783,-0.091932,-1.253085,-0.590856,-1.468140,1.338777,1.551177,0.362983
2,1.011840,-0.765969,-1.302707,-0.653734,1.853013,1.724008,-0.528191,-0.752293,-1.678842,1.657776,2.830141,-0.089478,-1.253186,-0.578000,-1.496913,1.363839,1.712984,0.351243
3,1.034202,-0.797722,-1.188473,-0.756501,1.813330,1.742493,-0.528191,-0.752293,-1.678842,1.657776,2.830141,-0.089478,-1.223016,-0.605168,-1.398111,1.382329,1.769689,0.348720
4,1.060846,-0.878630,-1.080831,-0.690829,1.684825,1.745323,-0.532695,-0.790480,-1.653729,1.657966,2.834106,-0.083700,-1.177363,-0.672290,-1.157068,1.421514,1.834191,0.344421
5,1.129407,-0.931713,-1.011639,-0.658298,1.559759,1.733776,-0.516034,-0.730620,-1.678665,1.656677,2.768256,-0.101724,-1.194335,-0.720491,-1.078806,1.489960,1.767871,0.340736
6,1.189978,-0.893496,-1.038429,-0.736737,1.527585,1.636329,-0.522368,-0.664366,-1.689541,1.657310,2.801511,-0.100563,-1.172470,-0.679665,-0.954769,1.488971,2.092044,0.339246
7,1.189978,-0.893496,-1.038429,-0.736737,1.527585,1.636329,-0.524457,-0.664069,-1.689929,1.658053,2.814932,-0.098234,-1.192304,-0.620697,-0.997163,1.512193,2.148421,0.347731
8,1.158973,-0.835439,-1.087998,-0.764019,1.486266,1.624090,-0.524457,-0.664069,-1.689929,1.658053,2.814932,-0.098234,-1.202976,-0.620291,-1.003712,1.512542,2.189104,0.350670
9,1.201370,-0.921250,-1.009435,-0.739443,1.479105,1.484793,-0.524457,-0.664069,-1.689929,1.658053,2.814932,-0.098234,-1.202976,-0.620291,-1.003712,1.512542,2.189104,0.350670
