frame,arm0_q0,arm0_q1,arm0_q2,arm0_q3,arm0_q4,arm0_q5,arm1_q0,arm1_q1,arm1_q2,arm1_q3,arm1_q4,arm1_q5,arm2_q0,arm2_q1,arm2_q2,arm2_q3,arm2_q4,arm2_q5
0,-1.605999,-1.744253,1.580514,0.952424,-0.591183,0.562801,1.564336,-1.684069,1.580142,1.192988,-2.222884,-0.162513,1.469235,1.184986,-0.577199,-0.282327,-0.186479,0.656218
1,-1.605999,-1.744253,1.580514,0.952424,-0.591183,0.562801,1.564336,-1.684069,1.580142,1.192988,-2.222884,-0.162513,1.469235,1.184986,-0.577199,-0.282327,-0.186479,0.656218
2,-1.605999,-1.744253,1.580514,0.952424,-0.591183,0.562801,1.565092,-1.728275,1.577646,1.209714,-2.191798,-0.165433,1.469235,1.184986,-0.577199,-0.282327,-0.186479,0.656218
3,-1.605999,-1.744253,1.580514,0.952424,-0.591183,0.562801,1.562422,-1.739912,1.577036,1.215069,-2.200497,-0.163535,1.692502,0.964596,-0.889212,-0.032340,-0.628166,0.548044
4,-1.326367,-1.744628,1.581477,1.184241,0.110706,1.308698,1.910240,-1.745284,1.578465,1.214345,-2.555564,0.038696,1.919836,1.090308,-1.145421,-0.054544,-1.392369,1.650386
5,-1.578506,-1.745227,1.582948,1.183685,0.107959,1.306340,1.540639,-1.520989,1.591942,1.104661,-2.534285,0.055076,1.919157,1.366059,-1.395191,-0.075792,-1.298250,1.631735
6,-1.589856,-1.744886,1.582874,0.758325,0.060003,1.483327,1.545082,-1.583262,1.594625,1.082211,-2.488771,0.057804,1.919393,1.358640,-1.451869,0.028840,-1.366245,1.627719
7,-1.614276,-1.745328,1.577064,1.098027,0.476221,0.980441,1.546490,-1.589019,1.594324,1.020426,-2.408641,0.374762,1.770554,1.447413,-1.689937,0.347114,-0.855927,0.442312
8,-1.617796,-1.743687,1.578055,0.955675,0.400867,0.788779,1.549664,-1.589802,1.595140,1.006112,-2.675161,-0.160004,1.581219,1.440561,-1.689969,0.293406,-1.586129,0.540621
9,-1.615781,-1.742629,1.579525,0.956486,0.401693,0.789201,1.558187,-1.700560,1.581137,1.031028,-2.492415,-0.170639,1.506249,1.452230,-1.680402,0.292605,-1.586151,0.538440
