frame,arm0_q0,arm0_q1,arm0_q2,arm0_q3,arm0_q4,arm0_q5,arm1_q0,arm1_q1,arm1_q2,arm1_q3,arm1_q4,arm1_q5,arm2_q0,arm2_q1,arm2_q2,arm2_q3,arm2_q4,arm2_q5
0,-0.948724,-0.924203,0.485579,1.655993,-2.546402,0.766396,1.862348,-0.780318,0.258235,1.463803,-1.396441,-0.003522,0.360537,-0.553984,0.199195,1.647428,2.463726,0.493201
1,-0.969479,-0.833398,0.405239,1.656035,-2.477475,0.716093,1.759556,-0.909822,0.364998,1.428640,-1.505545,0.062873,0.303081,-0.460283,0.118730,1.656929,2.541268,0.487001
2,-0.983146,-0.842753,0.403726,1.657567,-2.545614,0.724247,1.752146,-0.881021,0.360011,1.416522,-1.483148,0.088660,0.303081,-0.460283,0.118730,1.656929,2.541268,0.487001
3,-0.949815,-0.758902,0.463506,1.657852,-2.374023,0.723713,1.725168,-0.867548,0.478679,1.313865,-1.480347,0.058000,0.275940,-0.370875,0.224355,1.626660,2.680906,0.480247
4,-0.982364,-0.812004,0.391173,1.657559,-2.482401,0.732899,1.747628,-0.888605,0.376258,1.329871,-1.494023,0.075625,0.408549,-0.401617,0.073980,1.657799,2.783424,0.468294
5,-0.868509,-0.870986,0.548744,1.654521,-2.340745,0.740105,1.815166,-0.911233,0.529629,1.126839,-1.431982,0.116339,0.326600,-0.336983,0.201996,1.640650,2.839102,0.491879
6,-1.003378,-0.822500,0.395272,1.649111,-2.552790,0.728172,1.745370,-0.891341,0.377893,1.247750,-1.262011,0.095348,0.446401,-0.362712,0.073160,1.633275,2.838783,0.499284
7,-0.909361,-0.892975,0.555766,1.599272,-2.444292,0.662760,1.785302,-0.896501,0.502825,1.122308,-1.358939,0.124847,0.393541,-0.295572,0.165980,1.604281,2.837086,0.501833
8,-0.972812,-0.842097,0.402733,1.657160,-2.487353,0.662645,1.741071,-0.894332,0.387937,1.179949,-1.306168,0.118260,0.512090,-0.318021,0.001767,1.640889,2.804920,0.508098
9,-0.914321,-0.889376,0.512198,1.654713,-2.471939,0.649165,1.773818,-0.859024,0.484718,1.123888,-1.391803,0.151382,0.379239,-0.302798,0.138762,1.624840,2.837525,0.523712
