frame,arm0_q0,arm0_q1,arm0_q2,arm0_q3,arm0_q4,arm0_q5,arm1_q0,arm1_q1,arm1_q2,arm1_q3,arm1_q4,arm1_q5,arm2_q0,arm2_q1,arm2_q2,arm2_q3,arm2_q4,arm2_q5
0,-1.738277,0.305603,1.437679,-1.354957,0.791053,1.054583,1.318359,0.795160,-0.637953,-0.171068,-1.069420,1.578031,-1.231409,-1.602273,-1.189353,-0.804657,-1.328910,1.735125
1,-1.738277,0.305603,1.437679,-1.354957,0.791053,1.054583,1.318359,0.795160,-0.637953,-0.171068,-1.069420,1.578031,-1.222029,-1.419182,-1.524877,-0.658955,-1.299643,1.743820
2,-1.738277,0.305603,1.437679,-1.354957,0.791053,1.054583,1.318359,0.795160,-0.637953,-0.171068,-1.069420,1.578031,-1.227022,-1.360393,-1.655032,-0.531985,-1.351801,1.744038
3,-1.738277,0.305603,1.437679,-1.354957,0.791053,1.054583,1.335260,0.782334,-0.636662,-0.183795,-1.004097,1.580151,-1.196185,-1.319247,-1.686248,-0.574012,-1.301899,1.744802
4,-1.738277,0.305603,1.437679,-1.354957,0.791053,1.054583,1.328618,0.687541,-0.542795,-0.140487,-1.059982,1.581321,-1.218319,-1.296699,-1.650410,-0.638988,-1.233032,1.743315
5,-1.738277,0.305603,1.437679,-1.354957,0.791053,1.054583,1.311437,0.671490,-0.569526,-0.139382,-1.201643,1.584761,-1.185835,-1.271786,-1.689614,-0.506810,-1.031300,1.708481
6,-1.738277,0.305603,1.437679,-1.354957,0.791053,1.054583,1.309913,0.658054,-0.584143,-0.162114,-1.318634,1.584598,-1.161499,-1.284259,-1.650155,-0.463702,-0.803223,1.632595
7,-1.738277,0.305603,1.437679,-1.354957,0.791053,1.054583,1.279985,0.672254,-0.693385,-0.096239,-1.773794,1.589904,-1.146310,-1.292713,-1.589350,-0.397981,-0.637000,1.617513
8,-1.735247,0.305656,1.307096,-1.365449,0.816008,1.077082,1.306750,0.751807,-0.781943,-0.133271,-1.759910,1.583274,-1.135487,-1.335583,-1.522486,-0.329795,-0.613396,1.594216
9,-1.735247,0.305656,1.307096,-1.365449,0.816008,1.077082,1.304605,0.793849,-0.839594,-0.162175,-1.885930,1.591292,-1.164178,-1.383419,-1.492458,-0.251353,-0.546789,1.573667
10,-1.735247,0.305656,1.307096,-1.365449,0.816008,1.077082,1.282594,0.781806,-0.817680,-0.136521,-1.904056,1.598531,-1.146221,-1.421660,-1.427596,-0.337308,-0.585872,1.585723
11,-1.757304,0.444906,1.252688,-1.437065,0.767395,1.010049,1.266613,0.827995,-0.878411,-0.089996,-1.836287,1.582657,-1.158098,-1.423664,-1.464539,-0.369553,-0.620189,1.587343
12,-1.757304,0.444906,1.252688,-1.437065,0.767395,1.010049,1.267844,0.860706,-0.890326,-0.090016,-1.802719,1.580380,-1.119212,-1.402564,-1.513706,-0.381414,-0.757351,1.605002
13,-1.757304,0.444906,1.252688,-1.437065,0.767395,1.010049,1.265344,0.805508,-0.789383,0.153102,-1.941158,1.587326,-1.143923,-1.427679,-1.544888,-0.425897,-0.846977,1.613702
14,-1.780050,0.338113,1.284971,-1.432428,0.780065,1.006822,1.271582,0.843013,-0.871042,0.275473,-1.865651,1.625435,-1.143800,-1.402915,-1.593983,-0.438989,-0.921589,1.594461
15,-1.723293,0.337700,1.219049,-1.418245,0.854880,0.973329,1.280721,0.819456,-0.830473,0.294468,-1.827639,1.640249,-1.163086,-1.360691,-1.659356,-0.489638,-1.099339,1.590243
16,-1.726259,0.339295,1.212899,-1.555090,0.734946,0.991406,1.320727,0.775761,-0.749991,0.268153,-1.757686,1.627154,-1.198571,-1.348071,-1.678735,-0.519098,-1.178126,1.581458
17,-1.726259,0.339295,1.212899,-1.555090,0.734946,0.991406,1.339714,0.741421,-0.735250,0.307118,-1.712932,1.626494,-1.194731,-1.329147,-1.667414,-0.584228,-1.269463,1.578660
18,-1.686660,0.184405,1.332716,-1.478649,0.843632,0.942618,1.339233,0.701817,-0.729391,0.339300,-1.680491,1.634953,-1.209762,-1.280455,-1.684471,-0.587054,-1.220816,1.584505
19,-1.830424,-0.167320,1.522213,-1.422049,1.019426,0.931224,1.313630,0.672489,-0.741129,0.376222,-1.800891,1.628623,-1.181432,-1.268552,-1.686151,-0.517390,-1.223336,1.595469
20,-1.877225,-0.333864,1.535845,-1.321531,1.249633,1.003660,1.305916,0.641720,-0.713152,0.342032,-1.963389,1.637039,-1.146312,-1.258394,-1.676874,-0.483181,-0.831935,1.598027
21,-1.917091,-0.453325,1.529667,-1.190660,1.318706,1.006841,1.282845,0.722867,-0.885493,0.333570,-1.920587,1.634126,-1.144301,-1.254577,-1.686590,-0.319017,-0.674574,1.589905
22,-1.919693,-0.461172,1.502631,-1.124342,1.349719,1.007402,1.278158,0.745172,-0.952030,0.315310,-1.940190,1.632620,-1.150516,-1.285881,-1.655954,-0.241488,-0.637726,1.584544
23,-1.919693,-0.461172,1.502631,-1.124342,1.349719,1.007402,1.279490,0.753709,-0.952258,0.317321,-2.177741,1.636462,-1.137861,-1.322929,-1.586591,-0.224910,-0.622621,1.582984
24,-1.919693,-0.461172,1.502631,-1.124342,1.349719,1.007402,1.276712,0.759479,-0.962493,0.284409,-2.317932,1.635957,-1.140868,-1.324419,-1.583409,-0.225194,-0.618641,1.582190
25,-1.919693,-0.461172,1.502631,-1.124342,1.349719,1.007402,1.262398,0.812809,-1.000786,0.294062,-2.178211,1.636303,-1.152232,-1.328596,-1.595449,-0.339967,-0.630192,1.583123
26,-1.918696,-0.477565,1.502052,-1.058677,1.375491,1.023007,1.269235,0.846027,-0.928971,0.244836,-1.954296,1.631129,-1.138266,-1.313550,-1.665143,-0.444645,-0.862598,1.564017
27,-1.917297,-0.463947,1.547610,-1.049751,1.396281,1.018226,1.336889,0.825153,-0.823195,0.312968,-1.735698,1.672299,-1.221285,-1.347932,-1.686614,-0.492545,-1.138858,1.579685
28,-1.797028,-0.328920,1.541450,-1.055269,1.406721,1.020548,1.673948,0.806298,-0.850941,0.340799,-2.338457,1.694666,-1.552963,-1.687165,-1.687909,-0.511334,-1.206404,1.583334
29,-1.654912,0.547951,1.243163,-1.656038,1.409720,1.216711,1.604629,0.892647,-1.086870,0.387760,-2.742401,1.743992,-1.589534,-1.742826,-1.672363,-0.443571,-1.180010,1.731914
30,-1.670987,0.989723,0.706163,-1.658028,1.597048,1.218331,1.583376,1.119373,-1.351813,0.218967,-2.741568,1.638839,-1.628788,-1.742053,-1.660895,-0.434515,-1.203645,1.743629
31,-1.648554,1.255010,-0.122038,-1.637777,1.579286,1.225093,1.582696,1.119608,-1.352158,0.219824,-2.743746,1.638696,-1.627062,-1.744722,-1.658450,-0.431811,-1.204991,1.744569
32,-1.611631,1.331753,-0.340224,-1.597581,1.579486,1.268382,1.582696,1.119608,-1.352158,0.219824,-2.743746,1.638696,-1.628658,-1.739741,-1.673389,-0.431391,-1.209934,1.743759
33,-1.631666,1.332240,-0.344050,-1.608955,1.588635,1.268938,1.582754,1.118488,-1.350351,0.219132,-2.743563,1.642039,-1.597874,-1.736857,-1.685349,-0.376120,-1.248552,1.745091
34,-1.646244,1.332503,-0.355687,-1.648380,1.571670,1.279807,1.582754,1.118488,-1.350351,0.219132,-2.743563,1.642039,-1.597874,-1.736857,-1.685349,-0.376120,-1.248552,1.745091
35,-1.646244,1.332503,-0.355687,-1.648380,1.571670,1.279807,1.582754,1.118488,-1.350351,0.219132,-2.743563,1.642039,-1.597874,-1.736857,-1.685349,-0.376120,-1.248552,1.745091
36,-1.646244,1.332503,-0.355687,-1.648380,1.571670,1.279807,1.582754,1.118488,-1.350351,0.219132,-2.743563,1.642039,-1.597874,-1.736857,-1.685349,-0.376120,-1.248552,1.745091
37,-1.646244,1.332503,-0.355687,-1.648380,1.571670,1.279807,1.582754,1.118488,-1.350351,0.219132,-2.743563,1.642039,-1.597874,-1.736857,-1.685349,-0.376120,-1.248552,1.745091
38,-1.646244,1.332503,-0.355687,-1.648380,1.571670,1.279807,1.582754,1.118488,-1.350351,0.219132,-2.743563,1.642039,-1.597874,-1.736857,-1.685349,-0.376120,-1.248552,1.745091
39,-1.646244,1.332503,-0.355687,-1.648380,1.571670,1.279807,1.582754,1.118488,-1.350351,0.219132,-2.743563,1.642039,-1.597874,-1.736857,-1.685349,-0.376120,-1.248552,1.745091
40,-1.646244,1.332503,-0.355687,-1.648380,1.571670,1.279807,1.582754,1.118488,-1.350351,0.219132,-2.743563,1.642039,-1.597874,-1.736857,-1.685349,-0.376120,-1.248552,1.745091
41,-1.646244,1.332503,-0.355687,-1.648380,1.571670,1.279807,1.582754,1.118488,-1.350351,0.219132,-2.743563,1.642039,-1.597874,-1.736857,-1.685349,-0.376120,-1.248552,1.745091
42,-1.646244,1.332503,-0.355687,-1.648380,1.571670,1.279807,1.582754,1.118488,-1.350351,0.219132,-2.743563,1.642039,-1.597874,-1.736857,-1.685349,-0.376120,-1.248552,1.745091
43,-1.646244,1.332503,-0.355687,-1.648380,1.571670,1.279807,1.582754,1.118488,-1.350351,0.219132,-2.743563,1.642039,-1.597874,-1.736857,-1.685349,-0.376120,-1.248552,1.745091
44,-1.646244,1.332503,-0.355687,-1.648380,1.571670,1.279807,1.582754,1.118488,-1.350351,0.219132,-2.743563,1.642039,-1.597874,-1.736857,-1.685349,-0.376120,-1.248552,1.745091
45,-1.646244,1.332503,-0.355687,-1.648380,1.571670,1.279807,1.582754,1.118488,-1.350351,0.219132,-2.743563,1.642039,-1.597874,-1.736857,-1.685349,-0.376120,-1.248552,1.745091
46,-1.639855,1.326490,-0.352586,-1.649181,1.573641,1.276559,1.582754,1.118488,-1.350351,0.219132,-2.743563,1.642039,-1.598019,-1.741234,-1.688259,-0.372250,-1.251938,1.744757
47,-1.646971,1.336755,-0.352549,-1.644814,1.565359,1.272469,1.572792,1.089784,-1.199464,0.002459,-2.743841,1.637828,-1.588869,-1.743730,-1.687896,-0.458797,-1.354677,1.739887
48,-1.641418,1.339531,-0.362440,-1.655141,1.561074,1.272165,1.572792,1.089784,-1.199464,0.002459,-2.743841,1.637828,-1.607602,-1.741790,-1.689505,-0.459240,-1.348306,1.745290
49,-1.633574,1.337634,-0.371181,-1.657496,1.561269,1.269644,1.577267,1.076457,-1.154224,-0.075786,-2.660585,1.548042,-1.607602,-1.741790,-1.689505,-0.459240,-1.348306,1.745290
