frame,arm0_q0,arm0_q1,arm0_q2,arm0_q3,arm0_q4,arm0_q5,arm1_q0,arm1_q1,arm1_q2,arm1_q3,arm1_q4,arm1_q5,arm2_q0,arm2_q1,arm2_q2,arm2_q3,arm2_q4,arm2_q5
0,-1.678846,-0.955726,1.075305,0.861562,-1.553075,-0.174467,0.405130,0.286587,-0.165203,0.919685,2.781685,0.937427,1.864803,-1.008216,1.081537,0.053698,2.591384,0.974135
1,-1.678846,-0.955726,1.075305,0.861562,-1.553075,-0.174467,0.405130,0.286587,-0.165203,0.919685,2.781685,0.937427,1.864803,-1.008216,1.081537,0.053698,2.591384,0.974135
2,-1.678846,-0.955726,1.075305,0.861562,-1.553075,-0.174467,0.405130,0.286587,-0.165203,0.919685,2.781685,0.937427,1.864803,-1.008216,1.081537,0.053698,2.591384,0.974135
3,-1.678846,-0.955726,1.075305,0.861562,-1.553075,-0.174467,0.405130,0.286587,-0.165203,0.919685,2.781685,0.937427,1.864803,-1.008216,1.081537,0.053698,2.591384,0.974135
4,-1.678846,-0.955726,1.075305,0.861562,-1.553075,-0.174467,0.405130,0.286587,-0.165203,0.919685,2.781685,0.937427,1.864803,-1.008216,1.081537,0.053698,2.591384,0.974135
5,-1.680742,-0.968625,1.064811,0.860220,-1.546120,-0.174436,0.582995,0.461550,-0.339613,0.936335,2.835301,0.925041,1.898189,-1.088521,1.099445,0.170329,2.715263,0.993857
6,-1.704760,-0.987952,1.055079,1.025498,-1.259764,-0.037085,0.616437,0.543434,-0.436807,0.828750,2.777371,0.175684,1.919539,-1.112472,1.217685,-0.020888,2.840633,1.416296
7,-1.704760,-0.987952,1.055079,1.025498,-1.259764,-0.037085,0.616437,0.543434,-0.436807,0.828750,2.777371,0.175684,1.919842,-1.165346,1.291610,-0.085084,2.759969,1.418758
8,-1.731683,-0.960468,1.043338,1.031893,-1.251617,-0.039098,0.599755,0.650279,-0.530970,0.812203,2.802201,0.160885,1.919463,-1.153854,1.311597,-0.075645,2.751191,1.419341
9,-1.752613,-1.041649,1.049782,1.353085,-0.706668,-0.083539,0.529766,0.658010,-0.511126,0.539818,2.771852,-0.136615,1.919732,-1.207839,1.347284,-0.045319,2.738501,0.722067
10,-1.752613,-1.041649,1.049782,1.353085,-0.706668,-0.083539,0.529766,0.658010,-0.511126,0.539818,2.771852,-0.136615,1.919732,-1.207839,1.347284,-0.045319,2.738501,0.722067
11,-1.752613,-1.041649,1.049782,1.353085,-0.706668,-0.083539,0.552336,0.621169,-0.493204,0.540898,2.773390,-0.138177,1.919732,-1.207839,1.347284,-0.045319,2.738501,0.722067
12,-1.749425,-1.201086,1.050452,1.401132,-0.576277,-0.174147,0.592836,0.570259,-0.460977,0.534497,2.748934,-0.142304,1.919776,-1.187226,1.352143,-0.193214,2.690168,0.743303
13,-1.738608,-1.294841,1.046732,1.354375,-0.149100,-0.023909,0.620742,0.546254,-0.445458,0.115446,2.810922,0.082672,1.919444,-1.114236,1.262463,-0.126505,2.841142,1.085005
14,-1.738608,-1.294841,1.046732,1.354375,-0.149100,-0.023909,0.674391,0.451503,-0.310375,0.202873,2.840470,0.084196,1.919825,-1.120691,1.219763,-0.149033,2.818196,1.073133
15,-1.704301,-1.272027,1.055192,1.307910,-0.207187,0.758832,0.490980,0.365772,-0.253713,0.067872,2.840974,0.074692,1.882505,-1.016735,1.047534,0.141948,2.840832,1.210554
16,-1.704301,-1.272027,1.055192,1.307910,-0.207187,0.758832,0.654440,0.404488,-0.307648,0.068012,2.838041,0.071198,1.882505,-1.016735,1.047534,0.141948,2.840832,1.210554
17,-1.704301,-1.272027,1.055192,1.307910,-0.207187,0.758832,0.654440,0.404488,-0.307648,0.068012,2.838041,0.071198,1.882505,-1.016735,1.047534,0.141948,2.840832,1.210554
18,-1.704301,-1.272027,1.055192,1.307910,-0.207187,0.758832,0.674250,0.450830,-0.311060,0.018914,2.782808,0.068167,1.882505,-1.016735,1.047534,0.141948,2.840832,1.210554
19,-1.721561,-1.277588,1.053799,1.197014,-0.125045,1.177877,0.688306,0.494534,-0.381153,-0.009673,2.648905,-0.145642,1.910051,-1.042248,1.087527,0.164427,2.840456,0.867719
20,-1.721561,-1.277588,1.053799,1.197014,-0.125045,1.177877,0.630201,0.576299,-0.455872,-0.000733,2.658136,-0.138078,1.918670,-1.130830,1.217185,-0.013558,2.729699,0.840501
