frame,arm0_q0,arm0_q1,arm0_q2,arm0_q3,arm0_q4,arm0_q5,arm1_q0,arm1_q1,arm1_q2,arm1_q3,arm1_q4,arm1_q5,arm2_q0,arm2_q1,arm2_q2,arm2_q3,arm2_q4,arm2_q5
0,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
1,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
2,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
3,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
4,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
5,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
6,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
7,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
8,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
9,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
10,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
11,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
12,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
13,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
14,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
15,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
16,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
17,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
18,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
19,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
20,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
21,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
22,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
23,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
24,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
25,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
26,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
27,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
28,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
29,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
30,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
31,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
32,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
33,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
34,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
35,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
36,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
37,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
38,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
39,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
40,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
41,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
42,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
43,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
44,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
45,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
46,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
47,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
48,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
49,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
50,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
51,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
52,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
53,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
54,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
55,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
56,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
57,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
58,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
59,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
60,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
61,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
62,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
63,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
64,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
65,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
66,1.780315,-1.738428,-1.367253,-1.643328,2.110270,1.511366,-1.697274,-1.654429,1.217069,0.366231,1.412545,-0.170394,1.684745,1.561401,-1.480959,-0.250964,0.496487,1.159539
