frame,arm0_q0,arm0_q1,arm0_q2,arm0_q3,arm0_q4,arm0_q5,arm1_q0,arm1_q1,arm1_q2,arm1_q3,arm1_q4,arm1_q5,arm2_q0,arm2_q1,arm2_q2,arm2_q3,arm2_q4,arm2_q5
0,-1.661630,-0.618819,1.301478,-1.656903,0.140966,0.175140,-1.258175,1.744278,-1.405652,-0.936176,-1.311218,0.254119,1.832527,-1.106129,1.254266,-0.249114,2.055416,1.236540
1,-1.661630,-0.618819,1.301478,-1.656903,0.140966,0.175140,-1.258175,1.744278,-1.405652,-0.936176,-1.311218,0.254119,1.832527,-1.106129,1.254266,-0.249114,2.055416,1.236540
2,-1.661630,-0.618819,1.301478,-1.656903,0.140966,0.175140,-1.258175,1.744278,-1.405652,-0.936176,-1.311218,0.254119,1.832527,-1.106129,1.254266,-0.249114,2.055416,1.236540
3,-1.661630,-0.618819,1.301478,-1.656903,0.140966,0.175140,-1.258175,1.744278,-1.405652,-0.936176,-1.311218,0.254119,1.832527,-1.106129,1.254266,-0.249114,2.055416,1.236540
4,-1.650597,-0.545894,1.250014,-1.654006,0.254370,0.173908,-1.258175,1.744278,-1.405652,-0.936176,-1.311218,0.254119,1.879514,-0.919948,1.130577,-0.278521,1.938926,1.160557
5,-1.649603,-0.544816,1.242113,-1.603104,0.272976,0.190939,-1.258175,1.744278,-1.405652,-0.936176,-1.311218,0.254119,1.828207,-0.832838,1.091489,-0.251321,1.856380,1.147728
6,-1.650603,-0.506508,1.252312,-1.627291,0.323619,0.280061,-1.258175,1.744278,-1.405652,-0.936176,-1.311218,0.254119,1.825106,-0.807719,1.106176,-0.238851,1.843539,1.185493
7,-1.604332,-0.446542,1.245879,-1.658059,0.398160,0.767614,-1.250853,1.744141,-1.401429,-0.866254,-0.775465,0.485755,1.903144,-1.330644,1.361384,-0.089088,1.795200,0.827464
8,-1.578546,-0.469367,1.220966,-1.612370,0.556694,0.762116,-1.248307,1.745330,-1.399217,-0.867578,-0.779009,0.486011,1.899781,-1.245090,1.316031,-0.094399,1.711099,0.828787
9,-1.569349,-0.430336,1.184832,-1.654515,0.686786,0.792023,-1.248307,1.745330,-1.399217,-0.867578,-0.779009,0.486011,1.790055,-1.033703,1.246736,-0.101718,1.605038,0.781225
10,-1.564393,-0.549090,1.289682,-1.658052,0.742592,0.805794,-1.248191,1.745330,-1.398942,-0.868428,-0.778220,0.486489,1.774830,-0.775094,1.125408,-0.124312,1.658176,0.780020
11,-1.585217,-0.872741,1.490039,-1.657662,0.811866,0.846975,-1.248191,1.745330,-1.398942,-0.868428,-0.778220,0.486489,1.787848,-0.756030,1.146248,-0.115292,1.647379,0.775139
12,-1.578033,-0.957328,1.492885,-1.658004,0.697505,1.360823,-1.249814,1.744960,-1.410015,-1.028952,-0.804040,-0.167460,1.812977,-0.509445,1.108832,-0.394499,1.297214,0.934622
13,-1.608986,-0.960561,1.463501,-1.656592,0.717481,1.465136,-1.249814,1.744960,-1.410015,-1.028952,-0.804040,-0.167460,1.788749,-0.552126,1.159214,-0.393439,1.302791,0.927787
14,-1.626091,-0.963649,1.448867,-1.654892,0.719916,1.555949,-1.249702,1.745301,-1.405348,-1.028226,-0.806654,-0.169298,1.785668,-0.550318,1.198609,-0.362747,1.438507,0.901773
15,-1.649113,-1.086087,1.460028,-1.645536,0.772127,1.675266,-1.251407,1.744183,-1.411615,-1.026034,-0.810252,-0.166928,1.781557,-0.534268,1.241422,-0.350494,1.180531,0.908861
16,-1.688305,-1.005200,1.495085,-1.657922,0.762752,1.742883,-1.248561,1.745279,-1.410497,-1.025355,-0.815616,-0.167915,1.424823,-0.536211,0.943352,-0.427224,1.283298,0.935032
17,-1.734777,-1.261623,1.568656,-1.657589,0.877287,1.745279,-1.251043,1.745009,-1.406417,-1.021046,-0.820385,-0.168144,1.451538,-0.543575,0.962602,-0.447192,1.133233,0.948356
18,-1.632686,-1.060441,1.523611,-1.631484,-0.311245,1.719825,-1.176505,1.735782,-1.580096,-1.016872,-0.450322,0.161251,1.848638,-0.822335,1.191490,-0.498077,0.933456,0.624400
19,-1.624141,-1.118408,1.523982,-1.646859,-0.227121,1.679395,-1.223150,1.743448,-1.572563,-1.014027,-0.456093,0.158797,1.843779,-0.469739,1.005652,-0.553976,1.116114,0.622922
20,-1.627535,-1.044714,1.502404,-1.600948,-0.244318,1.628563,-1.225360,1.745330,-1.569908,-1.016311,-0.456491,0.158646,1.869069,-0.470738,1.034175,-0.505159,1.025029,0.616136
21,-1.629534,-1.001562,1.491912,-1.632765,-0.220339,1.568030,-1.225360,1.745330,-1.569908,-1.016311,-0.456491,0.158646,1.867255,-0.431494,1.042251,-0.508001,1.031616,0.613400
22,-1.625540,-0.997962,1.494365,-1.632232,-0.172810,1.565951,-1.231474,1.745298,-1.565152,-1.024331,-0.436273,0.155763,1.890538,-0.415061,1.047996,-0.454224,0.958488,0.610888
23,-1.598250,-0.936861,1.424419,-1.520929,0.148557,1.522770,-1.233443,1.745328,-1.566247,-1.021946,-0.441105,0.153941,1.899032,-0.421039,1.033897,-0.335209,0.947682,0.609026
24,-1.573584,-0.908922,1.456300,-1.508256,0.175093,1.508317,-1.233813,1.743748,-1.565761,-1.023840,-0.446209,0.154492,1.868438,-0.418764,0.990154,-0.201950,0.945182,0.613967
25,-1.575400,-0.908329,1.462867,-1.524857,0.224387,1.497481,-1.230504,1.745267,-1.566264,-1.019436,-0.433988,0.155409,1.870538,-0.407973,1.018801,-0.195740,0.929306,0.605372
26,-1.529452,-0.818953,1.455874,-1.314463,0.297687,1.413072,-1.231625,1.744834,-1.562148,-1.024837,-0.433540,0.156257,1.869698,-0.409106,1.055560,-0.202128,0.989378,0.604144
27,-1.532667,-0.808964,1.421786,-1.296913,0.290637,1.408692,-1.226849,1.745136,-1.567571,-1.019177,-0.437918,0.148206,1.837504,-0.380881,1.001125,-0.139856,0.957690,0.600059
28,-1.532667,-0.808964,1.421786,-1.296913,0.290637,1.408692,-1.227346,1.745263,-1.565539,-1.022873,-0.440727,0.148210,1.835848,-0.357208,0.987605,-0.116864,0.930868,0.602534
29,-1.517160,-0.663578,1.456277,-1.623186,0.209706,1.235467,-1.231046,1.745329,-1.566368,-1.022768,-0.453865,0.147029,1.832188,-0.367858,0.987795,-0.109518,0.910214,0.594049
30,-1.533184,-0.695438,1.432125,-1.537607,0.305222,1.189131,-1.229943,1.744453,-1.574195,-1.020542,-0.451935,0.150504,1.832188,-0.367858,0.987795,-0.109518,0.910214,0.594049
31,-1.534988,-0.681530,1.476557,-1.647839,0.361473,1.176251,-1.227142,1.743697,-1.576053,-1.035940,-0.452258,0.147354,1.832188,-0.367858,0.987795,-0.109518,0.910214,0.594049
32,-1.529060,-0.686866,1.432783,-1.544792,0.255248,1.162707,-1.225433,1.745204,-1.577374,-1.036116,-0.449980,0.146365,1.832188,-0.367858,0.987795,-0.109518,0.910214,0.594049
33,-1.525567,-0.803555,1.466174,-1.378187,0.252746,1.225451,-1.225980,1.745032,-1.579296,-1.034986,-0.444405,0.148867,1.832462,-0.367416,0.987726,-0.109251,0.907759,0.593025
34,-1.539868,-0.816297,1.399846,-1.133331,0.260562,1.180964,-1.225980,1.745032,-1.579296,-1.034986,-0.444405,0.148867,1.835040,-0.358978,0.986261,-0.131169,0.740165,0.639073
35,-1.538684,-0.813103,1.365181,-1.096447,0.258591,1.185678,-1.225980,1.745032,-1.579296,-1.034986,-0.444405,0.148867,1.836555,-0.366331,0.992116,-0.131330,0.722341,0.642958
36,-1.538684,-0.813103,1.365181,-1.096447,0.258591,1.185678,-1.225980,1.745032,-1.579296,-1.034986,-0.444405,0.148867,1.836555,-0.366331,0.992116,-0.131330,0.722341,0.642958
37,-1.538684,-0.813103,1.365181,-1.096447,0.258591,1.185678,-1.230203,1.745295,-1.578695,-1.035007,-0.445790,0.146994,1.836555,-0.366331,0.992116,-0.131330,0.722341,0.642958
38,-1.544918,-0.817802,1.275489,-0.849003,0.269133,1.160159,-1.230203,1.745295,-1.578695,-1.035007,-0.445790,0.146994,1.836555,-0.366331,0.992116,-0.131330,0.722341,0.642958
39,-1.544457,-0.818546,1.245362,-0.763494,0.270130,1.166902,-1.230203,1.745295,-1.578695,-1.035007,-0.445790,0.146994,1.836555,-0.366331,0.992116,-0.131330,0.722341,0.642958
40,-1.544457,-0.818546,1.245362,-0.763494,0.270130,1.166902,-1.231370,1.745046,-1.576544,-1.031765,-0.451555,0.147405,1.836740,-0.365530,0.988213,-0.121122,0.718761,0.644768
41,-1.544457,-0.818546,1.245362,-0.763494,0.270130,1.166902,-1.229560,1.744665,-1.565356,-1.060160,-0.459778,0.141320,1.836740,-0.365530,0.988213,-0.121122,0.718761,0.644768
42,-1.544457,-0.818546,1.245362,-0.763494,0.270130,1.166902,-1.229764,1.744875,-1.562368,-1.056192,-0.460861,0.140770,1.836740,-0.365530,0.988213,-0.121122,0.718761,0.644768
43,-1.534642,-0.943405,1.269943,-0.757836,0.457809,1.100501,-1.230192,1.745203,-1.563028,-1.054771,-0.465280,0.139520,1.832686,-0.354211,0.985068,-0.146420,0.630765,0.661853
44,-1.530733,-1.101385,1.290111,-0.606173,0.534169,0.874366,-1.231233,1.745315,-1.562032,-1.052817,-0.462388,0.140518,1.796899,-0.294443,0.964966,-0.140496,0.678490,0.668949
45,-1.533350,-1.129081,1.196838,-0.398460,0.613340,0.688153,-1.226864,1.745153,-1.564058,-1.055665,-0.454049,0.139302,1.780064,-0.277411,0.966313,-0.145305,0.592423,0.668618
46,-1.533350,-1.129081,1.196838,-0.398460,0.613340,0.688153,-1.228773,1.743796,-1.562595,-1.054743,-0.467522,0.135483,1.725778,-0.020046,0.767779,-0.248975,0.556197,0.655748
47,-1.531710,-1.059897,0.974508,-0.118337,0.770464,0.808768,-1.228520,1.745306,-1.564713,-1.056338,-0.467756,0.136382,1.691115,-0.039186,0.718220,-0.135208,0.489409,0.652717
48,-1.550715,-1.038455,0.905558,-0.082764,1.018196,0.503026,-1.225984,1.745298,-1.563028,-1.057134,-0.465800,0.135565,1.645741,0.045675,0.668604,-0.187364,0.186762,0.612548
49,-1.559040,-1.221426,0.983999,-0.053769,1.187791,0.405329,-1.231084,1.744340,-1.565336,-1.064849,-0.469269,0.136564,1.658529,-0.177925,0.508965,-0.311715,0.048328,0.582876
50,-1.566635,-1.275954,0.969579,-0.005023,1.309839,0.366351,-1.230109,1.745260,-1.553312,-1.062632,-0.463282,0.135581,1.653154,-0.190212,0.495680,-0.319229,0.051947,0.587444
51,-1.597246,-1.285082,0.902653,0.098738,1.552833,0.358115,-1.230109,1.745260,-1.553312,-1.062632,-0.463282,0.135581,1.650182,-0.176259,0.543920,-0.408593,0.015783,0.609156
52,-1.597246,-1.285082,0.902653,0.098738,1.552833,0.358115,-1.238585,1.745294,-1.550963,-1.061908,-0.465199,0.138226,1.674668,-0.210614,0.507345,-0.410189,-0.203601,0.616052
53,-1.643339,-1.291043,0.876850,0.134941,1.659160,0.291627,-1.242215,1.745325,-1.552049,-1.059037,-0.467334,0.141947,1.423966,-0.043750,0.676436,-0.331553,-0.234740,0.615857
54,-1.642789,-1.291357,0.867226,0.141282,1.689326,0.289956,-1.241417,1.744722,-1.551580,-1.058920,-0.474042,0.141100,1.425291,-0.031613,0.669732,-0.321873,-0.211703,0.603973
