frame,arm0_q0,arm0_q1,arm0_q2,arm0_q3,arm0_q4,arm0_q5,arm1_q0,arm1_q1,arm1_q2,arm1_q3,arm1_q4,arm1_q5,arm2_q0,arm2_q1,arm2_q2,arm2_q3,arm2_q4,arm2_q5
0,1.142622,-1.723691,0.106582,1.525841,-2.220302,1.168439,0.945202,-1.278906,0.682798,-0.023976,-1.254142,1.200724,1.069378,-0.894532,0.075033,0.713992,-1.468233,1.291081
1,1.293657,-1.744214,0.274579,1.230272,-2.223435,1.114612,1.108105,-1.239637,0.494287,0.151402,-1.466808,1.237857,1.097612,-0.892149,-0.037670,0.434126,-1.665146,1.325780
2,0.861682,-1.458519,0.441845,0.690918,-1.809275,1.745256,0.311753,-1.374632,0.518547,0.294818,-1.662064,1.159748,0.845511,-0.924856,0.005174,0.595382,-1.344824,1.346536
3,0.790044,-1.743773,0.444315,1.047629,-1.595364,1.745182,0.755082,-1.281131,0.335689,0.618514,-1.416774,1.235889,0.815136,-1.242393,0.328966,0.575585,-1.446871,1.353420
4,1.052944,-1.485798,0.410339,0.535097,-2.097781,1.744809,1.107990,-1.127961,0.174578,0.422886,-1.688272,1.224130,1.191317,-1.094546,0.252751,0.420530,-1.602620,1.036640
5,0.520938,-1.528166,0.396384,0.791276,-2.059560,0.926324,0.395525,-1.443750,0.387724,0.660999,-1.155390,0.767736,0.449179,-1.358314,0.359483,0.445474,-1.267173,0.713999
6,0.727911,-1.745330,0.512710,0.688260,-2.542727,0.874916,0.673990,-1.745074,0.561481,0.694063,-0.963613,0.927390,0.786912,-1.232193,0.336875,0.427578,-1.276758,1.185359
7,0.665697,-1.656550,0.499521,0.654607,-2.377219,1.019711,0.082388,-1.745050,0.605898,0.498580,-0.953770,0.900717,0.859940,-1.526966,0.498516,0.431394,-1.267733,0.361250
8,0.639510,-1.721343,0.473264,0.732755,-2.743801,0.669937,-0.122331,-1.745329,0.494237,0.815448,-1.358410,0.648890,0.622687,-1.309886,0.372626,0.667477,-0.968898,0.255159
9,0.607919,-1.744953,0.508672,0.700569,-2.742153,0.041400,0.584451,-1.745026,0.504819,0.980850,-0.934059,0.841727,0.835237,-1.263960,0.535680,0.276294,-0.948485,-0.172478
10,0.911168,-1.745258,0.489642,0.497329,-2.743651,0.068051,0.925473,-1.539650,0.454630,0.683028,-1.143507,1.012241,0.888545,-1.386584,0.486987,0.315988,-1.362084,-0.140085
11,1.164308,-1.745118,0.434496,0.841487,-2.743380,0.068933,1.156883,-1.423736,0.488834,0.610824,-1.200704,1.018379,1.241004,-1.194251,0.281395,0.512942,-1.301404,-0.145157
12,1.327681,-1.742774,0.321398,0.964187,-1.558211,-0.173789,1.501523,-1.421763,0.408029,0.626299,-1.449347,-0.174418,1.623011,-0.931848,0.352192,0.342296,-1.515341,-0.090862
