frame,arm0_q0,arm0_q1,arm0_q2,arm0_q3,arm0_q4,arm0_q5,arm1_q0,arm1_q1,arm1_q2,arm1_q3,arm1_q4,arm1_q5,arm2_q0,arm2_q1,arm2_q2,arm2_q3,arm2_q4,arm2_q5
0,1.279883,-1.559758,-1.675566,-0.396622,-2.285072,0.564813,-1.468965,-1.745232,0.349546,-1.216912,1.470199,-0.156626,1.678437,-0.079846,1.029084,0.158115,0.468649,0.638579
1,1.303665,-1.555964,-1.656758,-0.415026,-2.283379,0.553857,-1.505724,-1.516472,-0.003076,-1.314885,1.482514,-0.132035,1.627821,0.036018,1.048383,0.159289,0.482317,0.637292
2,1.303665,-1.555964,-1.656758,-0.415026,-2.283379,0.553857,-1.511100,-1.510668,-0.143368,-1.172251,1.503548,-0.138370,1.624784,0.049126,1.047221,0.156095,0.475290,0.633038
3,1.309301,-1.547154,-1.617729,-0.398371,-2.290258,0.552444,-1.533546,-1.742034,-0.090657,-1.059416,1.717612,-0.158151,1.615516,0.254193,0.738603,0.058483,0.494015,0.671717
4,1.310861,-1.559858,-1.629746,-0.267807,-1.704884,0.408050,-1.502984,-1.480409,-0.111504,-1.127952,1.585912,0.502844,1.588202,0.161085,0.610606,0.097821,0.861997,0.354807
5,1.315277,-1.545498,-1.608175,-0.317201,-1.782962,0.400407,-1.497233,-1.745242,0.310477,-1.586810,1.480564,0.166221,1.588202,0.161085,0.610606,0.097821,0.861997,0.354807
6,1.325370,-1.562170,-1.575068,-0.297144,-1.787805,0.392968,-1.490479,-1.734581,0.180940,-1.647736,1.393438,0.066930,1.644631,0.449912,0.506490,0.060946,0.843589,0.361523
7,1.320005,-1.564139,-1.569728,-0.287864,-1.780567,0.396573,-1.469708,-1.735269,0.326437,-1.535354,1.462492,0.089066,1.641097,0.484642,0.479786,-0.081936,0.684837,0.325983
8,1.004487,-1.644553,-1.567705,-0.095976,-2.351851,0.645279,-1.647461,-1.060913,1.431669,-0.462922,1.410409,-0.154876,1.683678,1.032289,0.036453,-1.040242,1.037888,0.977771
9,1.263732,-1.588347,-1.687436,-0.199109,-2.637072,0.792558,-1.493195,-1.692200,0.277099,-0.844497,1.189641,0.756359,1.599454,0.940842,-0.061029,-0.781515,1.191064,0.638378
10,1.323857,-1.498282,-1.647688,-0.380913,-2.684251,0.864019,-1.630521,-1.515967,1.462227,-0.021810,0.492452,0.619990,1.557270,0.956100,-0.326201,-0.804345,0.759075,0.751342
11,1.326484,-1.483665,-1.685310,-0.270658,-2.644810,0.794394,-1.642257,-1.637650,1.472643,0.155994,0.912508,0.385604,1.566376,1.344228,-0.514586,-0.891638,0.786038,0.744259
12,1.217113,-1.589619,-1.683201,0.067596,-2.179884,0.858045,-1.371806,-1.745294,0.555396,0.891996,1.573911,1.203056,1.627538,1.578482,-1.093218,-1.191487,0.277631,0.999938
13,1.266357,-1.559702,-1.682392,-0.279361,-2.540149,1.283308,-1.488962,-1.736033,0.276061,0.950959,1.736038,0.793507,1.591605,1.546393,-1.258718,-1.649881,0.228508,1.030304
14,0.562632,-1.569836,-1.688972,-0.662796,-2.740140,1.257597,-0.626319,-1.744962,1.477516,1.397769,1.618488,-0.067366,1.140758,1.500707,-0.842264,-0.669863,1.400369,1.594292
