frame,arm0_q0,arm0_q1,arm0_q2,arm0_q3,arm0_q4,arm0_q5,arm1_q0,arm1_q1,arm1_q2,arm1_q3,arm1_q4,arm1_q5,arm2_q0,arm2_q1,arm2_q2,arm2_q3,arm2_q4,arm2_q5
0,-1.074890,-0.723486,-1.689962,-0.850368,-1.182762,0.276161,1.917473,-0.171760,0.078771,-0.038848,0.605374,0.911623,1.524373,1.202732,-0.302265,-1.191522,2.612700,-0.159837
1,-1.157397,-0.870928,-1.427565,-0.712116,-0.886496,0.284164,1.895877,-0.085457,-0.223416,0.230093,0.720745,0.905326,1.689963,1.247101,-0.224285,-1.164413,2.403801,-0.168084
2,-1.115648,-1.078408,-1.636110,-0.458636,-0.882861,0.282156,1.919059,0.182501,-0.329127,0.093788,0.674888,0.898724,1.732076,1.238493,-0.204274,-1.144314,2.248805,-0.158912
3,-1.165792,-1.080980,-1.689963,-0.770618,-1.323570,0.353413,1.919750,0.243531,-0.344428,0.204766,0.496505,0.751600,1.699675,1.171196,-0.115918,-1.110966,2.162568,-0.151857
4,-1.450181,-1.168603,-1.318867,-0.519802,-0.946607,0.359519,1.763942,0.345337,-0.448173,0.148549,0.420833,0.751381,1.687345,1.140118,-0.105637,-1.092118,1.957146,-0.154596
5,-1.486295,-1.168603,-1.318867,-0.519802,-0.946607,0.359519,1.727829,0.345337,-0.448173,0.148549,0.420833,0.751381,1.651231,1.140118,-0.105637,-1.092118,1.957146,-0.154596
6,-1.073639,-0.847368,-1.689978,-0.900592,-1.213345,0.131155,1.886497,0.352127,-0.341340,-0.151990,0.595433,1.142312,1.522430,0.841591,-0.125727,-0.471575,2.511582,-0.094104
7,-1.054915,-0.851757,-1.689713,-0.970762,-1.175382,0.132588,1.896689,0.370837,-0.331564,-0.169944,0.569196,1.142312,1.522430,0.841591,-0.125727,-0.471575,2.511582,-0.094104
8,-1.080454,-0.855627,-1.689913,-0.932508,-1.211660,-0.023134,1.907748,0.365952,-0.336713,-0.161694,0.544958,1.133496,1.678109,0.926894,-0.050371,-0.522296,2.126175,-0.166988
9,-1.082017,-0.858472,-1.685306,-0.962747,-1.278543,-0.050904,1.907748,0.365952,-0.336713,-0.161694,0.544958,1.133496,1.683292,0.920022,-0.002956,-0.618259,1.776552,-0.169213
10,-1.081941,-0.858465,-1.685128,-0.913523,-1.284887,0.008724,1.903298,0.360222,-0.334977,-0.199635,0.576145,1.137580,1.683048,0.928730,-0.010288,-0.627515,1.758464,-0.168031
11,-1.069590,-0.836253,-1.605701,-0.966557,-1.013707,-0.001718,1.912619,0.239658,-0.264557,-0.131530,0.645955,1.136536,1.683240,0.948409,-0.033607,-0.659193,1.700694,-0.174044
12,-1.136832,-0.842323,-1.338073,-1.172272,0.055830,-0.174419,1.887765,0.023318,-0.268712,0.078275,0.515559,0.914034,1.521916,0.854543,-0.161650,-0.470442,1.574113,-0.091723
13,-1.173345,-0.849280,-1.166527,-1.465756,-0.004178,-0.174491,1.812441,-0.010076,-0.316770,0.278644,0.676104,0.740849,1.514347,0.879526,-0.165144,-0.423099,1.358149,-0.171050
