mask,roughness_before,roughness_after,area_before,area_after,cc_before,cc_after
f0001_A_mask.png,2.398,2.101,3352,3647,1,1
f0001_I_mask.png,1.887,1.774,2277,2242,1,1
f0001_p_mask.png,1.74,1.507,3529,4169,1,1
f0001_R_mask.png,2.125,1.852,4147,4891,1,1
f0001_X_mask.png,2.796,2.586,3344,3303,1,1
f0006_A_mask.png,2.436,2.131,3295,3604,1,1
f0006_I_mask.png,1.954,1.789,2218,2170,1,1
f0006_p_mask.png,1.752,1.511,3531,4194,1,1
f0006_R_mask.png,2.097,1.826,4250,4945,1,1
f0006_X_mask.png,2.771,2.559,3426,3393,1,1
f0011_A_mask.png,2.433,2.131,3287,3596,1,1
f0011_I_mask.png,1.883,1.763,2317,2278,1,1
f0011_p_mask.png,1.748,1.516,3556,4213,1,1
f0011_R_mask.png,2.126,1.836,4154,4872,1,1
f0011_X_mask.png,2.785,2.574,3405,3367,1,1
f0016_A_mask.png,2.384,2.108,3414,3705,1,1
f0016_I_mask.png,1.899,1.767,2309,2268,1,1
f0016_p_mask.png,1.749,1.514,3479,4155,1,1
f0016_R_mask.png,2.098,1.823,4293,4982,1,1
f0016_X_mask.png,2.785,2.57,3396,3356,1,1
f0021_A_mask.png,2.322,2.066,3510,3760,1,1
f0021_I_mask.png,1.907,1.777,2291,2251,1,1
f0021_lamp_mask.png,1.99,1.891,7692,7891,1,1
f0021_p_mask.png,1.731,1.501,3571,4227,1,1
f0021_R_mask.png,2.073,1.819,4336,5011,1,1
f0021_X_mask.png,2.771,2.576,3426,3384,1,1
f0026_A_mask.png,2.443,2.127,3261,3574,1,1
f0026_I_mask.png,1.925,1.78,2227,2187,1,1
f0026_lamp_mask.png,2.036,1.985,8586,8562,1,1
f0026_p_mask.png,1.71,1.503,3654,4255,1,1
f0026_R_mask.png,2.11,1.828,4183,4885,1,1
f0026_X_mask.png,2.77,2.577,3435,3396,1,1
f0031_A_mask.png,2.357,2.089,3439,3711,1,1
f0031_I_mask.png,1.922,1.79,2250,2213,1,1
f0031_lamp_mask.png,2.119,2.079,8520,8494,1,1
f0031_p_mask.png,1.719,1.506,3572,4206,1,1
f0031_R_mask.png,2.104,1.82,4203,4903,1,1
f0031_X_mask.png,2.774,2.577,3415,3381,1,1
f0036_A_mask.png,2.439,2.136,3282,3594,1,1
f0036_I_mask.png,1.916,1.783,2251,2210,1,1
f0036_lamp_mask.png,2.163,2.072,7867,8039,1,1
f0036_p_mask.png,1.724,1.508,3600,4211,1,1
f0036_R_mask.png,2.733,2.227,3615,3398,3,1
f0036_X_mask.png,2.785,2.577,3386,3348,1,1
f0041_A_mask.png,2.339,2.085,3466,3740,1,1
f0041_I_mask.png,1.948,1.794,2187,2150,1,1
f0041_lamp_mask.png,2.115,2.064,7736,7714,1,1
f0041_p_mask.png,1.724,1.5,3544,4195,1,1
f0041_R_mask.png,2.066,1.816,4372,5040,1,1
f0041_X_mask.png,2.778,2.572,3410,3375,1,1
f0046_A_mask.png,2.41,2.128,3331,3644,1,1
f0046_I_mask.png,1.895,1.775,2267,2226,1,1
f0046_lamp_mask.png,2.018,1.966,8743,8719,1,1
f0046_p_mask.png,1.723,1.501,3572,4214,1,1
f0046_R_mask.png,2.059,1.814,4373,5039,1,1
f0046_X_mask.png,2.754,2.561,3441,3403,1,1
f0051_A_mask.png,2.845,2.606,3197,3163,1,1
f0051_I_mask.png,1.915,1.786,2243,2203,1,1
f0051_lamp_mask.png,2.237,2.129,7363,7534,1,1
f0051_p_mask.png,1.735,1.513,3529,4190,1,1
f0051_R_mask.png,2.079,1.812,4322,4995,3,1
f0051_X_mask.png,2.883,2.648,3266,3218,1,1
f0056_A_mask.png,2.37,2.104,3444,3732,1,1
f0056_I_mask.png,1.935,1.791,2232,2190,1,1
f0056_lamp_mask.png,2.046,2.007,8416,8387,1,1
f0056_p_mask.png,1.703,1.495,3657,4257,1,1
f0056_R_mask.png,2.074,1.817,4335,5005,1,1
f0056_X_mask.png,2.856,2.62,3273,3233,1,1
f0061_A_mask.png,2.332,2.066,3458,3722,1,1
f0061_I_mask.png,1.911,1.786,2228,2187,1,1
f0061_lamp_mask.png,1.993,1.919,8379,8580,1,1
f0061_p_mask.png,1.712,1.505,3641,4233,1,1
f0061_R_mask.png,2.073,1.811,4345,5014,1,1
f0061_X_mask.png,2.618,2.439,2941,2911,2,1
f0066_A_mask.png,2.383,2.109,3420,3714,1,1
f0066_I_mask.png,1.887,1.75,2290,2251,1,1
f0066_lamp_mask.png,1.747,1.71,9092,9069,1,1
f0066_p_mask.png,1.793,1.528,3396,4116,1,1
f0066_R_mask.png,2.044,1.793,4444,5099,1,1
f0066_X_mask.png,2.739,2.528,3223,3179,1,1
f0071_A_mask.png,2.349,2.088,3474,3750,1,1
f0071_I_mask.png,2.217,1.198,585,365,3,1
f0071_lamp_mask.png,1.95,1.886,8489,8500,1,1
f0071_p_mask.png,1.757,1.511,3456,4146,1,1
f0071_R_mask.png,2.078,1.819,4309,4989,1,1
f0071_X_mask.png,2.785,2.581,3441,3399,1,1
f0076_A_mask.png,2.359,2.101,3437,3714,1,1
f0076_I_mask.png,1.937,1.815,2204,2161,1,1
f0076_lamp_mask.png,1.87,1.8,7819,7796,2,1
f0076_p_mask.png,1.728,1.51,3553,4204,1,1
f0076_R_mask.png,2.081,1.82,4269,4967,1,1
f0076_X_mask.png,2.804,2.598,3366,3330,1,1
f0081_A_mask.png,2.361,2.102,3433,3712,1,1
f0081_I_mask.png,1.909,1.777,2233,2195,1,1
f0081_lamp_mask.png,1.739,1.689,7409,7391,1,1
f0081_p_mask.png,1.719,1.507,3560,4207,1,1
f0081_R_mask.png,2.109,1.84,4154,4870,1,1
f0081_X_mask.png,2.796,2.604,3374,3335,1,1
f0094_A_mask.png,2.345,2.071,3450,3738,1,1
f0094_I_mask.png,1.903,1.758,2206,2166,1,1
f0094_lamp_mask.png,1.733,1.673,7294,7273,1,1
f0094_P_mask.png,2.403,1.539,3302,4046,1,1
f0094_R_mask.png,2.096,1.825,4228,4913,1,1
f0094_X_mask.png,2.771,2.592,3406,3376,1,1
f0099_A_mask.png,2.425,2.135,3324,3633,1,1
f0099_I_mask.png,1.916,1.776,2178,2129,1,1
f0099_lamp_mask.png,1.955,1.896,7506,7473,1,1
f0099_P_mask.png,2.404,2.265,3287,3249,1,1
f0099_R_mask.png,2.11,1.835,4171,4883,1,1
f0099_X_mask.png,2.824,2.622,3368,3330,1,1
f0104_A_mask.png,2.43,2.13,3319,3626,1,1
f0104_I_mask.png,1.853,1.736,2345,2313,1,1
f0104_lamp_mask.png,1.987,1.945,7653,7625,1,1
f0104_P_mask.png,1.779,1.52,3410,4110,1,1
f0104_R_mask.png,2.106,1.83,4185,4892,1,1
f0104_X_mask.png,2.872,2.647,3301,3255,1,1
f0109_A_mask.png,2.433,2.137,3311,3616,1,1
f0109_I_mask.png,1.913,1.768,2247,2209,1,1
f0109_lamp_mask.png,2.006,1.953,7569,7545,1,1
f0109_P_mask.png,1.781,1.517,3428,4152,1,1
f0109_R_mask.png,2.07,1.811,4292,4984,1,1
f0109_X_mask.png,2.785,2.599,3399,3364,1,1
f0114_A_mask.png,2.429,2.129,3313,3617,1,1
f0114_I_mask.png,1.909,1.761,2215,2176,1,1
f0114_lamp_mask.png,2.084,2.01,7814,7793,1,1
f0114_P_mask.png,1.775,1.508,3433,4157,1,1
f0114_R_mask.png,2.066,1.807,4292,4986,1,1
f0114_X_mask.png,2.797,2.596,3401,3367,1,1
f0119_A_mask.png,2.364,2.095,3435,3713,1,1
f0119_I_mask.png,1.893,1.745,2198,2156,1,1
f0119_lamp_mask.png,1.933,1.858,7154,7300,1,1
f0119_P_mask.png,1.771,1.516,3412,4112,1,1
f0119_R_mask.png,2.067,1.815,4290,4981,1,1
f0119_X_mask.png,2.782,2.596,3398,3363,1,1
f0124_A_mask.png,2.424,2.124,3318,3621,1,1
f0124_I_mask.png,1.931,1.78,2189,2150,1,1
f0124_lamp_mask.png,1.86,1.802,6667,6647,1,1
f0124_P_mask.png,1.778,1.507,3448,4163,1,1
f0124_R_mask.png,2.066,1.808,4292,4984,1,1
f0124_X_mask.png,2.787,2.59,3421,3384,1,1
f0129_A_mask.png,2.425,2.122,3323,3629,1,1
f0129_I_mask.png,1.877,1.768,2339,2299,1,1
f0129_lamp_mask.png,1.889,1.827,6937,6907,1,1
f0129_P_mask.png,1.765,1.504,3459,4169,1,1
f0129_R_mask.png,2.064,1.806,4301,4992,1,1
f0129_X_mask.png,2.78,2.591,3413,3379,1,1
f0145_A_mask.png,2.321,2.074,3496,3721,1,1
f0145_I_mask.png,1.874,1.736,2260,2225,1,1
f0145_lamp_mask.png,1.913,1.86,7250,7232,1,1
f0145_P_mask.png,1.749,1.503,3483,4154,1,1
f0145_R_mask.png,2.119,1.833,4185,4882,1,1
f0145_X_mask.png,2.884,2.633,3269,3219,1,1
f0150_A_mask.png,2.332,2.078,3480,3730,1,1
f0150_I_mask.png,1.924,1.799,2223,2184,1,1
f0150_lamp_mask.png,1.748,1.725,10174,10155,1,1
f0150_P_mask.png,1.759,1.516,3474,4140,1,1
f0150_R_mask.png,2.099,1.822,4201,4899,1,1
f0150_X_mask.png,2.839,2.617,3318,3275,1,1
f0155_A_mask.png,2.407,2.111,3355,3642,1,1
f0155_I_mask.png,1.943,1.791,2221,2187,1,1
f0155_lamp_mask.png,2.09,2.029,7257,7283,1,1
f0155_P_mask.png,1.759,1.513,3491,4170,1,1
f0155_R_mask.png,2.065,1.816,4312,4989,1,1
f0155_X_mask.png,2.885,2.659,3236,3189,1,1
f0160_A_mask.png,2.34,2.085,3476,3727,1,1
f0160_I_mask.png,1.662,1.575,1843,1808,2,1
f0160_lamp_mask.png,1.873,1.82,8434,8412,1,1
f0160_P_mask.png,1.726,1.509,3569,4204,1,1
f0160_R_mask.png,2.066,1.816,4309,4987,1,1
f0160_X_mask.png,2.882,2.65,3253,3203,1,1
f0165_A_mask.png,2.401,2.116,3353,3642,1,1
f0165_I_mask.png,1.922,1.807,2330,2303,1,1
f0165_lamp_mask.png,2.208,2.161,6773,6758,1,1
f0165_P_mask.png,1.739,1.506,3518,4182,1,1
f0165_R_mask.png,2.062,1.816,4311,4989,1,1
f0165_X_mask.png,2.888,2.653,3236,3191,1,1
f0170_A_mask.png,2.407,2.125,3355,3646,1,1
f0170_I_mask.png,1.661,1.582,1839,1804,1,1
f0170_lamp_mask.png,2.106,2.065,7167,7148,1,1
f0170_P_mask.png,1.716,1.511,3596,4212,1,1
f0170_R_mask.png,2.063,1.812,4320,5000,1,1
f0170_X_mask.png,2.884,2.653,3239,3191,1,1
f0175_A_mask.png,2.431,2.132,3288,3584,1,1
f0175_I_mask.png,1.666,1.538,1811,1770,1,1
f0175_lamp_mask.png,1.941,1.888,7060,7042,1,1
f0175_P_mask.png,1.753,1.514,3495,4173,1,1
f0175_R_mask.png,2.068,1.812,4316,4996,1,1
f0175_X_mask.png,2.837,2.621,3328,3291,1,1
f0180_A_mask.png,2.332,2.087,3478,3718,1,1
f0180_I_mask.png,1.943,1.699,2105,2020,1,1
f0180_lamp_mask.png,2.862,3.118,7362,8148,10,1
f0180_P_mask.png,1.76,1.514,3457,4132,1,1
f0180_R_mask.png,2.082,1.811,4316,4974,1,1
f0180_X_mask.png,2.832,2.627,3283,3241,1,1
f0185_A_mask.png,2.351,2.092,3418,3680,1,1
f0185_I_mask.png,1.852,1.601,1561,1478,1,1
f0185_lamp_mask.png,2.064,1.992,6227,6201,1,1
f0185_P_mask.png,1.748,1.505,3502,4176,1,1
f0185_R_mask.png,2.069,1.817,4297,4985,1,1
f0185_X_mask.png,2.837,2.614,3337,3304,1,1
f0190_A_mask.png,2.405,2.121,3346,3636,1,1
f0190_I_mask.png,1.864,1.762,2518,2493,1,1
f0190_lamp_mask.png,2.279,2.218,6348,6323,1,1
f0190_P_mask.png,1.743,1.507,3517,4180,1,1
f0190_R_mask.png,2.099,1.824,4201,4914,1,1
f0190_X_mask.png,2.806,2.592,3380,3350,1,1
f0195_A_mask.png,2.424,2.136,3312,3598,1,1
f0195_I_mask.png,1.629,1.5,1504,1463,1,1
f0195_lamp_mask.png,1.869,1.818,7523,7500,1,1
f0195_P_mask.png,1.75,1.509,3508,4174,1,1
f0195_R_mask.png,2.099,1.817,4205,4909,1,1
f0195_X_mask.png,2.807,2.593,3382,3344,1,1
f0200_A_mask.png,2.346,2.08,3435,3699,1,1
f0200_I_mask.png,1.737,1.574,1161,1060,1,1
f0200_lamp_mask.png,1.991,1.944,6604,6583,1,1
f0200_P_mask.png,1.744,1.504,3514,4179,1,1
f0200_R_mask.png,2.067,1.814,4303,4987,1,1
f0200_X_mask.png,2.852,2.642,3302,3264,1,1
f0205_A_mask.png,2.423,2.133,3317,3608,1,1
f0205_I_mask.png,1.882,1.76,2317,2281,1,1
f0205_lamp_mask.png,2.256,2.195,6577,6567,1,1
f0205_P_mask.png,1.749,1.509,3512,4175,1,1
f0205_R_mask.png,2.067,1.813,4315,5005,1,1
f0205_X_mask.png,2.792,2.583,3389,3354,1,1
f0210_A_mask.png,2.421,2.12,3327,3613,1,1
f0210_I_mask.png,1.961,1.797,2188,2139,1,1
f0210_lamp_mask.png,2.205,2.135,6390,6386,1,1
f0210_P_mask.png,1.747,1.505,3517,4178,1,1
f0210_R_mask.png,2.066,1.813,4320,5005,1,1
f0210_X_mask.png,2.783,2.577,3400,3364,1,1
f0215_A_mask.png,2.435,2.127,3278,3569,1,1
f0215_I_mask.png,3.075,2.041,428,166,2,1
f0215_lamp_mask.png,2.322,2.243,6069,6060,1,1
f0215_P_mask.png,1.768,1.517,3470,4144,1,1
