frame_id,file,scene,timestamp_sec,source_frame
f0001,scenes/scene_01/f0001.png,scene_01,0.000,0
f0006,scenes/scene_01/f0006.png,scene_01,0.200,5
f0011,scenes/scene_01/f0011.png,scene_01,0.400,10
f0016,scenes/scene_01/f0016.png,scene_01,0.600,15
f0021,scenes/scene_01/f0021.png,scene_01,0.800,20
f0026,scenes/scene_01/f0026.png,scene_01,1.000,25
f0031,scenes/scene_01/f0031.png,scene_01,1.200,30
f0036,scenes/scene_01/f0036.png,scene_01,1.400,35
f0041,scenes/scene_01/f0041.png,scene_01,1.600,40
f0046,scenes/scene_01/f0046.png,scene_01,1.800,45
f0102,scenes/scene_02/f0102.png,scene_02,4.040,101
f0107,scenes/scene_02/f0107.png,scene_02,4.240,106
f0112,scenes/scene_02/f0112.png,scene_02,4.440,111
f0117,scenes/scene_02/f0117.png,scene_02,4.640,116
f0122,scenes/scene_02/f0122.png,scene_02,4.840,121
f0127,scenes/scene_02/f0127.png,scene_02,5.040,126
f0132,scenes/scene_02/f0132.png,scene_02,5.240,131
f0137,scenes/scene_02/f0137.png,scene_02,5.440,136
f0142,scenes/scene_02/f0142.png,scene_02,5.640,141
f0147,scenes/scene_02/f0147.png,scene_02,5.840,146
f0152,scenes/scene_02/f0152.png,scene_02,6.040,151
f0157,scenes/scene_02/f0157.png,scene_02,6.240,156
f0162,scenes/scene_02/f0162.png,scene_02,6.440,161
f0167,scenes/scene_02/f0167.png,scene_02,6.640,166
f0172,scenes/scene_02/f0172.png,scene_02,6.840,171
f0177,scenes/scene_02/f0177.png,scene_02,7.040,176
f0182,scenes/scene_02/f0182.png,scene_02,7.240,181
f0187,scenes/scene_02/f0187.png,scene_02,7.440,186
f0192,scenes/scene_02/f0192.png,scene_02,7.640,191
f0197,scenes/scene_02/f0197.png,scene_02,7.840,196
f0202,scenes/scene_02/f0202.png,scene_02,8.040,201
f0224,scenes/scene_03/f0224.png,scene_03,8.920,223
f0229,scenes/scene_03/f0229.png,scene_03,9.120,228
f0234,scenes/scene_03/f0234.png,scene_03,9.320,233
f0239,scenes/scene_03/f0239.png,scene_03,9.520,238
f0244,scenes/scene_03/f0244.png,scene_03,9.720,243
f0249,scenes/scene_03/f0249.png,scene_03,9.920,248
f0254,scenes/scene_03/f0254.png,scene_03,10.120,253
f0259,scenes/scene_03/f0259.png,scene_03,10.320,258
f0264,scenes/scene_03/f0264.png,scene_03,10.520,263
f0269,scenes/scene_03/f0269.png,scene_03,10.720,268
f0274,scenes/scene_03/f0274.png,scene_03,10.920,273
f0279,scenes/scene_03/f0279.png,scene_03,11.120,278
f0284,scenes/scene_03/f0284.png,scene_03,11.320,283
f0289,scenes/scene_03/f0289.png,scene_03,11.520,288
f0294,scenes/scene_03/f0294.png,scene_03,11.720,293
f0299,scenes/scene_03/f0299.png,scene_03,11.920,298
f0304,scenes/scene_03/f0304.png,scene_03,12.120,303
f0309,scenes/scene_03/f0309.png,scene_03,12.320,308
f0314,scenes/scene_03/f0314.png,scene_03,12.520,313
f0319,scenes/scene_03/f0319.png,scene_03,12.720,318
f0324,scenes/scene_03/f0324.png,scene_03,12.920,323
f0329,scenes/scene_03/f0329.png,scene_03,13.120,328
f0334,scenes/scene_03/f0334.png,scene_03,13.320,333
f0339,scenes/scene_03/f0339.png,scene_03,13.520,338
f0418,scenes/scene_04/f0418.png,scene_04,16.680,417
f0423,scenes/scene_04/f0423.png,scene_04,16.880,422
f0428,scenes/scene_04/f0428.png,scene_04,17.080,427
f0433,scenes/scene_04/f0433.png,scene_04,17.280,432
f0438,scenes/scene_04/f0438.png,scene_04,17.480,437
f0443,scenes/scene_04/f0443.png,scene_04,17.680,442
f0448,scenes/scene_04/f0448.png,scene_04,17.880,447
f0453,scenes/scene_04/f0453.png,scene_04,18.080,452
f0458,scenes/scene_04/f0458.png,scene_04,18.280,457
f0463,scenes/scene_04/f0463.png,scene_04,18.480,462
f0468,scenes/scene_04/f0468.png,scene_04,18.680,467
f0473,scenes/scene_04/f0473.png,scene_04,18.880,472
f0478,scenes/scene_04/f0478.png,scene_04,19.080,477
f0483,scenes/scene_04/f0483.png,scene_04,19.280,482
f0537,scenes/scene_05/f0537.png,scene_05,21.440,536
f0542,scenes/scene_05/f0542.png,scene_05,21.640,541
f0547,scenes/scene_05/f0547.png,scene_05,21.840,546
f0552,scenes/scene_05/f0552.png,scene_05,22.040,551
f0557,scenes/scene_05/f0557.png,scene_05,22.240,556
f0562,scenes/scene_05/f0562.png,scene_05,22.440,561
f0567,scenes/scene_05/f0567.png,scene_05,22.640,566
f0572,scenes/scene_05/f0572.png,scene_05,22.840,571
f0577,scenes/scene_05/f0577.png,scene_05,23.040,576
f0582,scenes/scene_05/f0582.png,scene_05,23.240,581
f0587,scenes/scene_05/f0587.png,scene_05,23.440,586
f0592,scenes/scene_05/f0592.png,scene_05,23.640,591
f0597,scenes/scene_05/f0597.png,scene_05,23.840,596
f0682,scenes/scene_06/f0682.png,scene_06,27.240,681
f0687,scenes/scene_06/f0687.png,scene_06,27.440,686
f0692,scenes/scene_06/f0692.png,scene_06,27.640,691
f0697,scenes/scene_06/f0697.png,scene_06,27.840,696
f0702,scenes/scene_06/f0702.png,scene_06,28.040,701
f0707,scenes/scene_06/f0707.png,scene_06,28.240,706
f0712,scenes/scene_06/f0712.png,scene_06,28.440,711
f0717,scenes/scene_06/f0717.png,scene_06,28.640,716
f0722,scenes/scene_06/f0722.png,scene_06,28.840,721
f0727,scenes/scene_06/f0727.png,scene_06,29.040,726
