frame_id,scene,letter,status,x,y,w,h,area,cx,cy,refined,s_lo,v_lo,cutout,mask
f0001,scene_01,I,ok,896,533,187,395,41556,987.5,732.8,0,165,140,by_frame/f0001/f0001_I.png,by_frame/f0001/f0001_I_mask.png
f0006,scene_01,I,ok,896,534,187,394,41603,987.5,732.7,0,165,140,by_frame/f0006/f0006_I.png,by_frame/f0006/f0006_I_mask.png
f0011,scene_01,I,ok,890,496,198,432,46560,985.3,708.7,0,165,140,by_frame/f0011/f0011_I.png,by_frame/f0011/f0011_I_mask.png
f0016,scene_01,I,ok,410,459,682,469,53689,986.2,686.1,0,165,140,by_frame/f0016/f0016_I.png,by_frame/f0016/f0016_I_mask.png
f0021,scene_01,I,ok,768,416,336,512,53684,986.8,651.6,0,165,140,by_frame/f0021/f0021_I.png,by_frame/f0021/f0021_I_mask.png
f0026,scene_01,I,ok,868,388,238,540,57932,984.0,639.2,0,165,140,by_frame/f0026/f0026_I.png,by_frame/f0026/f0026_I_mask.png
f0031,scene_01,I,ok,860,350,293,578,62673,984.1,610.5,0,165,140,by_frame/f0031/f0031_I.png,by_frame/f0031/f0031_I_mask.png
f0036,scene_01,I,ok,848,328,690,600,68387,981.9,598.1,0,165,140,by_frame/f0036/f0036_I.png,by_frame/f0036/f0036_I_mask.png
f0041,scene_01,I,ok,844,310,286,618,68079,985.1,581.5,0,165,140,by_frame/f0041/f0041_I.png,by_frame/f0041/f0041_I_mask.png
f0046,scene_01,I,ok,844,310,286,618,68067,985.1,581.5,0,165,140,by_frame/f0046/f0046_I.png,by_frame/f0046/f0046_I_mask.png
f0102,scene_02,c00,"mismatch(word=1,found=3)",848,356,324,196,28350,1005.5,438.6,0,165,140,by_frame/f0102/f0102_c00.png,by_frame/f0102/f0102_c00_mask.png
f0102,scene_02,c01,"mismatch(word=1,found=3)",896,736,105,176,6657,954.8,792.4,0,165,140,by_frame/f0102/f0102_c01.png,by_frame/f0102/f0102_c01_mask.png
f0102,scene_02,c02,"mismatch(word=1,found=3)",924,610,124,126,5459,975.2,670.9,0,165,140,by_frame/f0102/f0102_c02.png,by_frame/f0102/f0102_c02_mask.png
f0107,scene_02,F,ok,856,364,342,564,87162,997.7,579.8,0,165,140,by_frame/f0107/f0107_F.png,by_frame/f0107/f0107_F_mask.png
f0112,scene_02,F,ok,872,375,363,553,91128,1002.0,582.3,0,165,140,by_frame/f0112/f0112_F.png,by_frame/f0112/f0112_F_mask.png
f0117,scene_02,F,ok,872,366,388,562,91647,1006.7,581.6,0,165,140,by_frame/f0117/f0117_F.png,by_frame/f0117/f0117_F_mask.png
f0122,scene_02,F,ok,872,365,398,563,90671,1008.4,585.9,0,165,140,by_frame/f0122/f0122_F.png,by_frame/f0122/f0122_F_mask.png
f0127,scene_02,F,ok,880,386,395,542,85942,1016.7,600.9,0,165,140,by_frame/f0127/f0127_F.png,by_frame/f0127/f0127_F_mask.png
f0132,scene_02,F,ok,874,396,406,532,87099,1017.4,603.7,0,165,140,by_frame/f0132/f0132_F.png,by_frame/f0132/f0132_F_mask.png
f0137,scene_02,F,ok,868,394,410,534,87157,1015.1,605.1,0,165,140,by_frame/f0137/f0137_F.png,by_frame/f0137/f0137_F_mask.png
f0142,scene_02,F,ok,860,404,413,524,85962,1015.7,612.5,0,165,140,by_frame/f0142/f0142_F.png,by_frame/f0142/f0142_F_mask.png
f0147,scene_02,F,ok,862,404,402,524,83709,1016.7,617.3,0,165,140,by_frame/f0147/f0147_F.png,by_frame/f0147/f0147_F_mask.png
f0152,scene_02,F,ok,862,404,402,524,83690,1016.8,617.2,0,165,140,by_frame/f0152/f0152_F.png,by_frame/f0152/f0152_F_mask.png
f0157,scene_02,F,ok,862,404,402,524,83696,1016.8,617.3,0,165,140,by_frame/f0157/f0157_F.png,by_frame/f0157/f0157_F_mask.png
f0162,scene_02,F,ok,862,403,395,525,84803,1017.0,617.1,0,165,140,by_frame/f0162/f0162_F.png,by_frame/f0162/f0162_F_mask.png
f0167,scene_02,F,ok,862,398,391,530,85218,1016.3,614.8,0,165,140,by_frame/f0167/f0167_F.png,by_frame/f0167/f0167_F_mask.png
f0172,scene_02,F,ok,868,404,370,524,84474,1016.3,618.8,0,165,140,by_frame/f0172/f0172_F.png,by_frame/f0172/f0172_F_mask.png
f0177,scene_02,F,ok,864,393,358,535,83282,1008.9,613.3,0,165,140,by_frame/f0177/f0177_F.png,by_frame/f0177/f0177_F_mask.png
f0182,scene_02,F,ok,864,396,365,532,84549,1011.4,615.8,0,165,140,by_frame/f0182/f0182_F.png,by_frame/f0182/f0182_F_mask.png
f0187,scene_02,F,ok,862,400,376,528,85045,1012.2,614.9,0,165,140,by_frame/f0187/f0187_F.png,by_frame/f0187/f0187_F_mask.png
f0192,scene_02,F,ok,860,400,391,528,85617,1015.8,610.7,0,165,140,by_frame/f0192/f0192_F.png,by_frame/f0192/f0192_F_mask.png
f0197,scene_02,F,ok,862,398,399,530,87394,1016.9,607.5,0,165,140,by_frame/f0197/f0197_F.png,by_frame/f0197/f0197_F_mask.png
f0202,scene_02,F,ok,862,398,399,530,87424,1017.0,607.4,0,165,140,by_frame/f0202/f0202_F.png,by_frame/f0202/f0202_F_mask.png
f0224,scene_03,c00,unlabelled,956,470,326,440,56659,1082.4,638.4,0,165,140,by_frame/f0224/f0224_c00.png,by_frame/f0224/f0224_c00_mask.png
f0229,scene_03,c00,unlabelled,956,482,332,423,57713,1086.1,646.1,0,165,140,by_frame/f0229/f0229_c00.png,by_frame/f0229/f0229_c00_mask.png
f0234,scene_03,c00,unlabelled,960,490,333,404,56912,1091.7,652.3,0,165,140,by_frame/f0234/f0234_c00.png,by_frame/f0234/f0234_c00_mask.png
f0239,scene_03,c00,unlabelled,968,478,336,418,58705,1100.9,645.2,0,165,140,by_frame/f0239/f0239_c00.png,by_frame/f0239/f0239_c00_mask.png
f0244,scene_03,c00,unlabelled,980,466,329,436,59225,1108.6,637.0,0,165,140,by_frame/f0244/f0244_c00.png,by_frame/f0244/f0244_c00_mask.png
