frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.732,0.2683,39559,0,28.5,110.0,-34.07,56.4,-34.29,-70.07,18.35,73.26,48.97,-53.44,9.07,-123.21,57.23,-92.64,-99.98,-64.06,5.35,-49.74,75.61
2,f01.png,0.7082,0.292,49735,0,38.0,109.84,-40.7,59.95,-17.41,-81.49,23.19,72.53,54.59,-53.38,7.41,-112.05,56.06,-91.69,-99.72,-69.45,14.87,-33.76,76.62
3,f02.png,0.7209,0.2793,49735,0,37.7,109.44,-55.95,66.24,2.52,-95.16,23.4,75.28,61.24,-51.17,5.44,-99.07,56.8,-90.27,-98.53,-71.02,14.4,-14.02,76.55
4,f03.png,0.7027,0.2975,49735,0,34.8,104.83,-54.46,63.55,9.3,-117.13,24.66,75.28,61.24,-51.17,5.44,-99.07,56.8,-90.22,-100.0,-69.34,15.87,-12.49,76.68
5,f04.png,0.7182,0.2819,49735,0,35.1,106.73,-55.62,59.32,12.79,-125.31,19.07,75.72,62.11,-49.52,4.83,-99.89,56.76,-90.11,-98.32,-72.25,15.78,-10.46,76.36
6,f05.png,0.7291,0.2711,49735,0,34.2,109.98,-45.35,53.21,5.46,-117.37,18.13,75.94,50.36,-46.33,18.91,-98.77,56.75,-90.1,-98.08,-72.56,16.5,-9.3,76.21
7,f06.png,0.7391,0.2611,49735,0,33.5,110.0,-40.21,54.95,-19.67,-107.44,20.73,73.42,47.4,-51.16,14.04,-71.47,58.32,-90.28,-94.53,-77.48,15.04,-9.06,75.79
8,f07.png,0.7371,0.2631,49735,0,33.0,109.94,-36.16,52.14,-27.52,-67.54,17.25,74.7,45.88,-52.68,3.41,-103.97,59.2,-90.22,-94.41,-77.59,15.25,-9.26,75.79
9,f08.png,0.7302,0.27,49735,0,32.6,110.0,-41.72,58.56,-16.92,-72.77,19.1,72.81,53.62,-54.32,2.34,-103.71,58.99,-90.02,-94.22,-78.17,15.62,-6.82,75.74
10,f09.png,0.7246,0.2756,49735,0,32.8,110.0,-50.51,64.39,-6.87,-89.33,22.74,73.58,59.86,-53.19,0.51,-87.77,58.63,-90.03,-96.44,-75.74,18.44,-7.46,76.48
11,f10.png,0.6902,0.31,49735,0,33.2,103.53,-54.43,63.66,11.12,-95.05,29.71,75.39,58.48,-48.29,7.49,-85.58,61.96,-90.03,-89.64,-86.38,19.01,-3.65,75.66
12,f11.png,0.7317,0.2685,49735,0,32.7,101.36,-80.85,71.99,21.09,-124.25,33.77,59.67,99.99,-82.91,-5.68,-84.47,60.97,-90.5,-90.36,-86.71,21.79,-14.29,75.96
13,f12.png,0.7511,0.249,28592,0,19.6,99.33,-94.81,79.53,20.48,-140.34,34.21,59.51,100.0,-83.29,-5.61,-84.63,61.26,-90.81,-99.18,-76.7,28.09,-10.75,75.41
14,f13.png,0.7373,0.2629,49735,0,34.8,97.55,-99.8,89.07,13.02,-156.98,23.53,59.65,100.0,-83.15,-5.63,-84.93,61.28,-90.61,-97.72,-75.99,28.4,-9.37,75.46
15,f14.png,0.6465,0.3538,49735,0,34.1,93.82,-98.06,90.52,14.27,-157.19,23.44,59.57,100.0,-83.05,-5.65,-84.67,61.25,-90.17,-98.25,-70.28,22.03,1.72,76.04
