frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg,q_r3_j0_deg,q_r3_j1_deg,q_r3_j2_deg,q_r3_j3_deg,q_r3_j4_deg,q_r3_j5_deg,q_r4_j0_deg,q_r4_j1_deg,q_r4_j2_deg,q_r4_j3_deg,q_r4_j4_deg,q_r4_j5_deg
1,f00.png,0.6011,0.4001,36202,0,30.2,-9.45,-99.95,-75.86,-20.82,-74.45,23.51,49.27,-96.8,40.3,28.28,-96.92,69.53,-50.65,-72.12,-51.62,-66.11,131.16,99.93,-84.97,-93.34,57.92,3.72,53.87,54.04,-78.72,-72.57,-96.45,87.92,34.05,38.62
2,f01.png,0.6198,0.3813,47562,0,39.8,-9.58,-100.0,-75.99,-20.69,-74.81,23.63,51.95,-99.92,40.51,48.32,-88.5,70.46,-55.97,-74.9,-55.21,-71.55,110.87,99.15,-90.31,-94.01,60.45,5.5,42.83,54.09,-78.69,-70.5,-96.17,88.22,7.7,38.13
3,f02.png,0.6084,0.3926,49098,0,39.4,-9.52,-99.98,-76.1,-20.74,-74.97,23.74,58.19,-99.86,40.41,64.34,-76.8,68.97,-60.56,-76.96,-60.51,-74.14,85.67,99.94,-89.3,-94.58,61.97,8.25,46.7,53.97,-77.57,-68.97,-95.34,88.31,8.0,38.16
4,f03.png,0.6204,0.3805,46410,0,34.0,-9.52,-99.95,-76.09,-20.81,-75.08,23.73,68.1,-100.0,35.92,80.72,-71.14,69.48,-64.19,-75.38,-63.8,-77.65,65.71,99.76,-89.48,-93.78,60.44,9.07,53.27,54.38,-77.56,-68.95,-95.32,88.31,8.0,38.16
5,f04.png,0.6309,0.37,47178,0,34.6,-9.26,-100.0,-76.17,-20.77,-75.01,23.68,68.8,-88.23,20.05,94.84,-61.43,69.39,-58.81,-73.15,-58.32,-89.47,55.18,99.84,-89.23,-93.97,60.18,8.88,53.12,54.29,-78.72,-70.4,-96.44,88.2,7.89,38.26
6,f05.png,0.627,0.3741,48138,0,34.7,-9.32,-99.92,-76.19,-20.71,-75.26,23.67,60.93,-77.56,15.12,84.82,-72.08,69.57,-50.95,-71.7,-52.82,-84.37,57.95,99.97,-79.1,-99.78,59.62,7.08,58.66,55.39,-78.7,-70.36,-96.39,88.22,7.91,38.26
7,f06.png,0.6231,0.378,47178,0,33.7,-9.27,-99.97,-76.17,-20.75,-75.16,23.66,57.26,-75.19,13.79,67.52,-78.08,68.61,-48.04,-68.99,-50.14,-77.63,95.43,100.0,-79.17,-99.86,56.04,7.77,59.41,55.43,-78.7,-70.36,-96.39,88.22,7.91,38.26
8,f07.png,0.6136,0.3875,49866,0,35.7,-9.22,-100.0,-76.2,-20.73,-75.14,23.64,58.63,-76.64,15.18,55.85,-111.83,68.5,-50.65,-72.55,-43.89,-65.74,133.66,99.39,-79.25,-100.0,55.91,7.82,59.53,55.4,-78.73,-70.35,-96.39,88.23,7.9,38.26
9,f08.png,0.6143,0.3869,49290,0,35.4,-8.8,-99.99,-76.24,-20.79,-74.77,23.73,50.16,-84.9,28.13,54.52,-109.82,68.79,-55.48,-66.98,-66.75,-63.51,121.53,99.15,-80.19,-98.97,59.99,10.34,61.08,54.87,-78.84,-70.96,-96.67,88.22,7.7,38.3
10,f09.png,0.6122,0.3888,49098,0,35.4,-8.67,-99.98,-76.29,-20.75,-74.75,23.69,54.45,-87.35,28.22,72.08,-88.89,69.02,-58.98,-66.75,-77.06,-62.75,100.0,99.67,-77.7,-94.79,58.27,17.79,61.27,55.04,-78.26,-69.67,-95.64,88.26,7.06,38.13
11,f10.png,0.6068,0.3942,48714,0,36.4,-8.6,-99.9,-76.37,-20.75,-74.72,23.66,55.87,-100.0,28.19,88.02,-72.17,69.86,-64.91,-69.67,-78.53,-62.34,78.22,99.47,-86.96,-96.05,59.73,19.98,51.36,54.77,-77.65,-69.11,-95.13,88.31,7.14,38.08
12,f11.png,0.6208,0.3801,48906,0,38.6,-8.53,-99.85,-76.4,-20.85,-74.67,23.65,74.12,-100.0,30.64,94.73,-112.6,75.75,-68.34,-75.28,-68.47,-71.14,62.34,99.78,-88.34,-99.53,61.22,18.65,40.08,54.36,-77.67,-69.11,-95.13,88.31,7.14,38.08
13,f12.png,0.5692,0.4317,49482,0,40.5,-8.49,-99.94,-76.41,-20.91,-74.06,23.66,81.92,-99.95,23.81,95.0,-124.29,75.6,-70.67,-76.36,-69.55,-71.08,44.12,99.4,-85.64,-99.29,64.06,19.91,33.66,54.28,-77.98,-68.91,-94.96,88.33,7.14,38.08
14,f13.png,0.5418,0.4593,49674,0,41.2,-8.4,-99.94,-76.55,-20.8,-74.05,23.64,73.58,-98.33,9.04,91.26,-124.71,76.24,-75.47,-83.94,-63.53,-83.39,5.54,99.92,-92.35,-100.0,54.72,12.58,32.37,54.28,-75.3,-66.82,-92.27,92.31,2.17,38.01
15,f14.png,0.5025,0.4987,47178,0,38.1,-8.43,-100.0,-76.67,-20.93,-74.39,23.65,75.88,-100.0,-19.2,92.16,-148.07,77.19,-73.57,-63.67,-30.45,-89.03,-3.19,97.83,-85.92,-100.0,51.96,15.54,26.25,53.9,-76.46,-72.36,-90.41,94.37,-4.91,38.36
