frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.7066,0.2939,51655,0,37.6,-7.81,3.16,-29.36,35.31,-37.05,62.66,-37.71,-43.59,77.22,-92.63,-48.75,99.95,104.75,-65.99,57.47,13.17,90.17,6.38
2,f01.png,0.7151,0.2852,40135,0,29.1,-17.95,6.67,-20.16,15.37,-30.38,49.44,-49.44,-39.6,75.4,-94.94,-38.69,96.53,104.86,-59.39,49.62,17.45,60.29,35.04
3,f02.png,0.6738,0.3266,49735,0,35.0,-16.72,4.24,-22.06,15.48,-26.62,49.36,-50.76,-42.45,75.62,-95.0,-32.62,91.47,101.45,-57.44,44.57,17.51,66.04,34.79
4,f03.png,0.696,0.3044,49735,0,32.0,-65.25,1.59,-16.99,16.84,-4.01,25.93,-62.98,-27.58,67.0,-94.85,-33.74,99.4,100.19,-44.37,31.3,30.84,34.1,9.16
5,f04.png,0.7417,0.2585,49735,0,31.3,-84.19,11.61,-17.98,12.99,-10.64,30.91,-66.04,-33.07,69.84,-91.6,-25.71,98.18,102.53,-51.0,37.15,29.32,29.14,10.43
6,f05.png,0.7455,0.2548,49735,0,31.4,-83.53,11.69,-17.47,12.12,-10.98,28.12,-68.27,-38.36,71.33,-81.19,-38.94,98.38,105.95,-54.27,43.52,28.36,27.14,10.61
7,f06.png,0.7502,0.2501,28592,0,17.6,-83.07,10.93,-15.03,8.52,-18.96,17.7,-65.13,-44.54,75.33,-74.2,-47.8,99.99,107.75,-56.53,49.27,22.25,29.36,9.48
8,f07.png,0.7451,0.2553,49735,0,31.9,-83.86,20.66,-23.4,-0.03,-25.21,12.79,-65.26,-50.01,79.63,-72.24,-49.78,99.98,108.74,-59.38,53.31,21.1,21.66,8.57
9,f08.png,0.7554,0.2449,28592,0,17.5,-83.62,19.94,-24.56,2.92,-18.74,13.03,-65.83,-49.4,78.34,-72.52,-48.43,99.95,107.84,-60.02,50.59,24.09,24.52,8.65
10,f09.png,0.7436,0.2567,49735,0,31.6,-83.62,19.94,-24.56,2.92,-18.74,13.03,-66.28,-42.47,70.36,-73.08,-47.67,99.97,105.07,-65.62,48.55,28.02,34.29,8.95
11,f10.png,0.7608,0.2394,28592,0,17.6,-83.51,15.21,-16.89,1.52,-22.0,15.27,-68.19,-38.52,71.32,-72.75,-48.4,99.99,105.27,-66.21,48.87,28.16,34.64,9.3
12,f11.png,0.7608,0.2395,38215,0,24.0,-76.29,34.95,24.47,-24.45,22.6,13.94,-62.36,-42.56,78.13,-68.07,-94.03,66.49,108.21,-62.15,51.98,28.62,-15.53,-8.99
13,f12.png,0.7992,0.201,49735,0,32.9,-66.22,44.55,24.86,-50.87,54.09,54.84,-44.65,-54.31,85.63,0.1,-122.6,23.34,44.87,-63.57,72.02,20.5,51.07,8.69
14,f13.png,0.7901,0.21,43975,0,28.6,-86.33,17.37,18.2,-89.82,22.8,70.8,-37.15,-6.3,67.26,41.26,-87.49,54.05,70.51,-85.09,69.81,-17.89,85.9,-9.99
15,f14.png,0.7074,0.2928,38983,0,24.6,-82.53,9.07,26.57,-89.19,0.57,87.19,-58.48,-14.82,64.03,64.3,-108.66,99.99,83.31,-92.13,73.56,-14.26,76.23,50.94
