frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg,q_r3_j0_deg,q_r3_j1_deg,q_r3_j2_deg,q_r3_j3_deg,q_r3_j4_deg,q_r3_j5_deg,q_r4_j0_deg,q_r4_j1_deg,q_r4_j2_deg,q_r4_j3_deg,q_r4_j4_deg,q_r4_j5_deg
1,f00.png,0.7036,0.2978,49610,0,41.6,-72.38,-64.89,-92.23,-0.39,-74.97,1.37,61.97,12.02,-43.75,95.0,6.23,78.38,39.76,-66.82,32.45,88.08,-26.55,-3.89,65.65,-65.03,-56.75,-69.48,-80.44,-9.9,-12.41,-24.85,27.93,-32.62,55.47,99.97
2,f01.png,0.7134,0.2878,50826,0,43.2,-72.67,-60.81,-92.02,-1.72,-84.19,0.05,62.43,7.4,-43.46,94.85,13.81,77.06,33.97,-68.58,31.2,94.2,-22.78,-3.1,75.41,-69.39,-59.24,-69.6,-79.78,-8.75,-13.89,-28.5,24.5,-29.27,51.82,99.73
3,f02.png,0.7012,0.2998,49098,0,39.4,-73.89,-54.67,-96.83,-2.22,-81.58,-0.57,61.02,7.55,-54.31,83.93,0.64,77.18,32.22,-68.52,32.64,95.0,-19.91,-2.39,78.06,-67.74,-57.09,-70.12,-79.07,-9.54,-1.5,-33.1,23.78,-24.13,56.11,97.61
4,f03.png,0.7124,0.2885,47562,0,35.4,-74.33,-50.82,-96.83,-10.35,-92.27,-1.81,62.78,6.47,-54.46,75.48,-0.58,76.81,32.23,-68.53,32.65,95.0,-19.91,-2.39,75.94,-63.42,-54.05,-67.81,-76.14,-9.94,9.72,-37.73,25.53,-21.93,57.12,96.72
5,f04.png,0.712,0.2889,48714,0,35.9,-73.69,-51.55,-96.83,-11.84,-101.84,-7.59,60.79,10.15,-58.71,80.03,-8.21,74.76,32.34,-67.71,31.55,95.0,-19.83,-2.37,75.38,-64.32,-54.69,-67.97,-76.16,-9.94,21.88,-43.48,30.66,-20.86,57.85,97.86
6,f05.png,0.7087,0.2924,49482,0,36.6,-72.81,-58.52,-93.05,-6.31,-107.15,-9.94,60.6,12.31,-54.3,74.11,4.08,72.39,29.75,-69.2,32.69,93.64,-19.5,-1.84,74.65,-70.67,-51.73,-60.69,-66.28,-9.54,24.67,-44.54,32.21,-21.18,59.2,97.47
7,f06.png,0.7117,0.2895,49290,0,36.9,-72.26,-63.17,-90.8,-4.53,-122.63,-9.91,62.84,13.09,-48.6,88.12,19.13,72.4,27.87,-67.74,32.37,93.26,-21.75,-1.48,72.91,-72.84,-52.31,-57.78,-64.04,-9.72,24.15,-39.41,35.77,-19.46,66.67,97.13
8,f07.png,0.7107,0.2906,49098,0,36.7,-72.01,-66.18,-89.4,-1.47,-126.14,-9.67,63.34,15.03,-48.07,83.08,27.04,76.43,32.21,-67.28,30.93,92.36,-22.07,-1.43,71.15,-70.36,-59.74,-54.1,-58.56,-9.3,16.38,-34.36,32.59,-20.11,66.51,99.32
9,f08.png,0.72,0.2812,49290,0,38.2,-72.25,-64.85,-87.81,-6.0,-126.45,-9.91,63.57,14.97,-50.9,87.28,24.32,74.58,32.4,-67.92,31.14,92.73,-22.09,-1.45,72.19,-70.27,-58.04,-53.03,-55.17,-9.1,12.77,-30.94,26.11,-20.79,59.44,100.0
10,f09.png,0.7143,0.2868,49290,0,37.6,-71.61,-50.25,-94.77,-32.3,-129.51,-10.0,64.01,12.86,-52.83,94.14,15.39,75.73,31.58,-68.11,31.56,93.41,-23.14,-1.8,67.48,-67.89,-54.8,-50.67,-53.95,-9.62,6.65,-28.97,21.08,-24.26,48.47,100.0
11,f10.png,0.7278,0.2732,51978,0,38.6,-70.21,-46.93,-96.83,-35.8,-151.67,-9.74,63.23,24.83,-63.85,72.36,10.21,76.34,31.91,-68.49,32.82,93.97,-23.11,-1.93,67.92,-67.66,-54.54,-50.49,-53.97,-9.64,8.33,-25.57,30.61,-16.42,64.37,99.41
12,f11.png,0.7325,0.2683,50058,0,37.6,-68.33,-48.52,-96.83,-40.87,-155.17,-9.8,64.6,30.91,-51.88,63.74,15.61,75.4,34.05,-70.41,33.12,95.0,-23.21,-2.29,69.17,-72.0,-56.24,-50.58,-52.03,-9.8,10.86,-22.99,44.2,-12.89,57.34,99.95
13,f12.png,0.7089,0.2919,48138,0,36.8,-69.45,-53.84,-96.83,-44.41,-147.39,-9.52,48.9,46.58,-60.64,61.21,14.14,75.51,50.06,-72.5,38.34,94.92,-26.15,-2.34,73.5,-80.66,-62.7,-53.95,-40.19,-9.94,9.46,-16.01,41.39,-8.81,57.45,99.95
14,f13.png,0.7651,0.2354,52938,0,40.6,-83.61,-31.38,-96.83,-56.26,-153.86,-9.9,73.3,42.81,-48.78,56.82,4.68,77.08,47.7,-71.52,20.65,77.45,-22.4,4.3,70.88,-83.26,-65.5,-55.96,-22.82,-9.86,61.06,-7.66,64.67,5.63,41.23,100.0
15,f14.png,0.7167,0.2839,48330,0,36.1,-79.33,-35.48,-94.36,-66.76,-156.97,-8.15,71.53,7.96,-48.64,75.0,-13.12,76.3,39.12,-73.61,44.09,81.4,-19.66,-0.24,81.31,-71.67,-53.62,-51.88,-30.57,-9.73,56.9,-6.46,65.25,2.0,36.27,99.98
