frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.7927,0.2075,30512,0,22.0,-101.23,-32.63,28.46,23.7,-157.01,41.45,69.81,-6.62,-3.57,22.11,6.54,-5.0,53.62,6.52,88.27,-94.87,150.92,91.11
2,f01.png,0.777,0.2232,28592,0,21.2,-101.67,-31.56,27.23,24.47,-153.81,43.45,66.66,-0.48,-23.54,48.45,8.67,-6.56,53.0,9.48,87.57,-94.81,159.12,93.23
3,f02.png,0.7825,0.2177,28592,0,21.0,-101.67,-31.56,27.23,24.47,-153.81,43.45,65.29,9.96,-45.7,77.45,-1.08,-9.77,55.83,12.71,87.07,-94.1,162.25,93.62
4,f03.png,0.7933,0.2069,26768,0,19.6,-102.11,-33.78,29.5,24.42,-156.13,45.62,64.29,12.39,-57.41,95.0,17.76,-8.88,59.74,13.84,85.77,-94.97,162.72,94.8
5,f04.png,0.7652,0.235,26768,0,17.8,-102.11,-33.78,29.5,24.42,-156.13,45.62,63.38,4.18,-48.31,95.0,23.05,-6.84,62.53,19.34,84.01,-95.0,162.79,97.48
6,f05.png,0.7746,0.2256,28592,0,18.0,-101.79,-31.46,29.96,17.76,-157.19,45.34,61.26,-6.53,-39.53,94.88,27.01,-5.42,57.69,-22.56,46.46,-94.99,162.13,99.15
7,f06.png,0.7246,0.2756,49735,0,32.3,-102.36,-43.87,38.88,23.78,-157.0,44.55,60.21,-11.5,-35.02,95.0,31.5,-5.2,52.96,-24.64,49.31,-94.85,162.02,99.44
8,f07.png,0.7242,0.2764,49735,0,31.7,-101.72,-46.21,47.84,10.14,-157.18,24.49,38.15,-48.26,-20.09,94.99,77.7,-9.47,47.99,-30.09,57.15,-94.96,162.78,81.43
9,f08.png,0.6812,0.3195,49735,0,31.5,-101.58,-57.35,56.65,11.51,-157.21,13.94,33.8,-52.84,-19.92,95.0,62.27,-9.69,38.42,-43.29,69.62,-94.99,162.78,14.14
10,f09.png,0.6577,0.3432,34951,0,21.6,-101.49,-57.46,61.31,20.48,-156.18,62.22,25.4,-56.86,-20.14,95.0,48.74,-9.99,23.95,-55.11,83.51,-94.99,115.7,-9.95
11,f10.png,0.6301,0.3708,49735,0,32.0,-103.76,-70.65,65.52,15.24,-157.06,62.02,17.23,-60.73,-20.5,94.99,47.92,-9.99,18.6,-60.23,87.67,-93.03,113.65,-9.81
12,f11.png,0.6376,0.3631,49735,0,32.1,-106.39,-84.79,76.17,12.34,-153.63,63.0,6.66,-64.01,-19.18,94.99,49.75,-10.0,14.29,-63.68,88.61,-90.76,117.54,-9.97
13,f12.png,0.6436,0.357,49735,0,32.0,-109.09,-88.69,79.2,6.42,-144.55,62.39,1.71,-64.67,-18.7,94.61,50.0,-9.97,12.33,-63.7,88.82,-91.77,117.33,-9.96
14,f13.png,0.6349,0.3657,49735,0,32.3,-107.98,-90.64,82.81,0.09,-128.56,64.79,1.32,-66.4,-18.27,94.29,48.82,-7.55,11.99,-64.86,89.77,-91.48,118.57,-10.0
15,f14.png,0.6696,0.3309,49735,0,32.2,-77.89,-98.83,83.12,2.74,-67.74,54.28,1.15,-66.35,-18.39,94.45,48.47,-9.86,6.17,-85.35,90.41,-65.22,126.35,-9.13
