frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg,q_r3_j0_deg,q_r3_j1_deg,q_r3_j2_deg,q_r3_j3_deg,q_r3_j4_deg,q_r3_j5_deg,q_r4_j0_deg,q_r4_j1_deg,q_r4_j2_deg,q_r4_j3_deg,q_r4_j4_deg,q_r4_j5_deg
1,f00.png,0.6409,0.3597,45674,0,38.2,-69.38,-84.55,-38.87,-95.0,-21.5,98.97,-71.96,-100.0,-45.09,-56.71,-67.64,19.76,-89.92,-82.77,12.54,89.83,-1.37,8.48,-107.24,-93.75,64.89,54.33,111.15,23.95,-109.04,-78.3,80.21,45.6,72.61,94.85
2,f01.png,0.662,0.3386,47562,0,40.2,-70.06,-86.47,-34.52,-89.64,-34.79,99.91,-72.71,-99.93,-46.82,-53.97,-67.42,19.95,-85.08,-55.24,6.5,68.44,-6.28,9.0,-106.39,-99.74,67.79,53.99,109.59,23.63,-104.4,-76.83,80.55,46.67,71.9,94.69
3,f02.png,0.6716,0.3289,46602,0,37.2,-69.71,-85.0,-38.15,-90.84,-34.99,99.91,-72.58,-100.0,-46.23,-54.19,-67.65,20.21,-84.43,-44.49,-3.49,79.23,-4.63,12.75,-95.39,-98.26,60.94,54.57,110.03,23.52,-99.66,-74.69,83.74,48.71,69.2,94.0
4,f03.png,0.6785,0.3221,45258,0,33.3,-69.76,-83.49,-41.86,-88.14,-34.88,99.74,-73.64,-99.19,-48.33,-54.99,-62.29,20.36,-84.12,-41.91,-10.89,85.96,-17.77,11.63,-95.15,-98.39,54.07,50.11,106.33,23.62,-99.67,-74.59,83.86,48.8,69.27,93.92
5,f04.png,0.6526,0.3481,45642,0,33.7,-69.83,-84.77,-40.22,-87.55,-34.79,99.74,-73.68,-99.19,-48.33,-55.02,-62.29,20.36,-85.42,-37.12,-20.12,93.83,-31.98,9.89,-95.24,-98.21,53.94,49.96,106.31,23.68,-99.66,-74.53,83.89,48.84,69.3,93.87
6,f05.png,0.6265,0.3743,47370,0,35.0,-70.07,-84.05,-43.92,-84.54,-38.57,99.76,-73.56,-99.05,-48.19,-54.94,-62.29,20.36,-85.17,-36.8,-19.76,94.0,-32.04,9.93,-83.93,-98.61,49.93,47.89,107.04,23.7,-99.65,-74.56,83.83,48.81,69.29,93.9
7,f06.png,0.6207,0.3804,47754,0,35.1,-71.5,-83.37,-48.83,-78.66,-40.1,99.41,-73.48,-99.09,-48.22,-54.94,-62.29,20.36,-84.87,-36.48,-18.03,95.0,-25.99,8.59,-102.78,-77.24,12.98,37.73,90.93,25.4,-103.73,-73.95,83.91,47.75,68.99,93.64
8,f07.png,0.6168,0.3846,48330,0,36.1,-72.96,-80.83,-57.9,-70.55,-41.94,98.71,-74.37,-99.98,-48.05,-54.92,-62.23,20.59,-84.87,-36.48,-18.03,95.0,-25.99,8.59,-109.68,-57.55,0.83,41.19,103.56,26.26,-103.73,-73.95,83.91,47.75,68.99,93.64
9,f08.png,0.6026,0.3989,49098,0,36.7,-74.62,-84.57,-56.81,-66.97,-40.94,99.06,-74.01,-99.53,-47.78,-54.73,-62.36,20.77,-85.27,-27.33,-21.8,92.5,-20.11,8.88,-110.0,-43.54,-9.12,43.85,112.73,29.91,-102.15,-84.31,70.06,40.18,63.98,100.0
10,f09.png,0.6038,0.3976,50250,0,38.0,-75.52,-90.45,-52.45,-62.43,-52.72,99.5,-75.26,-99.96,-47.83,-55.07,-62.68,20.84,-85.56,-25.92,-20.07,93.13,-20.27,8.78,-110.0,-45.43,-6.06,40.86,111.65,29.53,-102.49,-82.5,72.0,42.09,67.8,99.66
11,f10.png,0.62,0.3811,48138,0,48.9,-75.44,-95.33,-48.58,-52.67,-72.74,99.69,-75.21,-99.99,-47.8,-55.0,-62.67,20.82,-85.31,-24.71,-18.81,93.62,-20.38,8.77,-110.0,-45.45,-6.03,40.82,111.64,29.52,-109.25,-84.47,81.39,41.89,70.22,99.27
12,f11.png,0.6279,0.3729,50250,0,47.3,-53.71,-100.0,-80.86,-50.25,-76.93,99.64,-72.02,-100.0,-48.82,-49.56,-64.39,20.7,-85.25,-23.76,-17.83,93.96,-20.5,8.74,-110.0,-37.56,-16.81,51.17,117.47,33.74,-109.91,-87.08,86.72,41.47,69.5,99.63
13,f12.png,0.6402,0.3605,46794,0,42.8,-53.51,-100.0,-82.01,-49.93,-77.3,99.6,-71.4,-94.76,-61.84,-37.11,-67.31,20.85,-110.0,-71.02,-27.49,95.0,-25.41,9.79,-110.0,-49.19,-4.05,41.17,110.35,35.53,-106.45,-88.99,91.01,41.55,70.29,99.55
14,f13.png,0.6473,0.3533,52938,0,48.5,-53.31,-100.0,-82.23,-50.4,-76.78,99.79,-71.4,-100.0,-55.84,-30.55,-64.58,21.03,-110.0,-72.32,-26.19,95.0,-25.47,9.52,-110.0,-44.8,-6.54,41.77,111.3,39.84,-104.46,-87.96,91.24,43.72,76.72,99.83
15,f14.png,0.6561,0.3445,47562,0,43.2,-52.83,-100.0,-83.19,-50.28,-76.92,99.86,-71.32,-99.17,-57.93,-28.79,-65.23,21.79,-110.0,-72.24,-26.06,95.0,-25.14,9.87,-110.0,-48.97,-4.12,41.98,112.37,46.9,-97.55,-88.79,91.24,44.51,79.2,99.04
