frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.5423,0.4583,51655,0,38.5,-109.92,-100.0,34.31,94.69,-16.57,98.88,-18.34,8.05,-20.04,-32.42,127.03,35.92,41.99,-40.62,88.86,38.06,-75.15,93.85
2,f01.png,0.5344,0.4662,49735,0,37.9,-109.99,-100.0,36.84,94.42,-15.65,99.83,-18.34,8.05,-20.04,-32.42,127.03,35.92,33.86,-40.36,89.37,35.89,-74.22,92.78
3,f02.png,0.5464,0.4543,33991,0,23.7,-109.03,-99.86,36.43,94.99,-11.55,99.83,-17.33,5.8,-16.89,-22.83,119.97,26.8,11.91,-45.33,88.44,37.49,-74.98,97.89
4,f03.png,0.5528,0.4479,34759,0,21.7,-94.33,-99.94,43.58,81.79,6.89,99.32,-8.67,1.03,-20.59,-17.09,157.75,12.38,0.56,-46.98,84.22,28.93,-96.63,84.93
5,f04.png,0.52,0.4808,49735,0,31.6,-96.58,-99.98,45.98,76.71,9.99,99.63,-10.01,-6.83,-18.47,-6.19,162.19,-5.97,-6.1,-24.0,75.51,41.38,-76.33,99.97
6,f05.png,0.5007,0.5003,49735,0,31.7,-94.31,-99.6,48.87,72.92,18.04,90.12,-6.66,-16.51,-14.91,35.79,130.74,12.21,-6.95,-27.57,70.52,48.9,-65.49,97.46
7,f06.png,0.4658,0.5357,49735,0,31.6,-95.22,-96.12,57.02,61.0,18.09,88.14,-5.95,-21.43,-18.15,37.37,130.56,11.99,-7.52,-26.77,64.72,52.65,-71.44,97.03
8,f07.png,0.5619,0.4386,36103,0,22.2,-109.52,-99.89,40.09,80.66,-33.52,99.58,-1.14,20.43,-0.58,47.81,140.23,19.34,0.99,-28.07,46.34,-2.64,-51.43,92.55
9,f08.png,0.6022,0.3984,31687,0,19.4,-109.41,-100.0,34.71,95.0,-23.21,100.0,8.68,9.86,1.65,34.59,136.46,23.84,1.53,-36.06,46.0,-4.11,-47.79,79.88
10,f09.png,0.5881,0.4126,49735,0,31.1,-96.55,-99.81,36.01,94.09,-8.14,99.84,7.65,10.39,0.24,20.27,160.43,6.78,66.05,-53.35,64.61,18.59,-44.92,90.6
11,f10.png,0.5776,0.4231,49735,0,31.0,-96.31,-99.93,36.76,94.31,-5.43,99.79,-4.08,3.1,-2.89,53.77,159.54,10.04,65.03,-63.6,67.79,9.34,-19.07,99.4
12,f11.png,0.5688,0.432,33991,0,20.6,-101.84,-100.0,30.19,94.96,-12.64,75.79,6.74,8.75,4.0,46.53,145.51,9.9,64.69,-70.53,63.82,31.02,2.96,97.72
13,f12.png,0.549,0.452,49735,0,31.5,-109.99,-99.9,26.65,95.0,-21.38,71.18,8.77,8.77,2.63,41.56,126.15,-8.55,58.95,-78.17,63.97,79.0,-16.56,96.31
14,f13.png,0.5292,0.4719,36487,0,22.6,-107.96,-97.64,26.71,95.0,-18.8,69.23,7.22,9.15,2.98,47.1,118.83,24.95,57.98,-82.06,75.13,46.05,-59.52,85.75
15,f14.png,0.5099,0.4912,49735,0,31.4,-105.52,-96.5,28.33,94.99,-18.87,71.13,6.95,9.24,4.98,48.79,111.28,44.06,56.58,-84.97,76.94,43.86,-61.0,98.92
