frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg,q_r3_j0_deg,q_r3_j1_deg,q_r3_j2_deg,q_r3_j3_deg,q_r3_j4_deg,q_r3_j5_deg,q_r4_j0_deg,q_r4_j1_deg,q_r4_j2_deg,q_r4_j3_deg,q_r4_j4_deg,q_r4_j5_deg
1,f00.png,0.609,0.3923,47466,0,49.2,-65.18,-93.85,65.78,-95.0,108.18,96.98,67.59,-77.59,31.15,53.89,66.45,53.92,81.73,-50.22,78.51,-94.86,-67.91,78.21,-98.79,-85.06,-47.84,45.22,19.99,98.13,64.58,46.25,-5.05,-28.5,-59.62,99.77
2,f01.png,0.6125,0.3888,46602,0,48.2,-61.47,-93.45,67.39,-95.0,107.11,97.81,69.48,-76.73,32.57,49.61,66.57,57.71,82.8,-50.15,78.29,-95.0,-67.94,78.21,-99.08,-83.42,-46.09,47.9,1.38,97.77,64.95,44.74,-5.27,-28.8,-60.07,99.84
3,f02.png,0.5907,0.4105,8832,0,10.1,-61.89,-93.75,66.97,-93.64,103.14,99.34,72.97,-77.75,32.01,48.64,66.21,57.78,87.23,-49.59,78.98,-94.97,-68.19,78.63,-95.25,-83.29,-46.0,47.9,1.37,97.77,68.82,44.74,-5.27,-28.8,-60.07,99.84
4,f03.png,0.5527,0.4485,11136,0,13.5,-52.55,-93.06,66.44,-95.0,92.86,100.0,74.94,-78.31,30.85,47.31,66.56,58.33,96.22,-49.29,79.23,-94.9,-68.35,78.79,-90.16,-90.94,-48.98,48.41,1.54,97.77,76.36,44.74,-5.27,-28.8,-60.07,99.84
5,f04.png,0.6115,0.3894,48138,0,46.5,-94.17,-95.59,83.95,-90.3,113.57,85.62,74.17,-86.63,39.42,33.27,61.63,58.76,92.53,-48.77,71.12,-90.69,-94.12,82.25,-91.36,-86.57,-28.83,77.86,24.46,99.34,59.54,33.36,-11.3,-19.58,-58.04,99.48
6,f05.png,0.6266,0.3743,50442,0,45.2,-107.65,-100.0,80.27,-95.0,83.92,95.15,71.58,-90.89,45.5,21.09,49.95,58.15,89.97,-44.79,69.44,-88.22,-115.77,82.02,-89.16,-88.38,-19.21,90.67,39.58,100.0,55.24,29.34,-12.72,-13.72,-48.96,98.6
7,f06.png,0.6208,0.3804,14016,0,13.7,-102.0,-100.0,82.08,-95.0,71.96,100.0,79.06,-90.89,41.11,20.67,51.02,58.32,81.8,-41.77,74.92,-91.74,-115.19,77.64,-82.3,-100.0,-16.25,89.3,37.46,97.93,57.05,26.53,-16.64,-14.94,-50.01,98.6
8,f07.png,0.6012,0.4001,17664,0,16.9,-99.59,-100.0,62.78,-95.0,50.5,100.0,92.99,-93.8,46.43,17.83,46.33,55.62,94.49,-34.65,82.85,-85.82,-117.45,83.34,-83.09,-100.0,-29.32,94.18,52.81,100.0,56.93,23.29,-19.85,-16.06,-50.01,98.6
9,f08.png,0.5787,0.4227,10368,0,10.0,-68.86,-91.45,61.66,-86.44,60.87,94.42,91.58,-71.2,33.25,20.51,38.38,49.28,94.57,-32.38,85.0,-80.87,-122.04,86.87,-84.21,-100.0,-39.55,95.0,62.54,100.0,58.45,20.15,-23.29,-18.12,-50.0,98.6
10,f09.png,0.6371,0.3637,50826,0,44.6,-64.96,-82.9,56.11,-95.0,48.98,92.57,85.22,-82.72,38.82,23.98,11.82,49.5,90.09,-44.78,68.03,-87.64,-119.77,85.22,-89.17,-100.0,-49.21,95.0,75.84,100.0,60.25,17.94,-27.16,-24.31,-62.58,99.05
11,f10.png,0.6511,0.3496,47370,0,43.6,-80.98,-100.0,53.28,-87.36,46.52,92.92,88.23,-82.02,38.07,24.75,14.25,49.15,65.78,-29.75,55.23,-85.42,-138.13,84.86,-95.49,-99.97,-53.65,94.66,64.31,99.94,66.28,16.86,-28.73,-25.21,-65.42,99.27
12,f11.png,0.6203,0.3808,50826,0,45.0,-72.37,-100.0,64.12,-95.0,42.93,97.91,94.34,-82.62,37.3,24.7,32.04,39.94,66.07,-24.39,46.83,-92.66,-149.26,85.86,-95.4,-100.0,-58.39,94.54,49.7,99.76,68.11,14.2,-30.77,-26.16,-71.23,99.31
13,f12.png,0.5588,0.4427,46602,0,39.9,-54.63,-100.0,68.65,-95.0,24.31,100.0,93.49,-79.67,32.88,26.43,36.38,38.96,68.62,-15.93,51.97,-94.88,-148.95,86.55,-93.33,-100.0,-61.77,94.29,49.17,100.0,72.01,15.15,-32.06,-32.86,-77.19,99.31
14,f13.png,0.5103,0.4915,51786,0,44.8,-52.09,-100.0,67.72,-95.0,11.53,100.0,90.74,-81.04,27.3,28.96,36.69,38.68,67.18,-13.81,50.51,-93.25,-157.14,83.66,-74.6,-100.0,-80.95,94.01,63.8,100.0,74.35,21.03,-29.45,-33.92,-84.58,99.89
15,f14.png,0.5279,0.4737,49290,0,42.3,-76.24,-98.54,52.95,-94.51,15.48,99.97,90.3,-80.67,22.08,38.6,33.59,33.22,63.92,-7.74,52.87,-93.92,-156.83,84.17,-73.99,-100.0,-87.52,94.88,46.68,99.61,72.91,27.92,-25.84,-34.03,-87.49,99.94
