frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.6552,0.3457,51655,0,38.2,69.25,-100.0,1.78,72.25,-157.19,48.0,15.48,-77.62,56.15,91.1,102.13,99.99,60.14,-78.42,77.93,-48.4,7.4,71.35
2,f01.png,0.6738,0.327,36103,0,26.0,71.91,-99.95,-1.38,75.75,-157.14,56.83,40.45,-79.54,48.11,79.26,116.58,95.76,62.18,-72.36,72.36,-44.12,7.42,85.11
3,f02.png,0.6778,0.323,37255,0,26.5,74.7,-100.0,-3.1,73.4,-157.17,66.26,44.16,-74.37,43.15,72.87,115.81,100.0,62.75,-71.59,65.22,-14.0,-2.54,99.99
4,f03.png,0.6875,0.3131,49735,0,32.3,73.55,-83.44,-7.47,91.77,-157.21,66.37,52.82,-53.13,26.51,63.1,118.21,100.0,71.34,-88.44,53.31,5.38,-38.53,99.68
5,f04.png,0.6705,0.3298,38983,0,24.8,69.01,-73.43,-11.17,95.0,-88.47,57.64,54.72,-57.2,10.36,69.65,111.06,100.0,71.36,-90.09,41.03,17.6,-28.22,99.92
6,f05.png,0.6378,0.3627,49735,0,32.5,72.27,-79.39,-16.09,91.73,-71.47,56.24,55.23,-53.96,4.51,61.53,106.99,99.89,71.66,-88.74,38.64,18.13,-43.12,100.0
7,f06.png,0.6067,0.3938,49735,0,32.1,80.35,-81.45,-30.2,94.99,-81.06,43.08,67.24,-50.71,-7.17,70.0,88.62,99.89,88.2,-54.45,35.46,4.56,-62.28,81.8
8,f07.png,0.6003,0.4003,49735,0,31.4,82.78,-79.01,-30.15,94.94,-81.83,43.21,73.81,-45.85,-10.37,71.64,54.26,46.75,104.46,-33.53,24.43,-12.3,-27.57,99.96
9,f08.png,0.5855,0.4152,49735,0,31.5,82.78,-79.01,-30.15,94.94,-81.83,43.21,73.23,-42.74,-12.46,68.38,53.14,47.05,105.76,-33.35,24.53,-12.74,-26.48,100.0
10,f09.png,0.5834,0.4173,49735,0,31.6,82.78,-79.01,-30.15,94.94,-81.83,43.21,73.23,-42.74,-12.46,68.38,53.14,47.05,105.69,-33.34,24.46,-12.92,-26.32,99.86
11,f10.png,0.5834,0.4173,49735,0,31.5,82.78,-79.01,-30.15,94.94,-81.83,43.21,73.31,-42.33,-12.54,67.98,53.01,46.96,105.69,-33.34,24.46,-12.92,-26.32,99.86
