frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg,q_r3_j0_deg,q_r3_j1_deg,q_r3_j2_deg,q_r3_j3_deg,q_r3_j4_deg,q_r3_j5_deg,q_r4_j0_deg,q_r4_j1_deg,q_r4_j2_deg,q_r4_j3_deg,q_r4_j4_deg,q_r4_j5_deg
1,f00.png,0.5997,0.4019,41578,0,42.1,73.18,-90.58,-2.49,81.84,-157.21,88.33,-67.63,91.62,-87.39,-4.03,90.35,91.84,22.89,-72.84,33.26,95.0,70.77,-6.26,-109.89,-53.49,-4.1,-94.73,89.69,40.37,-110.0,-36.4,35.12,47.87,119.12,38.39
2,f01.png,0.6075,0.3939,47370,0,47.7,74.44,-90.99,-0.51,82.86,-157.17,88.33,-67.59,91.67,-87.54,-4.07,90.26,91.87,15.98,-76.27,28.97,95.0,67.53,-1.21,-106.45,-55.57,3.61,-95.0,82.41,39.8,-107.9,-36.08,34.96,49.32,123.4,38.18
3,f02.png,0.6204,0.3809,49866,0,48.3,68.37,-78.89,-3.04,94.63,-156.93,85.58,-67.53,91.58,-87.51,-3.9,89.84,92.0,12.88,-70.1,19.3,95.0,73.76,-1.7,-102.53,-58.07,2.66,-94.82,81.14,37.08,-105.46,-39.26,39.12,53.46,135.56,37.7
4,f03.png,0.6206,0.3801,50634,0,45.1,57.43,-70.55,1.58,95.0,-91.4,83.38,-67.72,91.71,-87.58,-3.58,89.84,91.98,78.03,-87.77,-15.5,68.56,101.24,-6.66,-92.01,-50.85,-17.1,-95.0,77.95,37.1,-102.57,-38.39,40.83,54.46,135.0,37.37
5,f04.png,0.6039,0.3969,48906,0,43.5,55.25,-69.48,-4.37,83.76,-71.25,79.86,-67.65,91.61,-87.54,-3.73,89.68,92.17,79.55,-99.47,-23.82,64.85,102.66,-10.0,-89.57,-50.1,-23.15,-94.73,88.96,36.77,-102.6,-38.44,41.04,54.76,135.06,37.31
6,f05.png,0.5575,0.4436,9408,0,8.9,62.67,-63.55,-20.35,92.22,-80.44,79.95,-55.01,91.61,-87.54,-3.73,89.68,92.17,80.53,-100.0,-25.64,77.66,103.15,-10.0,-77.04,-48.31,-22.07,-93.89,89.08,36.72,-89.96,-38.44,41.04,54.76,135.06,37.31
7,f06.png,0.5263,0.475,45834,0,39.9,63.45,-59.76,-27.59,93.51,-87.39,82.72,-54.88,91.45,-87.54,-3.79,89.74,92.03,82.83,-96.79,-26.07,77.79,103.37,-9.98,-77.05,-48.28,-22.04,-93.86,89.09,36.72,-79.94,-34.02,45.09,58.2,131.57,40.5
8,f07.png,0.498,0.5035,46218,0,43.2,66.02,-57.85,-33.58,95.0,-91.91,82.76,-54.83,91.26,-87.76,-3.81,89.87,91.96,82.91,-96.56,-26.13,78.09,103.56,-9.95,-77.0,-48.49,-22.16,-94.04,89.06,36.74,-77.33,-42.51,51.53,44.91,118.37,40.92
9,f08.png,0.5057,0.496,46986,0,40.9,66.58,-58.52,-34.69,95.0,-96.59,83.04,-54.89,91.21,-87.95,-3.88,89.87,91.96,83.36,-96.48,-26.05,77.78,103.66,-9.9,-64.17,-52.08,-24.45,-88.97,97.12,37.15,-73.17,-42.64,59.92,32.28,120.49,41.8
10,f09.png,0.5094,0.4923,48522,0,41.7,65.64,-58.01,-34.46,95.0,-97.92,82.66,-54.79,91.3,-87.92,-4.02,89.84,92.04,84.8,-97.12,-25.61,77.01,103.3,-9.91,-63.85,-52.7,-27.95,-86.22,99.35,33.98,-72.39,-43.42,62.9,24.02,120.1,41.43
11,f10.png,0.51,0.4917,46602,0,40.0,65.64,-58.01,-34.46,95.0,-97.92,82.66,-55.21,91.15,-87.84,-4.0,89.91,91.75,84.84,-97.06,-25.82,77.06,103.29,-9.99,-63.85,-52.7,-27.95,-86.22,99.35,33.98,-72.39,-43.42,62.9,24.02,120.1,41.43
