frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.691,0.3098,51655,0,38.5,63.18,66.31,-96.83,-95.0,76.6,-9.89,60.27,81.7,-96.02,-68.67,-26.67,26.96,83.71,-25.34,-96.79,-75.29,113.12,73.91
2,f01.png,0.6998,0.3009,49735,0,38.2,62.83,66.08,-96.83,-94.98,82.76,-9.86,60.27,81.7,-96.02,-68.67,-26.67,26.96,85.45,-34.0,-88.0,-80.28,110.56,76.59
3,f02.png,0.7089,0.2917,49735,0,35.1,62.4,65.59,-96.78,-94.94,78.78,-9.98,60.27,81.7,-96.02,-68.67,-26.67,26.96,85.02,-46.36,-72.25,-79.38,109.33,80.16
4,f03.png,0.7119,0.2886,49735,0,32.9,62.39,65.61,-96.83,-94.97,78.77,-10.0,60.27,81.7,-96.02,-68.67,-26.67,26.96,84.38,-46.86,-70.75,-84.08,116.09,84.13
5,f04.png,0.7468,0.2535,49735,0,32.8,62.38,66.28,-96.81,-95.0,72.54,-9.39,60.13,82.16,-96.63,-74.35,-37.2,23.36,81.8,-57.92,-52.18,-94.98,126.16,97.79
6,f05.png,0.7643,0.2359,26768,0,17.1,62.38,66.28,-96.81,-95.0,72.54,-9.39,60.13,82.16,-96.63,-74.35,-37.2,23.36,82.02,-65.22,-45.62,-93.89,130.26,99.88
7,f06.png,0.7849,0.2151,26768,0,16.9,62.38,66.28,-96.81,-95.0,72.54,-9.39,60.13,82.16,-96.63,-74.35,-37.2,23.36,81.78,-62.82,-60.9,-94.99,145.9,97.71
8,f07.png,0.7863,0.2138,26768,0,16.9,62.38,66.28,-96.81,-95.0,72.54,-9.39,60.13,82.16,-96.63,-74.35,-37.2,23.36,81.78,-62.82,-60.9,-94.99,145.9,97.71
9,f08.png,0.7847,0.2154,26768,0,17.0,62.38,66.28,-96.81,-95.0,72.54,-9.39,60.13,82.16,-96.63,-74.35,-37.2,23.36,81.71,-59.77,-66.3,-94.38,146.18,99.29
10,f09.png,0.7855,0.2146,26768,0,16.9,62.38,66.28,-96.81,-95.0,72.54,-9.39,60.13,82.16,-96.63,-74.35,-37.2,23.36,81.71,-59.77,-66.3,-94.38,146.18,99.29
11,f10.png,0.7876,0.2125,26768,0,16.9,62.04,65.09,-96.83,-95.0,72.09,-9.44,61.51,84.9,-96.78,-64.67,-45.14,23.34,81.71,-59.77,-66.3,-94.38,146.18,99.29
