frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.9211,0.0789,30512,0,21.1,87.99,-99.21,77.35,-68.91,-138.3,11.5,-99.23,-95.48,26.86,-76.93,-91.96,4.27,80.28,18.84,5.48,93.47,-78.0,15.24
2,f01.png,0.9222,0.0779,26768,0,18.5,87.99,-99.21,77.35,-68.91,-138.3,11.5,-99.23,-95.48,26.86,-76.93,-91.96,4.27,80.28,18.84,5.48,93.47,-78.0,15.24
3,f02.png,0.8878,0.1123,26768,0,18.5,87.99,-99.21,77.35,-68.91,-138.3,11.5,-102.47,-99.88,44.85,-79.23,-94.47,4.57,80.28,18.84,5.48,93.47,-78.0,15.24
4,f03.png,0.9164,0.0836,26768,0,18.5,92.06,-86.87,77.86,-80.05,-157.21,1.46,-104.25,-100.0,28.56,-71.43,-104.4,1.63,91.12,18.32,23.27,79.36,-106.16,6.96
5,f04.png,0.8832,0.1168,26614,0,16.9,106.02,-99.96,79.8,-81.23,-157.11,-9.17,-109.93,-99.93,42.71,-80.33,-108.47,5.49,92.11,16.59,20.54,66.32,-88.1,28.15
6,f05.png,0.841,0.1591,26768,0,16.2,102.92,-77.57,82.49,-91.01,-126.77,-9.14,-109.89,-98.45,45.11,-83.17,-99.91,11.1,95.77,19.99,17.73,69.59,-87.25,28.59
7,f06.png,0.8661,0.134,5930,0,4.0,105.95,-72.61,79.51,-82.34,-120.97,-9.91,-109.98,-85.89,47.99,-95.0,-101.96,78.39,96.97,16.06,-2.14,94.52,-80.56,-9.82
8,f07.png,0.8123,0.1878,26768,0,16.5,109.9,-71.11,76.13,-78.15,-134.33,-9.99,-110.0,-81.72,46.05,-94.88,-86.8,84.78,99.53,17.67,-4.47,87.12,-87.7,-4.22
9,f08.png,0.7606,0.2396,28592,0,17.7,110.0,-71.17,72.86,-74.14,-140.06,-9.88,-110.0,-80.72,42.03,-94.39,-74.33,86.28,103.58,37.0,7.85,91.22,-89.2,-7.65
10,f09.png,0.7476,0.2526,49735,0,32.3,110.0,-69.49,68.75,-60.14,-154.3,-9.04,-109.96,-79.96,33.94,-94.99,-73.34,99.98,105.99,41.19,8.62,89.11,-115.79,1.45
11,f10.png,0.7471,0.2531,49735,0,32.8,110.0,-69.49,68.75,-60.14,-154.3,-9.04,-109.96,-79.96,33.94,-94.99,-73.34,99.98,106.39,42.51,6.44,89.51,-115.94,2.18
