frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.752,0.2484,50023,0,37.7,58.15,-70.84,-18.96,94.71,-102.09,91.99,-76.09,11.14,-17.75,94.95,34.95,8.64,-48.78,-44.99,61.39,-94.94,162.79,11.68
2,f01.png,0.7446,0.2557,49735,0,37.5,66.42,-76.98,-15.82,94.95,-117.88,91.19,-78.96,16.46,-28.68,81.7,25.09,7.65,-52.38,-46.61,61.92,-94.87,160.23,11.58
3,f02.png,0.7906,0.2098,28592,0,20.2,64.73,-93.7,8.93,64.82,-122.95,91.96,-81.54,24.0,-38.43,67.06,15.1,7.95,-58.42,-48.57,64.17,-94.84,162.47,11.61
4,f03.png,0.7739,0.2265,28592,0,18.3,69.45,-96.29,16.57,54.52,-138.97,91.88,-81.19,28.26,-28.28,70.47,13.25,6.6,-56.49,-52.82,65.9,-94.99,162.75,12.75
5,f04.png,0.7282,0.2723,49735,0,32.4,109.86,-86.88,4.72,68.78,-157.18,76.65,-23.63,10.86,-21.82,63.39,6.89,-3.47,-49.5,-51.39,69.53,-95.0,162.13,-10.0
6,f05.png,0.6695,0.3311,49735,0,31.6,110.0,-65.93,-6.34,82.44,-157.21,99.97,-7.93,-30.93,7.55,24.0,-17.76,17.77,-46.05,-70.67,77.79,-85.2,162.44,1.55
7,f06.png,0.6481,0.3525,36295,0,22.5,110.0,-60.44,-3.99,81.66,-157.21,99.97,-13.03,-29.74,0.73,30.29,-13.53,12.3,-53.22,-89.52,76.51,-55.93,162.78,11.94
8,f07.png,0.6236,0.3771,49735,0,32.0,110.0,-58.23,-2.65,80.43,-157.18,99.99,-14.71,-31.54,-3.76,36.13,15.72,26.89,-57.9,-100.0,76.18,-43.25,162.64,11.88
9,f08.png,0.626,0.3747,49735,0,32.2,110.0,-58.23,-2.65,80.43,-157.18,99.99,-14.71,-31.54,-3.76,36.13,15.72,26.89,-57.9,-100.0,76.18,-43.25,162.64,11.88
10,f09.png,0.6236,0.3771,49735,0,32.4,110.0,-58.23,-2.65,80.43,-157.18,99.99,-14.71,-31.54,-3.76,36.13,15.72,26.89,-57.9,-100.0,76.18,-43.25,162.64,11.88
11,f10.png,0.6241,0.3767,49735,0,32.4,110.0,-58.23,-2.65,80.43,-157.18,99.99,-14.71,-31.54,-3.76,36.13,15.72,26.89,-57.9,-100.0,76.18,-43.25,162.64,11.88
