frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.5972,0.4036,51655,0,38.2,109.95,-60.02,-40.95,85.83,-109.73,100.0,20.21,26.6,66.46,-78.25,98.36,62.95,-72.55,-20.42,-3.86,46.58,98.77,67.19
2,f01.png,0.6002,0.4005,49735,0,36.7,109.98,-60.88,-40.71,89.4,-113.28,99.03,20.21,26.6,66.46,-78.25,98.36,62.95,-72.55,-20.42,-3.86,46.58,98.77,67.19
3,f02.png,0.6218,0.3788,49735,0,34.0,110.0,-58.45,-38.8,90.49,-112.71,99.99,21.86,24.07,67.44,-78.48,97.87,62.95,-74.59,-15.26,-9.14,47.27,100.64,66.81
4,f03.png,0.5953,0.4053,49735,0,32.1,109.95,-55.88,-37.79,85.6,-113.64,99.78,27.81,22.92,66.23,-78.75,99.09,63.25,-74.08,-23.83,-2.56,48.76,96.72,67.27
5,f04.png,0.6023,0.3983,49735,0,32.4,110.0,-60.71,-29.61,75.02,-117.3,99.94,-11.01,15.34,79.33,-76.3,108.59,60.57,-60.16,-58.97,16.98,69.19,105.18,99.64
6,f05.png,0.6014,0.3993,49735,0,32.2,110.0,-60.71,-29.61,75.02,-117.3,99.94,-2.01,12.75,78.19,-76.41,95.22,60.4,-63.18,-56.72,15.71,65.12,91.31,99.05
7,f06.png,0.5894,0.4114,49735,0,32.0,110.0,-61.42,-23.03,67.83,-106.39,99.85,-4.58,10.74,78.64,-68.14,102.73,58.5,-52.57,-69.48,16.28,80.2,109.73,98.74
8,f07.png,0.6021,0.3986,49735,0,32.2,109.82,-62.99,-19.5,68.14,-110.0,99.98,-4.58,10.74,78.64,-68.14,102.73,58.5,-53.86,-68.34,17.97,79.08,115.26,99.07
9,f08.png,0.6265,0.374,34759,0,21.7,109.94,-63.2,-16.07,66.91,-108.61,100.0,-4.3,10.55,86.1,-64.39,94.36,75.75,-56.9,-83.13,29.95,67.06,112.08,88.88
10,f09.png,0.6352,0.3653,35143,0,22.1,110.0,-62.11,-12.23,58.15,-107.72,99.96,-4.33,6.31,87.48,-61.38,58.21,90.25,-52.79,-86.92,27.03,74.17,110.72,88.21
11,f10.png,0.6295,0.3711,35527,0,22.5,110.0,-58.59,-13.97,55.19,-107.65,100.0,-4.12,3.1,88.95,-57.8,32.55,50.85,-50.33,-90.27,21.89,80.63,109.5,94.35
12,f11.png,0.6249,0.3756,49735,0,32.6,110.0,-58.59,-13.97,55.19,-107.65,100.0,-4.12,3.1,88.95,-57.8,32.55,50.85,-45.29,-86.74,16.65,87.57,106.69,94.62
13,f12.png,0.6129,0.3876,49735,0,32.5,109.97,-56.36,-16.39,55.47,-105.29,99.99,-3.21,1.36,89.26,-57.76,33.28,50.9,-45.48,-86.76,13.72,88.55,101.7,94.48
14,f13.png,0.6133,0.3873,49735,0,32.5,110.0,-52.77,-17.52,54.26,-105.28,99.72,-4.76,-1.81,89.26,-55.07,31.44,51.67,-38.88,-86.55,12.45,90.03,100.53,94.35
15,f14.png,0.5925,0.4081,35143,0,22.3,110.0,-64.25,-11.51,63.15,-110.53,99.97,-30.71,14.53,85.74,-64.93,30.24,43.11,-55.53,-75.62,26.3,69.16,112.53,99.89
16,f15.png,0.6617,0.3387,49735,0,33.1,110.0,-51.38,-25.17,85.88,-129.65,95.87,-39.7,27.96,82.88,-82.65,39.61,50.53,-52.73,-25.7,-7.39,94.99,100.56,92.16
17,f16.png,0.6856,0.3149,36871,0,23.9,110.0,-87.37,-58.73,94.42,-156.29,97.58,-30.36,25.61,83.36,-79.77,43.47,59.28,-72.68,-34.05,-26.91,71.5,123.56,99.97
18,f17.png,0.6794,0.3212,49735,0,33.2,110.0,-83.46,-69.92,94.91,-157.21,99.99,-29.63,25.24,83.29,-79.54,42.6,59.38,-64.56,-32.61,-25.89,67.75,116.94,99.86
19,f18.png,0.7226,0.2781,33223,0,21.1,110.0,-89.52,-64.46,95.0,-157.19,99.91,-37.47,14.98,77.21,-68.98,52.64,38.17,-46.21,-36.66,-26.43,73.1,116.15,85.59
20,f19.png,0.7273,0.2733,49735,0,32.3,110.0,-88.83,-61.0,95.0,-157.21,99.87,-38.26,14.97,79.75,-71.41,48.74,24.42,-37.82,-42.18,-25.15,77.19,119.22,99.99
21,f20.png,0.7398,0.2609,49735,0,33.0,110.0,-88.83,-61.0,95.0,-157.21,99.87,-56.46,24.16,81.85,-72.06,47.49,23.42,-38.44,-47.47,-14.99,68.47,116.76,99.96
22,f21.png,0.7431,0.2577,49735,0,33.3,110.0,-88.83,-61.0,95.0,-157.21,99.87,-64.29,31.78,77.92,-78.55,50.91,23.09,-38.34,-47.5,-14.96,68.33,116.83,100.0
23,f22.png,0.7439,0.2568,49735,0,33.7,110.0,-88.83,-61.0,95.0,-157.21,99.87,-64.33,31.94,77.16,-78.65,50.72,23.11,-37.81,-47.22,-15.18,68.4,116.23,99.94
24,f23.png,0.7435,0.2573,49735,0,33.2,110.0,-88.83,-61.0,95.0,-157.21,99.87,-64.33,32.1,76.82,-78.89,50.35,23.15,-37.81,-47.22,-15.18,68.4,116.23,99.94
