frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.6612,0.3399,51655,0,38.2,35.87,-95.44,-26.05,80.59,18.66,36.75,-68.17,59.24,-96.8,-94.95,111.1,51.35,35.57,-18.79,-84.11,-66.89,52.95,6.09
2,f01.png,0.6804,0.3205,38215,0,27.5,37.36,-95.12,-28.35,83.87,1.29,42.77,-67.84,59.01,-96.82,-93.01,119.58,35.1,30.5,-15.47,-77.04,-88.11,35.41,-8.69
3,f02.png,0.6748,0.326,49735,0,35.1,40.72,-88.58,-40.35,92.87,3.38,42.95,-67.84,59.01,-96.82,-93.01,119.58,35.1,30.5,-15.47,-77.04,-88.11,35.41,-8.69
4,f03.png,0.6788,0.3221,49735,0,31.9,36.24,-93.12,-31.84,87.7,8.92,44.05,-67.84,59.01,-96.82,-93.01,119.58,35.1,30.5,-15.47,-77.04,-88.11,35.41,-8.69
5,f04.png,0.6775,0.3235,49735,0,32.0,34.1,-95.9,-25.86,83.12,10.49,43.22,-67.84,59.01,-96.82,-93.01,119.58,35.1,30.5,-15.47,-77.04,-88.11,35.41,-8.69
6,f05.png,0.6784,0.3226,49735,0,32.0,36.45,-93.46,-30.04,85.53,6.83,43.66,-67.84,59.01,-96.82,-93.01,119.58,35.1,30.5,-15.47,-77.04,-88.11,35.41,-8.69
7,f06.png,0.676,0.3249,49735,0,31.9,40.2,-90.03,-38.98,92.88,7.39,44.93,-67.84,59.01,-96.82,-93.01,119.58,35.1,30.5,-15.47,-77.04,-88.11,35.41,-8.69
8,f07.png,0.6788,0.3222,49735,0,31.9,36.59,-93.49,-31.52,86.95,1.45,44.69,-67.84,59.01,-96.82,-93.01,119.58,35.1,30.5,-15.47,-77.04,-88.11,35.41,-8.69
9,f08.png,0.6755,0.3253,49735,0,32.0,43.5,-89.82,-40.69,94.65,-2.51,44.73,-67.84,59.01,-96.82,-93.01,119.58,35.1,30.5,-15.47,-77.04,-88.11,35.41,-8.69
10,f09.png,0.6793,0.3216,49735,0,31.9,36.46,-93.29,-31.79,87.18,0.16,43.73,-67.84,59.01,-96.82,-93.01,119.58,35.1,30.5,-15.47,-77.04,-88.11,35.41,-8.69
11,f10.png,0.6778,0.3232,49735,0,32.0,34.25,-96.0,-25.79,82.9,9.28,43.63,-67.84,59.01,-96.82,-93.01,119.58,35.1,30.5,-15.47,-77.04,-88.11,35.41,-8.69
12,f11.png,0.6779,0.323,49735,0,32.1,36.33,-93.37,-30.15,85.9,6.11,43.9,-67.84,59.01,-96.82,-93.01,119.58,35.1,30.5,-15.47,-77.04,-88.11,35.41,-8.69
13,f12.png,0.6755,0.3253,49735,0,31.9,41.3,-88.37,-42.41,95.0,5.68,43.72,-67.84,59.01,-96.82,-93.01,119.58,35.1,30.5,-15.47,-77.04,-88.11,35.41,-8.69
