condition,sequence_id,group,name,n_frames,cyclic,mean_iou,mean_iou_vs_original,min_iou,first_frame_iou,mean_dq,max_dq,cheap_frac,loop_dq,loop_cheap,warp_rms_px,warp_peak_px,seconds
big-budget,captured/plant_sway,captured,plant_sway,20,False,0.7701,0.7701,0.7539,0.777,0.2996,0.9725,1.0,,,,,633.3
big-budget,gesture/bird,gesture,bird,8,True,0.5396,0.5396,0.5295,0.5365,0.5798,0.8369,1.0,0.7511,True,,,456.6
big-budget,gesture/cheer,gesture,cheer,8,True,0.7683,0.7683,0.74,0.8251,0.7248,1.0228,1.0,2.1508,False,,,452.7
big-budget,gesture/flower,gesture,flower,8,True,0.6469,0.6469,0.5897,0.7076,0.6624,1.1776,1.0,1.434,False,,,449.0
big-budget,gesture/reeds,gesture,reeds,8,True,0.3997,0.3997,0.3508,0.4091,0.9663,1.1811,1.0,2.3505,False,,,458.8
big-budget,gesture/stick_wave,gesture,stick_wave,8,True,0.79,0.79,0.7717,0.7717,0.4682,0.7799,1.0,0.653,True,,,440.7
big-budget,gesture/two_arm_wave,gesture,two_arm_wave,8,True,0.7803,0.7803,0.7685,0.7872,0.4209,0.9167,1.0,0.7868,True,,,450.0
big-budget,gesture/windmill,gesture,windmill,8,False,0.4219,0.4219,0.4102,0.4212,0.727,1.1318,1.0,,,,,414.3
big-budget,gesture/wiper,gesture,wiper,12,True,0.5831,0.5831,0.496,0.5733,0.6566,1.1336,1.0,3.1607,False,,,565.5
big-budget,storyboard/rig_bird,storyboard,rig_bird,6,False,0.2735,0.2735,0.2444,0.2779,0.6635,1.1562,1.0,,,,,342.0
big-budget,storyboard/rig_figure,storyboard,rig_figure,6,True,0.4196,0.4196,0.4079,0.4279,0.6308,1.0323,1.0,1.7548,False,,,346.7
big-budget,storyboard/rig_sailboat,storyboard,rig_sailboat,6,False,0.554,0.554,0.5402,0.5613,0.5758,1.0914,1.0,,,,,341.1
big-budget,storyboard/rig_tree,storyboard,rig_tree,6,False,0.4491,0.4491,0.4203,0.4692,0.9025,1.1879,1.0,,,,,344.9
big-budget,synthetic/star_spin,synthetic,star_spin,5,True,0.6539,0.6539,0.6389,0.6468,0.9715,1.1449,1.0,1.8409,False,,,178.9
big-budget,synthetic/triangle,synthetic,triangle,10,False,0.4805,0.4805,0.2937,0.5156,0.7978,1.135,1.0,,,,,356.9
big-budget-distort,captured/plant_sway,captured,plant_sway,20,False,0.8139,0.7395,0.8092,0.8146,0.221,0.7648,1.0,,,4.979,7.68,626.2
big-budget-distort,gesture/bird,gesture,bird,8,True,0.6151,0.5135,0.5821,0.5821,0.5524,0.7683,1.0,1.1386,True,3.865,7.68,446.0
big-budget-distort,gesture/cheer,gesture,cheer,8,True,0.8184,0.7205,0.7766,0.8442,0.7231,1.1428,1.0,1.4471,False,4.904,7.68,449.8
big-budget-distort,gesture/flower,gesture,flower,8,True,0.7371,0.6103,0.669,0.786,0.5216,0.9757,1.0,1.4342,False,5.3,7.68,446.4
big-budget-distort,gesture/reeds,gesture,reeds,8,True,0.4026,0.3777,0.3774,0.4301,0.8306,1.142,1.0,2.5462,False,3.444,3.84,459.8
big-budget-distort,gesture/stick_wave,gesture,stick_wave,8,True,0.8009,0.7709,0.7753,0.8008,0.3804,0.7354,1.0,1.0408,True,2.204,3.84,439.6
big-budget-distort,gesture/two_arm_wave,gesture,two_arm_wave,8,True,0.7803,0.7803,0.7685,0.7872,0.4209,0.9167,1.0,0.7868,True,,,449.5
big-budget-distort,gesture/windmill,gesture,windmill,8,False,0.4207,0.3828,0.3987,0.419,0.7725,1.1177,1.0,,,5.14,7.68,419.5
big-budget-distort,gesture/wiper,gesture,wiper,12,True,0.5696,0.5388,0.432,0.5637,0.7608,1.188,1.0,3.3408,False,2.151,3.84,575.1
big-budget-distort,storyboard/rig_bird,storyboard,rig_bird,6,False,0.2735,0.2735,0.2444,0.2779,0.6635,1.1562,1.0,,,,,341.0
big-budget-distort,storyboard/rig_figure,storyboard,rig_figure,6,True,0.4569,0.4135,0.4518,0.4638,0.6265,0.8618,1.0,1.6726,False,2.816,3.84,340.6
big-budget-distort,storyboard/rig_sailboat,storyboard,rig_sailboat,6,False,0.6372,0.5469,0.6274,0.6449,0.5628,1.0071,1.0,,,5.602,7.68,339.1
big-budget-distort,storyboard/rig_tree,storyboard,rig_tree,6,False,0.4938,0.4287,0.4657,0.523,0.729,0.9275,1.0,,,5.377,7.68,343.4
big-budget-distort,synthetic/star_spin,synthetic,star_spin,5,True,0.671,0.6141,0.6621,0.6621,0.9299,1.0793,1.0,1.1776,True,5.077,5.76,178.6
big-budget-distort,synthetic/triangle,synthetic,triangle,10,False,0.5544,0.4843,0.446,0.5611,0.8634,1.1754,1.0,,,4.365,7.68,361.8
small-budget,captured/plant_sway,captured,plant_sway,20,False,0.7573,0.7573,0.7323,0.7323,0.1534,0.9877,1.0,,,,,482.9
small-budget,gesture/bird,gesture,bird,8,True,0.507,0.507,0.4808,0.5378,0.7219,1.0149,1.0,1.8014,False,,,346.5
small-budget,gesture/cheer,gesture,cheer,8,True,0.7452,0.7452,0.72,0.7891,0.84,1.1654,1.0,2.056,False,,,339.2
small-budget,gesture/flower,gesture,flower,8,True,0.6497,0.6497,0.6035,0.6731,0.758,1.1393,1.0,2.7186,False,,,340.4
small-budget,gesture/reeds,gesture,reeds,8,True,0.369,0.369,0.3219,0.381,0.6429,1.0018,1.0,1.5938,False,,,341.7
small-budget,gesture/stick_wave,gesture,stick_wave,8,True,0.7724,0.7724,0.76,0.7657,0.678,0.9199,1.0,0.6232,True,,,339.0
