shadow_name,subset,target,best_iou,mean_iou,std_iou,min_iou,n_runs,best_run,n_robots,arm_gap_m,seconds,best_iou_vs_original,mean_iou_vs_original,fit_scale,fit_dx,fit_dy,uncastable_before,uncastable_after,best_shadow_png,q_rad_json,a_rot_deg,a_pitch_deg,a_elbow_deg,a_wristpitch_deg,a_wristroll_deg,a_grip_deg,b_rot_deg,b_pitch_deg,b_elbow_deg,b_wristpitch_deg,b_wristroll_deg,b_grip_deg,c_rot_deg,c_pitch_deg,c_elbow_deg,c_wristpitch_deg,c_wristroll_deg,c_grip_deg
abstract/hcircle_mpeg7-03,abstract,targets/abstract/hcircle_mpeg7-03.png,0.8512,0.825,0.0169,0.7868,10,9,3,0.2,115.8,,,,,,,,abstract/hcircle_mpeg7-03/hcircle_mpeg7-03_best.png,"[-1.91986, 0.4467, -1.32536, -1.65806, -0.310605, 1.108499, -1.558245, 0.236014, -1.195435, -1.34083, -1.255635, -0.151021, -1.019707, -1.394559, -1.301191, 1.14028, 0.693386, 0.081127]",-110.0,25.59,-75.94,-95.0,-17.8,63.51,-89.28,13.52,-68.49,-76.82,-71.94,-8.65,-58.42,-79.9,-74.55,65.33,39.73,4.65
abstract/hcircle_mpeg7-05,abstract,targets/abstract/hcircle_mpeg7-05.png,0.8342,0.802,0.0219,0.7551,10,1,3,0.2,114.1,,,,,,,,abstract/hcircle_mpeg7-05/hcircle_mpeg7-05_best.png,"[1.216498, -1.213068, -1.100841, 1.499084, 2.394454, 0.488133, -1.454905, 0.412642, -1.686909, -0.900838, 0.955597, 1.612431, 0.930772, -1.720681, -0.757984, 1.305969, 1.54489, 0.728599]",69.7,-69.5,-63.07,85.89,137.19,27.97,-83.36,23.64,-96.65,-51.61,54.75,92.39,53.33,-98.59,-43.43,74.83,88.52,41.75
objects/jar_mpeg7-04,objects,targets/objects/jar_mpeg7-04.png,0.8311,0.7993,0.0161,0.7736,10,3,3,0.2,125.0,,,,,,,,objects/jar_mpeg7-04/jar_mpeg7-04_best.png,"[-1.855131, 0.416883, -1.340765, -1.223216, 1.542366, 1.293913, 1.692894, -0.780018, -1.69, 1.317673, -0.67627, -0.016167, -0.384096, -1.523493, -0.464393, 0.459314, 1.285119, -0.173332]",-106.29,23.89,-76.82,-70.09,88.37,74.14,97.0,-44.69,-96.83,75.5,-38.75,-0.93,-22.01,-87.29,-26.61,26.32,73.63,-9.93
abstract/hcircle_mpeg7-01,abstract,targets/abstract/hcircle_mpeg7-01.png,0.8292,0.81,0.0203,0.7655,10,3,3,0.2,114.3,,,,,,,,abstract/hcircle_mpeg7-01/hcircle_mpeg7-01_best.png,"[-1.691348, 0.583153, -0.923871, -0.625675, -0.559533, -0.140239, 1.91986, -0.836961, -0.932198, 0.645779, -1.878258, 1.678025, -0.588807, -1.368728, -0.819079, 0.931973, 1.39631, -0.138882]",-96.91,33.41,-52.93,-35.85,-32.06,-8.04,110.0,-47.95,-53.41,37.0,-107.62,96.14,-33.74,-78.42,-46.93,53.4,80.0,-7.96
abstract/hcircle_mpeg7-04,abstract,targets/abstract/hcircle_mpeg7-04.png,0.829,0.8118,0.0109,0.7844,10,0,3,0.2,116.1,,,,,,,,abstract/hcircle_mpeg7-04/hcircle_mpeg7-04_best.png,"[-1.820446, 0.232252, -1.241769, -1.36028, 1.701701, 1.625268, -1.913734, -0.963714, -0.960954, 1.216886, -0.821692, 0.596846, 0.933415, -1.138463, -1.090123, 0.364146, -2.74385, 1.12112]",-104.3,13.31,-71.15,-77.94,97.5,93.12,-109.65,-55.22,-55.06,69.72,-47.08,34.2,53.48,-65.23,-62.46,20.86,-157.21,64.24
objects/jar_mpeg7-05,objects,targets/objects/jar_mpeg7-05.png,0.8267,0.8012,0.014,0.7811,10,3,3,0.2,124.6,,,,,,,,objects/jar_mpeg7-05/jar_mpeg7-05_best.png,"[-1.91986, 0.299789, -1.311718, -1.337694, 1.642707, 1.316412, 1.676945, -0.823387, -1.678413, 1.411764, -0.92142, 0.607023, -0.563704, -1.710747, -0.262473, 0.281733, -0.282761, -0.015802]",-110.0,17.18,-75.16,-76.64,94.12,75.42,96.08,-47.18,-96.17,80.89,-52.79,34.78,-32.3,-98.02,-15.04,16.14,-16.2,-0.91
objects/jar_mpeg7-01,objects,targets/objects/jar_mpeg7-01.png,0.826,0.7916,0.018,0.7569,10,2,3,0.2,123.7,,,,,,,,objects/jar_mpeg7-01/jar_mpeg7-01_best.png,"[1.278159, -1.367469, -0.768612, 0.991004, -0.396667, -0.111088, -1.91986, 0.716227, -1.293368, -1.080954, 0.809043, 1.743387, 1.909594, -0.75997, -1.69, 1.652558, -0.791727, 1.734779]",73.23,-78.35,-44.04,56.78,-22.73,-6.36,-110.0,41.04,-74.1,-61.93,46.35,99.89,109.41,-43.54,-96.83,94.68,-45.36,99.4
abstract/hcircle_mpeg7-02,abstract,targets/abstract/hcircle_mpeg7-02.png,0.8211,0.7852,0.0291,0.7332,10,3,3,0.2,114.1,,,,,,,,abstract/hcircle_mpeg7-02/hcircle_mpeg7-02_best.png,"[-1.877595, -0.0916, -0.696785, -1.65806, 1.236992, 1.240419, 1.91986, -1.24138, -0.458916, 0.650959, 0.719591, 0.726401, 0.95553, -1.215363, -1.463553, 1.138387, -0.096234, -0.174533]",-107.58,-5.25,-39.92,-95.0,70.87,71.07,110.0,-71.13,-26.29,37.3,41.23,41.62,54.75,-69.64,-83.86,65.22,-5.51,-10.0
figures/face_mpeg7-02,figures,targets/figures/face_mpeg7-02.png,0.8184,0.7925,0.0161,0.7708,10,3,3,0.2,182.3,,,,,,,,figures/face_mpeg7-02/face_mpeg7-02_best.png,"[-1.91986, 0.51825, -1.213254, -1.525929, 1.45413, 0.457414, 1.829662, -0.416128, -1.69, 1.324704, -1.290228, 0.460916, 1.141192, -0.508667, -1.69, -0.148308, -1.775206, -0.162708]",-110.0,29.69,-69.51,-87.43,83.32,26.21,104.83,-23.84,-96.83,75.9,-73.92,26.41,65.39,-29.14,-96.83,-8.5,-101.71,-9.32
figures/face_mpeg7-03,figures,targets/figures/face_mpeg7-03.png,0.8129,0.782,0.0137,0.7628,10,1,3,0.2,182.2,,,,,,,,figures/face_mpeg7-03/face_mpeg7-03_best.png,"[-1.91986, 0.534364, -1.235052, -1.425738, -0.625401, 1.743507, -1.142852, -0.862473, 0.06539, -1.24501, 1.982532, 0.446143, 1.916515, 0.069809, -1.589407, 0.228911, -1.959983, -0.148481]",-110.0,30.62,-70.76,-81.69,-35.83,99.9,-65.48,-49.42,3.75,-71.33,113.59,25.56,109.81,4.0,-91.07,13.12,-112.3,-8.51
