shadow_name,subset,target,best_iou,mean_iou,std_iou,min_iou,n_runs,best_run,n_robots,arm_gap_m,seconds,best_shadow_png,q_rad_json,a_rot_deg,a_pitch_deg,a_elbow_deg,a_wristpitch_deg,a_wristroll_deg,a_grip_deg,b_rot_deg,b_pitch_deg,b_elbow_deg,b_wristpitch_deg,b_wristroll_deg,b_grip_deg,c_rot_deg,c_pitch_deg,c_elbow_deg,c_wristpitch_deg,c_wristroll_deg,c_grip_deg
abstract/hcircle_mpeg7-03,abstract,targets/abstract/hcircle_mpeg7-03.png,0.8321,0.7999,0.0177,0.7709,10,2,3,0.2,122.7,abstract/hcircle_mpeg7-03/hcircle_mpeg7-03_best.png,"[-1.900768, -0.157466, -0.717794, -1.657997, 1.496242, 0.010854, -1.913461, 0.541602, -0.96566, -1.65806, 1.643111, 0.123884, 1.039642, -0.234881, -1.055062, -0.850871, 1.316554, 0.647046]",-108.91,-9.02,-41.13,-95.0,85.73,0.62,-109.63,31.03,-55.33,-95.0,94.14,7.1,59.57,-13.46,-60.45,-48.75,75.43,37.07
abstract/hcircle_mpeg7-05,abstract,targets/abstract/hcircle_mpeg7-05.png,0.8222,0.7724,0.0249,0.7406,10,9,3,0.2,123.2,abstract/hcircle_mpeg7-05/hcircle_mpeg7-05_best.png,"[-1.873736, 0.772363, -1.3765, -1.65806, -2.328972, 0.387768, -1.474718, 0.5096, -1.645751, -1.031012, -0.715387, -0.105551, 1.179228, -0.605459, -1.38073, -1.076478, 2.674273, 1.742314]",-107.36,44.25,-78.87,-95.0,-133.44,22.22,-84.5,29.2,-94.29,-59.07,-40.99,-6.05,67.56,-34.69,-79.11,-61.68,153.22,99.83
abstract/hcircle_mpeg7-01,abstract,targets/abstract/hcircle_mpeg7-01.png,0.8168,0.7847,0.0175,0.7534,10,1,3,0.2,121.7,abstract/hcircle_mpeg7-01/hcircle_mpeg7-01_best.png,"[1.122872, -0.807908, -1.639775, 1.39808, 1.135726, 1.223329, -1.424421, 0.196016, -1.343745, -1.041006, 0.981253, 0.473706, -1.91986, 0.745971, -1.114744, -0.954663, 0.761949, 0.750674]",64.34,-46.29,-93.95,80.1,65.07,70.09,-81.61,11.23,-76.99,-59.65,56.22,27.14,-110.0,42.74,-63.87,-54.7,43.66,43.01
objects/jar_mpeg7-05,objects,targets/objects/jar_mpeg7-05.png,0.8148,0.7704,0.023,0.7366,10,2,3,0.2,85.8,objects/jar_mpeg7-05/jar_mpeg7-05_best.png,"[-1.818533, 0.10436, -1.087276, -1.465515, 1.436864, 0.501198, -1.91986, 0.842869, -1.573966, -0.715695, 0.781698, 0.621438, -1.111499, -0.331656, -0.472548, -1.240934, -0.489035, -0.173164]",-104.19,5.98,-62.3,-83.97,82.33,28.72,-110.0,48.29,-90.18,-41.01,44.79,35.61,-63.68,-19.0,-27.08,-71.1,-28.02,-9.92
abstract/hcircle_mpeg7-04,abstract,targets/abstract/hcircle_mpeg7-04.png,0.8114,0.789,0.0164,0.7609,10,2,3,0.2,123.5,abstract/hcircle_mpeg7-04/hcircle_mpeg7-04_best.png,"[-1.881957, -0.011643, -0.770194, -1.458975, 1.573103, 1.345116, -1.845582, -0.998806, -1.065147, 0.916163, -0.158294, 0.968053, 1.045315, -1.177502, -1.153445, 0.440707, 2.84121, 1.623337]",-107.83,-0.67,-44.13,-83.59,90.13,77.07,-105.74,-57.23,-61.03,52.49,-9.07,55.47,59.89,-67.47,-66.09,25.25,162.79,93.01
objects/jar_mpeg7-04,objects,targets/objects/jar_mpeg7-04.png,0.8069,0.7713,0.0208,0.742,10,2,3,0.2,85.1,objects/jar_mpeg7-04/jar_mpeg7-04_best.png,"[-1.811571, 0.251678, -1.05847, -1.469176, 1.251938, 0.393866, -1.91986, 0.778944, -1.397148, -0.855322, 0.414973, 1.743845, 1.86558, -0.899225, -1.344145, 0.948811, -0.954302, -0.083545]",-103.8,14.42,-60.65,-84.18,71.73,22.57,-110.0,44.63,-80.05,-49.01,23.78,99.91,106.89,-51.52,-77.01,54.36,-54.68,-4.79
objects/jar_mpeg7-01,objects,targets/objects/jar_mpeg7-01.png,0.8027,0.7684,0.0171,0.7461,10,3,3,0.2,85.2,objects/jar_mpeg7-01/jar_mpeg7-01_best.png,"[-1.919509, 0.248019, -1.142573, -1.372613, 1.330474, 1.446933, 1.656722, -0.987071, -1.497736, 1.648211, -0.884333, 0.095176, 0.785945, -1.386774, -0.890494, 0.797649, 1.271581, 0.722341]",-109.98,14.21,-65.46,-78.64,76.23,82.9,94.92,-56.56,-85.81,94.44,-50.67,5.45,45.03,-79.46,-51.02,45.7,72.86,41.39
figures/face_mpeg7-01,figures,targets/figures/face_mpeg7-01.png,0.7997,0.7619,0.0192,0.7242,10,3,3,0.2,86.2,figures/face_mpeg7-01/face_mpeg7-01_best.png,"[-1.91986, 0.546113, -1.293915, -1.506914, -0.174686, 1.491789, 1.91986, -0.344918, -1.69, 1.209796, -0.964111, 0.270068, 1.270034, -1.655667, 0.303082, 0.287781, 0.453576, 1.259947]",-110.0,31.29,-74.14,-86.34,-10.01,85.47,110.0,-19.76,-96.83,69.32,-55.24,15.47,72.77,-94.86,17.37,16.49,25.99,72.19
abstract/hcircle_mpeg7-02,abstract,targets/abstract/hcircle_mpeg7-02.png,0.796,0.7517,0.0251,0.7162,10,3,3,0.2,122.9,abstract/hcircle_mpeg7-02/hcircle_mpeg7-02_best.png,"[-1.91986, 0.335626, -0.758281, -1.588581, 0.686492, 1.107685, -1.423736, 0.419646, -1.216533, -1.33313, 2.657195, 0.058472, 1.126929, -0.816704, -0.909126, 0.731039, 1.351003, 1.198849]",-110.0,19.23,-43.45,-91.02,39.33,63.47,-81.57,24.04,-69.7,-76.38,152.25,3.35,64.57,-46.79,-52.09,41.89,77.41,68.69
letters_lower/r_dejavusans-bold,letters_lower,targets/letters_lower/r_dejavusans-bold.png,0.7905,0.7552,0.0193,0.7234,10,7,3,0.2,86.8,letters_lower/r_dejavusans-bold/r_dejavusans-bold_best.png,"[0.795176, -0.451441, -1.460926, -0.89396, 1.928961, -0.042748, 1.91986, -0.997716, -0.781046, 0.709365, -2.507813, 0.263776, 1.91986, -0.059015, -1.486353, -0.579503, -2.208747, 1.039691]",45.56,-25.87,-83.7,-51.22,110.52,-2.45,110.0,-57.16,-44.75,40.64,-143.69,15.11,110.0,-3.38,-85.16,-33.2,-126.55,59.57
abstract/comma_mpeg7-04,abstract,targets/abstract/comma_mpeg7-04.png,0.7898,0.7326,0.0289,0.6797,10,5,3,0.2,121.9,abstract/comma_mpeg7-04/comma_mpeg7-04_best.png,"[-1.919161, 0.361543, -0.671997, -0.951557, -2.32317, 0.034704, 1.265131, -1.283723, -0.778326, 0.601722, -1.90823, -0.115149, -0.337477, -0.571298, -1.242993, -0.065633, -2.366048, 0.580315]",-109.96,20.71,-38.5,-54.52,-133.11,1.99,72.49,-73.55,-44.59,34.48,-109.33,-6.6,-19.34,-32.73,-71.22,-3.76,-135.56,33.25
figures/face_mpeg7-02,figures,targets/figures/face_mpeg7-02.png,0.7891,0.7595,0.0162,0.7261,10,3,3,0.2,85.3,figures/face_mpeg7-02/face_mpeg7-02_best.png,"[-1.917548, 0.467862, -1.087072, -1.55067, 0.965838, 1.19877, 1.756585, -0.569849, -1.48777, 1.22577, -0.916053, -0.143195, 0.91968, -0.455053, -1.608013, -0.306603, -0.50239, -0.149683]",-109.87,26.81,-62.28,-88.85,55.34,68.68,100.64,-32.65,-85.24,70.23,-52.49,-8.2,52.69,-26.07,-92.13,-17.57,-28.78,-8.58
figures/face_mpeg7-03,figures,targets/figures/face_mpeg7-03.png,0.789,0.7609,0.0182,0.7355,10,2,3,0.2,85.1,figures/face_mpeg7-03/face_mpeg7-03_best.png,"[1.222333, -1.343997, -0.535523, 0.774309, -0.117498, 0.983954, -1.91986, 0.797646, -1.510862, -0.820352, 0.732586, 0.93624, 1.80065, -0.714085, -1.662224, 1.322419, -1.033634, 0.500686]",70.03,-77.01,-30.68,44.36,-6.73,56.38,-110.0,45.7,-86.57,-47.0,41.97,53.64,103.17,-40.91,-95.24,75.77,-59.22,28.69
figures/face_mpeg7-04,figures,targets/figures/face_mpeg7-04.png,0.7771,0.7531,0.0149,0.7268,10,3,3,0.2,84.5,figures/face_mpeg7-04/face_mpeg7-04_best.png,"[-1.784171, 0.45921, -1.183641, -0.48935, 0.894806, 1.74533, 1.767962, -0.487506, -1.69, 1.345083, -0.947403, -0.052395, -0.50084, -1.440751, -0.614088, 0.777527, 1.030227, 0.474773]",-102.23,26.31,-67.82,-28.04,51.27,100.0,101.3,-27.93,-96.83,77.07,-54.28,-3.0,-28.7,-82.55,-35.18,44.55,59.03,27.2
abstract/comma_mpeg7-02,abstract,targets/abstract/comma_mpeg7-02.png,0.774,0.7318,0.0251,0.6876,10,8,3,0.2,122.2,abstract/comma_mpeg7-02/comma_mpeg7-02_best.png,"[-0.912593, -0.882838, -1.378883, 0.219606, 2.460605, 1.348065, -0.953448, -1.365162, -1.327681, 1.201647, -2.156221, 0.101738, -0.723969, -0.701215, -1.010644, -0.561824, 2.031503, 1.107317]",-52.29,-50.58,-79.0,12.58,140.98,77.24,-54.63,-78.22,-76.07,68.85,-123.54,5.83,-41.48,-40.18,-57.91,-32.19,116.4,63.44
abstract/comma_mpeg7-01,abstract,targets/abstract/comma_mpeg7-01.png,0.7728,0.7215,0.0225,0.6874,10,4,3,0.2,123.1,abstract/comma_mpeg7-01/comma_mpeg7-01_best.png,"[1.253981, -1.166521, -1.438446, 0.515457, 2.799304, 1.190785, 0.41829, -0.806892, -0.696557, -1.008031, -0.98266, -0.128722, -0.937654, -1.74533, -0.792555, 0.737634, -1.410456, 0.672828]",71.85,-66.84,-82.42,29.53,160.39,68.23,23.97,-46.23,-39.91,-57.76,-56.3,-7.38,-53.72,-100.0,-45.41,42.26,-80.81,38.55
letters_upper/L_dejavusans-bold,letters_upper,targets/letters_upper/L_dejavusans-bold.png,0.7706,0.7293,0.0261,0.6859,10,1,3,0.2,124.2,letters_upper/L_dejavusans-bold/L_dejavusans-bold_best.png,"[1.653193, -1.111017, -0.162104, 0.396631, -1.141946, -0.146812, -1.014337, -1.35331, -1.648561, -0.667241, -1.607752, -0.078414, -1.090309, 0.241755, -1.69, -0.311476, 1.986224, 0.950178]",94.72,-63.66,-9.29,22.73,-65.43,-8.41,-58.12,-77.54,-94.46,-38.23,-92.12,-4.49,-62.47,13.85,-96.83,-17.85,113.8,54.44
hand_shadow/chicken_hasper-01,hand_shadow,targets/hand_shadow/chicken_hasper-01.png,0.7699,0.7252,0.0194,0.7053,10,1,3,0.2,85.0,hand_shadow/chicken_hasper-01/chicken_hasper-01_best.png,"[-1.660565, 0.21135, -1.183779, 0.609309, -1.856068, 1.356743, -1.291968, 0.529029, -1.603792, -1.253069, 0.36443, 0.103185, -1.91986, -0.133557, -0.26585, -0.456487, 1.623841, 0.955961]",-95.14,12.11,-67.83,34.91,-106.34,77.74,-74.02,30.31,-91.89,-71.8,20.88,5.91,-110.0,-7.65,-15.23,-26.15,93.04,54.77
figures/face_mpeg7-05,figures,targets/figures/face_mpeg7-05.png,0.7627,0.7339,0.0176,0.6925,10,7,3,0.2,83.8,figures/face_mpeg7-05/face_mpeg7-05_best.png,"[1.28974, -1.598175, -0.398664, -0.14191, 2.821016, 0.096762, 0.916528, -0.414891, -0.87939, -1.17361, -1.268808, 1.275809, -0.392168, -1.291504, -0.846229, 0.980312, 1.593197, 1.082917]",73.9,-91.57,-22.84,-8.13,161.63,5.54,52.51,-23.77,-50.39,-67.24,-72.7,73.1,-22.47,-74.0,-48.49,56.17,91.28,62.05
objects/bell_mpeg7-04,objects,targets/objects/bell_mpeg7-04.png,0.7581,0.7204,0.0256,0.6611,10,7,3,0.2,88.0,objects/bell_mpeg7-04/bell_mpeg7-04_best.png,"[1.223921, -1.54151, -0.622617, 0.938314, 2.535776, -0.174533, -1.164354, -0.019043, -1.618793, -0.869535, -0.269903, 1.524327, 0.83046, -1.683268, -0.960297, 1.62, 1.35338, 1.095685]",70.13,-88.32,-35.67,53.76,145.29,-10.0,-66.71,-1.09,-92.75,-49.82,-15.46,87.34,47.58,-96.44,-55.02,92.82,77.54,62.78
letters_upper/I_dejavusans-bold,letters_upper,targets/letters_upper/I_dejavusans-bold.png,0.7578,0.7383,0.0156,0.7053,10,4,3,0.2,124.4,letters_upper/I_dejavusans-bold/I_dejavusans-bold_best.png,"[-1.052706, -1.115261, -0.518254, 0.291798, -0.452913, 0.600245, -0.549261, -1.137722, -0.46199, 0.242867, -0.07254, 0.709217, 1.162272, -1.538845, 0.011212, -0.115015, 2.823821, 0.182549]",-60.32,-63.9,-29.69,16.72,-25.95,34.39,-31.47,-65.19,-26.47,13.92,-4.16,40.64,66.59,-88.17,0.64,-6.59,161.79,10.46
objects/bottle_mpeg7-02,objects,targets/objects/bottle_mpeg7-02.png,0.754,0.7167,0.0295,0.6568,10,0,3,0.2,84.7,objects/bottle_mpeg7-02/bottle_mpeg7-02_best.png,"[-1.098407, -1.341436, -0.137503, -0.783416, 2.837891, 1.382217, -1.071974, -1.728708, -0.200857, 0.667907, -0.411168, 1.350208, 1.861737, -0.000692, 0.084268, 0.364567, 0.085772, 0.764267]",-62.93,-76.86,-7.88,-44.89,162.6,79.2,-61.42,-99.05,-11.51,38.27,-23.56,77.36,106.67,-0.04,4.83,20.89,4.91,43.79
