shadow_name,subset,small_best_iou,big_best_iou,delta,small_mean_iou,big_mean_iou,small_std_iou,big_std_iou,big_n_runs
abstract/bone_mpeg7-01,abstract,0.4621,0.5382,0.0761,0.4338,0.4956,0.0255,0.0225,10
abstract/bone_mpeg7-02,abstract,0.5133,0.5577,0.0444,0.4764,0.5261,0.0216,0.0213,10
abstract/bone_mpeg7-03,abstract,0.4606,0.5209,0.0603,0.4285,0.4811,0.023,0.0181,15
abstract/bone_mpeg7-04,abstract,0.5256,0.5642,0.0386,0.4466,0.4927,0.0378,0.0497,10
abstract/bone_mpeg7-05,abstract,0.4782,0.5185,0.0403,0.4283,0.4828,0.0252,0.0274,10
abstract/comma_mpeg7-01,abstract,0.7728,0.7805,0.0077,0.7215,0.7651,0.0225,0.0128,10
abstract/comma_mpeg7-02,abstract,0.774,0.7924,0.0184,0.7318,0.7718,0.0251,0.0105,10
abstract/comma_mpeg7-03,abstract,0.7276,0.7421,0.0145,0.6776,0.725,0.025,0.0112,10
abstract/comma_mpeg7-04,abstract,0.7898,0.781,-0.0088,0.7326,0.757,0.0289,0.0141,10
abstract/comma_mpeg7-05,abstract,0.7443,0.7879,0.0436,0.7267,0.7574,0.0244,0.0163,10
abstract/device0_mpeg7-01,abstract,0.5905,0.6121,0.0216,0.5632,0.5982,0.0147,0.0157,10
abstract/device0_mpeg7-02,abstract,0.615,0.6337,0.0187,0.5767,0.6005,0.022,0.0214,10
abstract/device0_mpeg7-03,abstract,0.5872,0.6265,0.0393,0.5723,0.604,0.02,0.0137,10
abstract/device0_mpeg7-04,abstract,0.5901,0.6014,0.0113,0.554,0.5824,0.0224,0.013,10
abstract/device0_mpeg7-05,abstract,0.6378,0.6451,0.0073,0.6044,0.6232,0.0223,0.021,10
abstract/device1_mpeg7-01,abstract,0.5084,0.5582,0.0498,0.4896,0.5041,0.0168,0.0287,10
abstract/device1_mpeg7-02,abstract,0.7,0.7343,0.0343,0.6624,0.6958,0.0208,0.024,10
abstract/device1_mpeg7-03,abstract,0.6927,0.72,0.0273,0.6581,0.6891,0.0235,0.0188,10
abstract/device1_mpeg7-04,abstract,0.6844,0.7033,0.0189,0.649,0.6776,0.0185,0.0219,10
abstract/device1_mpeg7-05,abstract,0.5535,0.5889,0.0354,0.5329,0.5593,0.0133,0.0173,10
abstract/device2_mpeg7-01,abstract,0.6994,0.7307,0.0313,0.6692,0.6964,0.0235,0.0153,10
abstract/device2_mpeg7-02,abstract,0.6632,0.6886,0.0254,0.6469,0.674,0.0092,0.0106,10
abstract/device2_mpeg7-03,abstract,0.5725,0.5966,0.0241,0.5448,0.5741,0.0192,0.0127,10
abstract/device2_mpeg7-04,abstract,0.5084,0.5277,0.0193,0.4718,0.4947,0.0225,0.0223,10
abstract/device2_mpeg7-05,abstract,0.533,0.5635,0.0305,0.5129,0.5353,0.0133,0.0128,10
