shadow_name,subset,target,best_iou,mean_iou,std_iou,min_iou,n_runs,best_run,n_robots,arm_gap_m,seconds,best_iou_vs_original,mean_iou_vs_original,fit_scale,fit_dx,fit_dy,uncastable_before,uncastable_after,best_shadow_png,q_rad_json,a_rot_deg,a_pitch_deg,a_elbow_deg,a_wristpitch_deg,a_wristroll_deg,a_grip_deg,b_rot_deg,b_pitch_deg,b_elbow_deg,b_wristpitch_deg,b_wristroll_deg,b_grip_deg,c_rot_deg,c_pitch_deg,c_elbow_deg,c_wristpitch_deg,c_wristroll_deg,c_grip_deg
objects/jar_mpeg7-04,objects,targets/objects/jar_mpeg7-04.png,0.9362,0.899,0.0223,0.8611,10,5,3,0.2,114.0,0.4039,0.3889,0.7346,-4.02,28.16,0.05109,0.14501,objects/jar_mpeg7-04/jar_mpeg7-04_best.png,"[1.25758, -1.74119, -0.428102, 1.653159, -1.703821, 0.148776, -1.91769, -0.643799, -0.04251, 1.3118, -2.06538, 0.97047, -1.919548, -1.42356, -0.451328, 1.657253, 1.556215, 1.203369]",72.05,-99.76,-24.53,94.72,-97.62,8.52,-109.88,-36.89,-2.44,75.16,-118.34,55.6,-109.98,-81.56,-25.86,94.95,89.16,68.95
figures/face_mpeg7-02,figures,targets/figures/face_mpeg7-02.png,0.9207,0.8836,0.0199,0.8444,10,0,3,0.2,112.9,0.3317,0.3239,0.7346,-8.05,28.16,0.02016,0.17473,figures/face_mpeg7-02/face_mpeg7-02_best.png,"[-1.264907, -1.574487, 0.229317, -1.65806, 0.30336, 1.731664, 1.91986, -0.486686, 1.154026, -1.645437, 0.41476, 0.998098, -1.91986, -1.544874, -0.517223, 1.65806, 0.880163, -0.060527]",-72.47,-90.21,13.14,-95.0,17.38,99.22,110.0,-27.89,66.12,-94.28,23.76,57.19,-110.0,-88.51,-29.63,95.0,50.43,-3.47
abstract/hcircle_mpeg7-03,abstract,targets/abstract/hcircle_mpeg7-03.png,0.9206,0.8825,0.0247,0.8393,10,4,3,0.2,114.6,0.3844,0.3662,0.7346,0.0,28.16,0.07257,0.05348,abstract/hcircle_mpeg7-03/hcircle_mpeg7-03_best.png,"[1.246267, -1.74533, -0.400195, 1.65806, 2.776412, -0.115382, 1.91986, 0.124053, -0.407758, 1.65806, 2.84121, 1.728049, 1.552685, -0.000164, -0.723195, 1.36898, -2.61856, 0.525475]",71.41,-100.0,-22.93,95.0,159.08,-6.61,110.0,7.11,-23.36,95.0,162.79,99.01,88.96,-0.01,-41.44,78.44,-150.03,30.11
objects/apple_mpeg7-02,objects,targets/objects/apple_mpeg7-02.png,0.9191,0.8806,0.0273,0.825,10,5,3,0.2,112.9,0.3121,0.3036,0.7346,-20.11,28.16,0.15801,0.29338,objects/apple_mpeg7-02/apple_mpeg7-02_best.png,"[-0.961864, -1.08481, 0.156862, 1.50922, -0.472535, -0.174533, -1.162299, -0.178045, 1.043189, -1.639162, -0.00194, 0.457298, -0.466809, -1.521196, 0.208066, 1.506466, 0.694394, 1.121329]",-55.11,-62.16,8.99,86.47,-27.07,-10.0,-66.59,-10.2,59.77,-93.92,-0.11,26.2,-26.75,-87.16,11.92,86.31,39.79,64.25
abstract/device9_mpeg7-03,abstract,targets/abstract/device9_mpeg7-03.png,0.9182,0.8875,0.0381,0.7867,10,3,3,0.2,112.5,0.3087,0.2979,0.7346,-20.11,28.16,0.14137,0.28902,abstract/device9_mpeg7-03/device9_mpeg7-03_best.png,"[0.876967, -0.930381, 0.066209, 1.573377, -1.862128, 0.044807, -1.075687, -0.377475, 1.186628, -1.65806, -1.597266, -0.174533, -0.841673, -1.74533, 0.094081, 1.33806, 1.239601, 0.312998]",50.25,-53.31,3.79,90.15,-106.69,2.57,-61.63,-21.63,67.99,-95.0,-91.52,-10.0,-48.22,-100.0,5.39,76.67,71.02,17.93
objects/jar_mpeg7-05,objects,targets/objects/jar_mpeg7-05.png,0.9181,0.8913,0.0192,0.8525,10,9,3,0.2,111.6,0.4031,0.3881,0.7346,-4.02,28.16,0.05198,0.14461,objects/jar_mpeg7-05/jar_mpeg7-05_best.png,"[1.234422, -1.714569, -0.313559, 1.412353, -1.719417, 0.860941, 1.91986, 0.232916, 0.295075, -1.385281, -0.126853, 1.493623, -1.774528, -1.74533, -0.995861, 0.302386, -0.085775, 0.13055]",70.73,-98.24,-17.97,80.92,-98.52,49.33,110.0,13.35,16.91,-79.37,-7.27,85.58,-101.67,-100.0,-57.06,17.33,-4.91,7.48
abstract/hcircle_mpeg7-05,abstract,targets/abstract/hcircle_mpeg7-05.png,0.9158,0.8514,0.0414,0.7825,10,1,3,0.2,116.0,0.3544,0.3267,0.6385,0.0,28.16,0.09994,0.07359,abstract/hcircle_mpeg7-05/hcircle_mpeg7-05_best.png,"[1.263847, -1.74418, -0.304555, 1.657943, -2.305717, -0.163024, 1.916079, -0.035275, 0.250496, 1.656184, 2.642578, 1.505751, 1.910633, 0.417323, -0.22895, 0.748989, 0.3476, 0.437029]",72.41,-99.93,-17.45,94.99,-132.11,-9.34,109.78,-2.02,14.35,94.89,151.41,86.27,109.47,23.91,-13.12,42.91,19.92,25.04
abstract/device4_mpeg7-01,abstract,targets/abstract/device4_mpeg7-01.png,0.9147,0.8906,0.0245,0.8366,10,2,3,0.2,114.4,0.2885,0.2816,0.7346,-16.09,28.16,0.18887,0.28819,abstract/device4_mpeg7-01/device4_mpeg7-01_best.png,"[0.606779, -1.18451, 0.94255, 1.636465, -1.861355, -0.121693, 0.608498, -1.256736, 0.323332, 1.65806, -0.898965, -0.136239, -0.819153, -0.351954, 1.404076, 0.310014, 0.304542, 1.744927]",34.77,-67.87,54.0,93.76,-106.65,-6.97,34.86,-72.01,18.53,95.0,-51.51,-7.81,-46.93,-20.17,80.45,17.76,17.45,99.98
abstract/device4_mpeg7-02,abstract,targets/abstract/device4_mpeg7-02.png,0.914,0.877,0.0262,0.8322,10,1,3,0.2,116.4,0.3706,0.358,0.9269,-16.09,20.11,0.20507,0.29307,abstract/device4_mpeg7-02/device4_mpeg7-02_best.png,"[0.478061, -1.29103, 0.612907, 1.642275, -1.584135, -0.107993, 1.0405, -0.820001, 1.177835, 0.52998, 1.295002, 1.113714, -1.563354, -1.368481, 1.173069, -1.161488, -0.276826, 0.176561]",27.39,-73.97,35.12,94.1,-90.76,-6.19,59.62,-46.98,67.48,30.37,74.2,63.81,-89.57,-78.41,67.21,-66.55,-15.86,10.12
abstract/device4_mpeg7-03,abstract,targets/abstract/device4_mpeg7-03.png,0.9138,0.8775,0.0297,0.8155,10,3,3,0.2,113.5,0.3781,0.352,0.8308,-16.09,24.14,0.18425,0.26322,abstract/device4_mpeg7-03/device4_mpeg7-03_best.png,"[0.462626, -1.220316, 0.494159, 1.65806, -0.545723, -0.050896, -0.776483, -1.182731, -0.01826, 1.650013, 1.264384, 1.508193, 1.086251, 0.896122, 0.054129, -1.021229, 1.584255, -0.070413]",26.51,-69.92,28.31,95.0,-31.27,-2.92,-44.49,-67.77,-1.05,94.54,72.44,86.41,62.24,51.34,3.1,-58.51,90.77,-4.03
