frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.6017,0.3985,34983,0,29.7,-80.94,80.21,-66.71,-37.17,37.78,65.39,-78.68,-81.53,84.59,-8.62,27.77,31.41,28.48,72.23,-68.32,20.14,-20.0,74.78
2,f01.png,0.5998,0.4003,49735,0,43.0,-82.32,78.85,-66.42,-37.83,35.27,64.33,-78.68,-81.53,84.59,-8.62,27.77,31.41,36.45,74.78,-62.66,19.1,-18.93,73.58
3,f02.png,0.6034,0.3967,49735,0,41.0,-82.32,78.85,-66.42,-37.83,35.27,64.33,-77.62,-85.81,80.39,6.6,25.54,36.54,64.88,74.23,-75.12,24.4,-36.02,70.35
4,f03.png,0.568,0.4323,49735,0,36.6,-87.75,75.04,-67.74,-39.27,25.63,63.33,-78.15,-85.87,80.02,6.64,30.61,36.77,63.9,80.9,-94.75,29.89,-47.27,66.73
5,f04.png,0.5026,0.4978,51655,0,37.4,-87.6,76.44,-68.93,-41.86,27.37,62.41,-83.05,-63.86,64.83,12.76,44.1,36.67,63.99,73.26,-90.37,22.62,-91.4,66.49
6,f05.png,0.4946,0.5058,49735,0,36.5,-83.77,79.02,-63.26,-41.99,24.96,60.96,-83.26,-63.69,65.2,12.15,47.5,37.47,63.03,74.79,-86.08,7.95,-112.88,66.27
7,f06.png,0.5473,0.4529,51655,0,37.7,-82.83,80.88,-62.46,-41.05,25.02,61.05,-76.94,-85.85,81.99,3.27,35.47,38.41,61.23,80.18,-83.89,9.29,-110.12,66.23
8,f07.png,0.5674,0.4328,49735,0,36.6,-82.83,80.88,-62.46,-41.05,25.02,61.05,-76.24,-99.67,89.97,1.48,38.39,31.4,67.67,82.23,-75.94,4.59,-81.99,64.66
9,f08.png,0.6044,0.3957,49735,0,36.1,-69.99,82.12,-48.28,-41.97,5.08,76.28,-79.55,-95.34,81.07,15.01,45.55,15.63,72.75,78.2,-74.16,-1.27,-81.87,66.81
10,f09.png,0.6029,0.3973,49735,0,35.9,-83.7,63.4,-28.22,-38.51,-27.06,61.7,-83.67,-98.68,74.35,31.53,29.44,13.5,67.69,75.68,-80.49,12.61,-35.39,30.94
11,f10.png,0.5076,0.4928,51655,0,37.5,-83.35,63.5,-28.31,-38.52,-27.2,61.55,-89.71,-91.94,69.91,31.7,29.65,13.69,66.03,75.06,-89.69,14.32,-74.13,30.78
12,f11.png,0.4609,0.5396,49735,0,36.4,-83.33,63.69,-28.44,-38.62,-26.65,61.48,-89.02,-86.22,68.47,29.52,25.81,16.24,65.24,73.72,-88.52,7.87,-122.4,27.36
13,f12.png,0.5263,0.474,27073,0,20.9,-83.01,63.34,-28.29,-44.76,-43.54,60.31,-91.89,-89.75,72.64,25.58,10.54,5.74,62.52,73.56,-79.27,5.62,-114.32,-6.62
14,f13.png,0.5683,0.4319,51655,0,38.8,-83.11,63.16,-29.38,-55.11,-45.77,60.07,-75.29,-91.75,85.76,53.89,6.63,-2.18,64.68,75.24,-70.93,9.13,-81.27,-9.79
15,f14.png,0.5844,0.4157,49735,0,38.2,-83.11,63.16,-29.38,-55.11,-45.77,60.07,-77.27,-99.5,87.31,55.86,5.02,-4.22,71.61,72.64,-67.18,14.3,-76.04,-9.86
