frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.5097,0.4907,51655,0,37.7,74.53,-91.26,-96.69,-44.85,133.41,87.46,-105.8,74.25,-96.8,9.31,-83.64,60.73,-85.86,-99.99,-91.65,-17.0,-130.22,65.22
2,f01.png,0.5337,0.4665,49735,0,36.7,74.36,-90.98,-96.82,-44.79,133.64,87.44,-105.76,69.74,-92.71,19.11,-74.42,59.62,-83.03,-99.97,-91.72,-17.25,-130.09,65.19
3,f02.png,0.5144,0.4859,49735,0,33.8,74.36,-90.98,-96.82,-44.79,133.64,87.44,-105.78,67.46,-93.07,25.78,-73.73,60.7,-79.01,-99.9,-95.92,-17.61,-130.1,64.79
4,f03.png,0.4851,0.5154,49735,0,31.9,69.32,-81.83,-96.55,-41.14,121.81,82.14,-103.94,63.21,-83.4,12.04,-80.81,50.55,-77.39,-99.41,-85.3,-10.45,-142.61,68.4
5,f04.png,0.4173,0.5836,51655,0,33.1,69.01,-81.42,-96.8,-39.77,127.34,82.8,-102.63,71.18,-96.78,8.92,-79.6,54.89,-72.25,-99.95,-85.74,-10.39,-143.34,67.73
6,f05.png,0.4076,0.5932,51655,0,33.2,69.51,-82.9,-93.59,-47.06,133.15,82.98,-102.31,69.57,-93.23,9.84,-74.07,54.63,-75.69,-99.98,-87.14,-10.92,-144.42,67.44
7,f06.png,0.449,0.5515,51655,0,33.3,69.51,-82.9,-93.59,-47.06,133.15,82.98,-106.84,70.56,-96.36,20.08,-83.1,53.17,-87.2,-97.35,-90.37,-13.49,-131.81,68.51
8,f07.png,0.4234,0.577,51655,0,33.3,72.26,-83.3,-88.97,-45.16,133.39,79.37,-105.92,72.27,-96.69,22.5,-62.3,39.2,-88.53,-99.98,-96.67,-14.05,-132.87,68.66
9,f08.png,0.4481,0.5525,49735,0,31.9,71.99,-88.1,-90.12,-45.7,133.56,78.95,-105.98,69.93,-95.99,26.62,-53.35,28.85,-63.47,-98.94,-92.29,-14.43,-139.73,61.77
10,f09.png,0.4732,0.5273,34375,0,21.0,75.01,-91.5,-96.81,-55.52,143.22,97.94,-104.12,66.96,-96.83,33.31,-96.77,12.28,-75.42,-99.3,-93.33,-27.33,-156.76,16.03
11,f10.png,0.3928,0.6081,73735,0,48.0,72.23,-92.1,-83.44,-25.98,152.81,99.98,-104.35,42.62,-53.22,10.38,-104.22,5.32,-74.35,-97.8,-90.36,-17.26,-156.31,29.4
12,f11.png,0.3785,0.6225,73735,0,47.8,77.28,-88.53,-71.41,-26.55,155.13,99.95,-101.29,60.1,-78.65,10.19,-93.46,5.7,-78.81,-97.67,-90.31,-17.33,-157.18,29.43
13,f12.png,0.4243,0.5765,51655,0,32.7,76.02,-89.54,-71.89,-26.57,143.19,99.79,-105.42,54.22,-68.68,9.21,-109.06,3.85,-78.91,-99.06,-90.46,-16.67,-156.82,29.4
14,f13.png,0.4667,0.5337,51655,0,33.1,69.13,-99.76,-69.46,-28.96,155.39,95.89,-106.28,70.12,-95.79,20.31,-68.52,-1.85,-79.02,-99.98,-90.3,-16.73,-157.13,29.38
15,f14.png,0.4727,0.5279,49735,0,32.2,70.56,-99.34,-92.49,-22.27,126.52,97.48,-103.31,73.15,-95.7,14.71,-32.34,-9.37,-52.74,-99.75,-79.28,-29.25,-108.58,14.71
16,f15.png,0.5059,0.4946,27073,0,18.3,104.69,-99.86,-82.51,-21.9,96.6,91.93,-104.98,68.72,-96.82,23.89,-77.06,-9.35,-75.14,-100.0,-70.89,-38.17,-102.32,14.22
17,f16.png,0.4009,0.6001,73735,0,47.3,109.87,-99.36,-92.55,-16.02,122.76,50.53,-103.81,43.19,-50.54,3.84,-109.3,23.92,-74.27,-94.73,-96.68,-19.1,-151.85,38.78
18,f17.png,0.4226,0.5782,49735,0,31.4,109.45,-100.0,-92.55,-15.73,122.69,50.38,-103.36,44.95,-48.78,-5.68,-110.37,25.71,-74.27,-94.73,-96.68,-19.1,-151.85,38.78
19,f18.png,0.4755,0.5248,51655,0,32.3,97.24,-99.02,-83.56,-13.06,136.25,37.18,-105.89,63.09,-81.5,12.75,-60.05,24.3,-77.83,-99.99,-96.48,-12.02,-148.85,64.1
20,f19.png,0.4479,0.5527,49735,0,31.3,97.57,-99.53,-83.49,-13.99,136.47,36.92,-105.17,66.16,-85.92,19.82,-58.04,24.55,-77.83,-99.99,-96.48,-12.02,-148.85,64.1
21,f20.png,0.4653,0.5354,73735,0,47.6,93.1,-99.81,-91.16,-20.38,159.85,70.77,-103.68,60.84,-84.07,23.67,-104.88,20.66,-74.2,-85.91,-90.13,-78.17,-120.99,48.47
22,f21.png,0.3716,0.6294,73735,0,47.4,93.06,-99.84,-91.18,-20.01,160.29,71.07,-103.98,70.03,-96.83,16.85,-100.87,20.62,-84.93,-81.67,-87.47,-78.72,-120.02,48.8
23,f22.png,0.4394,0.5611,51655,0,32.3,93.06,-99.97,-91.14,-20.26,160.49,71.08,-106.56,70.03,-96.51,20.32,-84.69,17.69,-85.29,-97.28,-88.29,-72.76,-122.52,49.44
24,f23.png,0.4449,0.5556,51655,0,32.9,92.91,-99.98,-90.98,-20.22,159.91,70.95,-104.55,74.07,-96.35,13.32,-36.61,18.3,-91.83,-99.98,-87.52,-60.46,-125.29,50.19
25,f24.png,0.4786,0.5219,37831,0,23.2,97.98,-100.0,-92.6,-22.17,111.0,52.9,-105.63,68.28,-96.83,29.03,-63.42,0.96,-70.49,-99.99,-73.27,-21.8,-105.46,70.05
26,f25.png,0.4122,0.5888,51655,0,32.9,76.19,-75.64,-77.93,-63.83,134.88,50.51,-110.0,80.58,-85.83,28.12,-60.94,0.99,-58.24,-96.73,-69.88,-20.4,-79.05,66.7
27,f26.png,0.3981,0.6029,73735,0,48.6,75.97,-84.13,-60.9,-79.65,134.93,50.11,-109.98,85.2,-81.65,44.64,-50.28,7.89,-58.71,-100.0,-63.47,-28.38,-51.14,39.59
28,f27.png,0.4518,0.5488,51655,0,32.6,82.47,-99.81,-73.39,-92.88,97.62,44.83,-105.95,68.81,-96.83,22.1,-92.61,-1.02,-89.46,-98.74,-76.11,-24.82,-29.59,68.36
29,f28.png,0.4588,0.5416,51655,0,32.9,72.86,-94.06,-64.24,-93.86,88.87,44.71,-105.22,70.64,-93.66,17.48,-53.99,-1.48,-91.7,-100.0,-87.46,-25.35,-29.58,68.73
30,f29.png,0.4532,0.5473,49735,0,32.2,73.1,-90.64,-60.24,-94.79,81.44,46.4,-105.22,70.64,-93.66,17.48,-53.99,-1.48,-82.84,-99.97,-87.65,-24.74,-29.24,69.11
31,f30.png,0.4916,0.5089,36487,0,22.4,81.1,-98.04,-57.7,-94.99,79.44,27.83,-104.67,67.7,-96.83,29.36,-92.24,36.8,-73.19,-100.0,-66.47,-40.91,-39.81,70.48
32,f31.png,0.4129,0.5879,51655,0,32.6,72.86,-99.09,-58.54,-95.0,79.31,28.03,-102.46,67.2,-89.28,5.87,-85.67,49.49,-72.74,-99.05,-72.59,-45.0,-48.8,73.13
