frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.5257,0.4745,31367,0,22.4,32.28,-99.78,-95.96,13.74,-117.84,4.85,-97.82,-92.36,-13.88,-94.97,10.77,90.58,74.12,43.8,77.87,-94.94,-64.68,12.79
2,f01.png,0.538,0.4623,49735,0,37.1,32.42,-100.0,-95.6,13.54,-117.78,4.91,-97.82,-92.36,-13.88,-94.97,10.77,90.58,74.12,43.8,77.87,-94.94,-64.68,12.79
3,f02.png,0.5922,0.408,49735,0,36.4,43.47,-98.51,-95.12,16.81,-148.92,29.76,-99.18,-99.24,2.44,-94.94,17.97,58.28,71.99,43.89,76.8,-94.52,-68.66,24.03
4,f03.png,0.6786,0.3215,49735,0,31.9,50.64,-99.53,-94.82,15.16,-148.34,25.15,-101.31,-100.0,-8.89,-88.99,21.3,73.8,74.0,-16.13,53.84,-94.5,-72.0,57.71
5,f04.png,0.7274,0.2728,49735,0,30.9,87.47,-68.33,-92.89,-12.62,-153.5,36.56,-110.0,-99.91,-12.06,-64.28,5.02,74.57,91.67,-9.04,60.85,-94.8,-46.49,54.27
6,f05.png,0.6953,0.3049,19393,0,12.7,97.51,-61.88,-90.59,-20.9,-157.21,-4.48,-109.95,-99.9,-57.69,-80.57,8.61,79.76,110.0,-4.12,38.98,-90.83,-69.48,1.96
7,f06.png,0.7544,0.2457,27073,0,18.1,109.16,-56.28,-96.43,-20.13,-91.54,55.24,-62.59,-79.14,-51.84,-60.32,-7.04,99.12,109.92,28.07,59.64,-93.0,-10.98,-1.93
8,f07.png,0.7683,0.2319,28592,0,16.8,104.97,-66.7,-80.57,-23.39,-56.0,55.92,-57.34,-78.53,-49.93,-71.85,-9.87,99.64,110.0,29.64,49.59,-83.55,-0.51,-2.41
9,f08.png,0.7815,0.2187,26768,0,15.8,101.38,-66.23,-83.78,-25.31,-25.32,55.39,-54.82,-79.17,-47.95,-81.52,-17.11,99.91,110.0,29.64,49.59,-83.55,-0.51,-2.41
10,f09.png,0.7798,0.2204,26768,0,15.7,101.38,-66.23,-83.78,-25.31,-25.32,55.39,-54.82,-79.17,-47.95,-81.52,-17.11,99.91,110.0,31.41,46.93,-84.05,0.63,-2.03
11,f10.png,0.7787,0.2215,26768,0,15.8,101.38,-66.23,-83.78,-25.31,-25.32,55.39,-54.82,-79.17,-47.95,-81.52,-17.11,99.91,110.0,31.55,46.75,-84.14,0.75,-1.93
12,f11.png,0.7789,0.2213,26768,0,15.8,101.38,-66.23,-83.78,-25.31,-25.32,55.39,-54.82,-79.17,-47.95,-81.52,-17.11,99.91,110.0,31.55,46.75,-84.14,0.75,-1.93
13,f12.png,0.7795,0.2207,26768,0,15.8,101.38,-66.23,-83.78,-25.31,-25.32,55.39,-54.82,-79.17,-47.95,-81.52,-17.11,99.91,110.0,31.55,46.75,-84.14,0.75,-1.93
14,f13.png,0.7804,0.2199,26768,0,15.8,101.38,-66.23,-83.78,-25.31,-25.32,55.39,-54.82,-79.17,-47.95,-81.52,-17.11,99.91,110.0,31.73,44.68,-81.03,9.44,-0.69
15,f14.png,0.7796,0.2206,26768,0,15.7,101.66,-64.62,-86.3,-26.42,-26.61,54.29,-54.82,-79.17,-47.95,-81.52,-17.11,99.91,110.0,31.73,44.68,-81.03,9.44,-0.69
16,f15.png,0.7855,0.2148,26768,0,15.8,100.9,-64.2,-88.39,-24.43,-24.61,53.5,-56.87,-79.86,-48.62,-83.12,-14.79,100.0,110.0,31.73,44.68,-81.03,9.44,-0.69
17,f16.png,0.7755,0.2247,26768,0,15.8,100.9,-64.2,-88.39,-24.43,-24.61,53.5,-60.99,-82.81,-47.02,-81.45,-10.19,99.77,109.02,32.52,44.67,-81.58,10.62,-1.85
18,f17.png,0.7887,0.2115,26768,0,15.8,98.99,-62.23,-93.78,-20.1,-22.64,43.88,-62.37,-81.01,-49.57,-82.87,-11.09,99.99,107.5,34.88,42.67,-85.99,9.72,-2.65
19,f18.png,0.7901,0.2101,26768,0,15.7,97.97,-64.28,-92.45,-17.49,-21.86,38.75,-64.26,-78.22,-56.72,-79.51,-11.05,100.0,105.6,38.59,38.61,-89.29,8.87,-1.98
