frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg,q_r3_j0_deg,q_r3_j1_deg,q_r3_j2_deg,q_r3_j3_deg,q_r3_j4_deg,q_r3_j5_deg,q_r4_j0_deg,q_r4_j1_deg,q_r4_j2_deg,q_r4_j3_deg,q_r4_j4_deg,q_r4_j5_deg
1,f00.png,0.195,0.81,46154,0,36.7,5.21,-97.32,-88.37,5.26,-70.06,-3.84,26.46,-86.74,5.01,95.0,-86.69,17.79,-3.12,-93.94,22.11,79.19,78.09,84.64,-1.98,-4.57,-1.56,-0.08,0.0,0.0,0.1,-0.85,-0.75,-0.15,0.0,0.0
2,f01.png,0.2037,0.801,54218,0,43.1,5.43,-97.32,-88.11,5.38,-70.11,-3.91,26.49,-88.0,6.32,95.0,-86.99,17.79,-4.14,-94.29,21.14,81.44,83.08,85.09,-1.86,-5.22,3.92,6.09,-0.15,0.88,-1.21,2.42,-0.61,-0.17,1.64,0.27
3,f02.png,0.2388,0.7657,50570,0,37.1,5.48,-97.28,-88.08,5.48,-69.93,-3.94,30.07,-89.05,4.57,94.97,-79.18,16.61,-3.21,-93.97,20.37,82.42,83.97,85.33,-1.86,-5.22,3.92,6.09,-0.15,0.88,-1.22,2.32,-0.68,-0.17,1.64,0.27
4,f03.png,0.2967,0.7074,50954,0,35.8,5.76,-97.18,-87.87,5.29,-69.92,-3.88,49.64,-90.83,-6.12,95.0,-68.22,16.04,-22.18,-93.48,21.14,81.66,78.4,85.52,-1.86,-5.22,3.92,6.09,-0.15,0.88,-1.22,2.32,-0.68,-0.17,1.64,0.27
5,f04.png,0.393,0.6102,52682,0,37.1,5.72,-97.22,-87.81,5.27,-69.81,-3.9,32.19,-89.28,-7.58,95.0,-80.66,15.47,-50.15,-100.0,23.22,80.87,74.46,84.68,-1.99,-3.27,5.29,6.09,-0.15,0.88,-1.25,4.06,0.6,-0.17,1.64,0.27
6,f05.png,0.4952,0.5074,52106,0,37.0,-12.36,-43.47,-96.83,-28.16,-64.42,-8.69,36.47,-100.0,-10.65,95.0,-102.3,15.16,-72.86,-99.97,15.93,78.5,91.05,85.17,-2.09,-5.86,8.73,5.42,0.19,1.1,-1.63,6.75,-0.66,-7.21,-1.54,-0.8
7,f06.png,0.5484,0.4534,50442,0,35.8,-18.97,-47.66,-94.86,-34.1,-64.39,-9.84,27.95,-100.0,-13.06,95.0,-96.0,14.91,-71.03,-79.6,20.47,66.32,118.33,84.47,-1.97,-4.18,11.43,5.67,0.7,1.12,-2.27,11.35,-2.87,-6.13,-0.56,-1.48
8,f07.png,0.5534,0.4483,50058,0,35.1,-19.78,-47.49,-96.83,-39.85,-62.12,-9.55,27.32,-100.0,-12.01,95.0,-95.3,14.91,-68.33,-75.15,22.28,61.41,143.66,84.51,-1.99,-3.98,11.61,5.67,0.7,1.12,-7.59,9.9,-1.2,-6.08,-0.16,-1.75
9,f08.png,0.5579,0.4436,51210,0,36.1,-19.63,-47.63,-96.83,-39.88,-62.12,-9.55,26.3,-100.0,-11.92,95.0,-95.58,15.12,-69.15,-64.97,20.51,62.43,158.99,84.63,-1.99,-3.96,11.57,5.67,0.7,1.12,-6.13,9.72,-0.72,-4.76,0.02,-2.19
10,f09.png,0.5583,0.4432,46794,0,32.8,-18.53,-47.5,-96.83,-39.95,-62.12,-9.55,26.76,-100.0,-8.82,95.0,-94.96,15.12,-73.65,-56.2,20.2,50.86,162.66,85.24,-2.0,-3.99,11.57,5.67,0.7,1.12,-6.14,9.94,-0.74,-4.78,-0.08,-2.17
11,f10.png,0.5627,0.4388,47562,0,33.3,-18.03,-47.48,-96.83,-40.36,-62.12,-9.55,17.01,-100.0,-6.41,95.0,-98.38,15.1,-74.38,-54.18,21.12,44.92,162.78,88.03,-2.0,-4.0,11.61,5.67,0.7,1.12,-7.67,12.13,-3.31,-4.94,1.91,-2.0
12,f11.png,0.5631,0.4384,48906,0,34.5,-18.03,-47.48,-96.83,-40.36,-62.12,-9.55,17.01,-100.0,-6.41,95.0,-98.38,15.1,-74.38,-54.18,21.12,44.92,162.78,88.03,-2.0,-4.0,11.61,5.67,0.7,1.12,-13.13,11.85,-3.67,-4.63,0.27,-2.67
13,f12.png,0.5619,0.4396,49290,0,34.7,-16.79,-47.48,-96.83,-40.24,-62.12,-9.55,15.17,-100.0,-5.51,95.0,-97.54,15.1,-74.28,-54.17,20.97,44.95,162.77,88.03,-1.99,-4.0,11.61,5.67,0.7,1.12,-18.08,12.82,-5.34,-3.4,0.22,-2.44
14,f13.png,0.5625,0.439,49674,0,35.1,-20.11,-48.21,-96.83,-41.84,-62.12,-9.55,15.33,-100.0,-3.26,95.0,-97.84,15.1,-74.3,-54.15,20.97,44.96,162.77,88.03,-1.99,-4.01,11.61,5.67,0.7,1.12,-18.18,12.87,-5.39,-3.47,0.05,-2.34
15,f14.png,0.5608,0.4407,48330,0,34.2,-20.38,-48.31,-96.83,-42.53,-62.03,-9.55,14.39,-100.0,-3.54,95.0,-97.09,15.2,-75.09,-56.04,23.88,43.09,161.09,88.54,-1.99,-4.0,11.61,5.67,0.7,1.12,-17.99,12.89,-5.47,-3.26,-0.23,-2.17
16,f15.png,0.5546,0.447,47178,0,33.1,-21.77,-49.12,-96.83,-37.51,-58.71,-9.96,13.43,-100.0,-3.54,95.0,-96.19,15.2,-75.03,-60.13,26.23,43.95,161.33,89.85,-2.06,-3.21,12.37,5.69,0.7,1.12,-18.05,13.45,-5.04,-3.24,-0.23,-2.17
17,f16.png,0.5435,0.4581,46602,0,32.9,-20.67,-49.14,-96.83,-37.98,-58.71,-9.96,12.87,-100.0,-3.62,95.0,-95.87,15.2,-77.32,-59.97,26.9,45.7,160.31,89.5,-2.06,-3.21,12.37,5.69,0.7,1.12,-18.05,13.45,-5.04,-3.24,-0.23,-2.17
18,f17.png,0.5362,0.4656,46026,0,32.4,-20.52,-49.14,-96.83,-38.19,-58.71,-9.96,12.58,-100.0,-3.71,95.0,-94.88,15.2,-78.98,-60.45,28.25,42.98,160.1,89.27,-2.01,-6.59,14.37,5.67,-0.17,0.73,-11.01,8.14,2.23,-4.73,0.62,-1.76
19,f18.png,0.524,0.478,49098,0,35.0,-21.88,-48.91,-96.83,-38.52,-58.71,-9.96,12.47,-100.0,-2.94,95.0,-94.31,15.2,-81.3,-63.77,29.59,44.65,160.85,88.74,-2.0,-6.61,14.36,5.67,-0.17,0.73,-10.43,8.03,1.59,-3.54,0.29,-1.62
20,f19.png,0.5131,0.489,48138,0,34.3,-21.32,-48.79,-96.83,-40.26,-58.77,-9.96,12.9,-100.0,-2.99,95.0,-94.57,15.2,-82.7,-63.65,29.62,44.99,160.88,88.74,-2.0,-6.61,14.35,5.67,-0.17,0.73,-10.44,8.36,1.15,-3.72,0.02,-1.84
21,f20.png,0.5085,0.4937,47946,0,34.5,-20.84,-47.88,-96.83,-36.66,-53.37,-9.98,12.61,-100.0,-2.91,95.0,-94.82,15.2,-83.62,-62.53,29.11,43.19,160.95,89.53,-2.0,-6.6,14.37,5.67,-0.17,0.73,-8.46,8.28,1.4,-4.26,0.66,-1.77
22,f21.png,0.4787,0.524,47562,0,34.0,-18.58,-46.68,-94.19,-37.75,-59.41,-8.91,16.44,-100.0,-2.09,95.0,-93.21,11.28,-88.54,-63.09,25.57,47.47,162.43,86.81,-2.0,-6.6,14.37,5.67,-0.17,0.73,-6.36,6.33,3.85,-2.6,1.46,-1.35
23,f22.png,0.382,0.6221,49226,0,35.3,-7.56,-41.1,-96.83,-39.38,-58.22,-9.55,48.36,-100.0,-7.92,95.0,-126.81,8.32,-91.5,-60.92,34.92,46.86,162.61,86.77,-2.0,-6.6,14.36,5.67,-0.17,0.73,-4.17,4.21,6.47,-2.29,4.7,0.04
24,f23.png,0.3437,0.6609,48842,0,34.5,-4.22,-39.82,-96.83,-38.07,-58.75,-9.72,50.25,-100.0,-6.87,95.0,-136.6,9.4,-91.51,-60.9,38.38,47.67,160.55,88.71,-2.0,-6.6,14.37,5.67,-0.17,0.73,-4.12,4.27,6.52,-2.06,5.11,0.36
25,f24.png,0.4323,0.5711,44490,0,31.4,1.03,-40.9,-96.83,-42.25,-63.01,-7.36,45.77,-100.0,-8.37,95.0,-125.09,8.52,-91.55,-60.93,38.38,47.67,160.55,88.71,-2.0,-6.6,14.37,5.67,-0.17,0.73,-4.12,4.27,6.52,-2.06,5.11,0.36
