frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.8192,0.1809,27344,0,24.6,-100.87,17.9,71.27,-90.37,-79.28,13.82,69.63,-100.0,-96.77,19.42,-124.76,-7.21,82.27,-80.13,76.65,48.55,-154.2,39.58
2,f01.png,0.8129,0.1872,26768,0,28.5,-100.87,17.9,71.27,-90.37,-79.28,13.82,69.63,-100.0,-96.77,19.42,-124.76,-7.21,82.27,-80.13,76.65,48.55,-154.2,39.58
3,f02.png,0.8129,0.1872,26768,0,23.7,-100.87,17.9,71.27,-90.37,-79.28,13.82,69.63,-100.0,-96.77,19.42,-124.76,-7.21,82.27,-80.13,76.65,48.55,-154.2,39.58
4,f03.png,0.812,0.1881,26768,0,20.6,-100.87,17.9,71.27,-90.37,-79.28,13.82,69.63,-100.0,-96.77,19.42,-124.76,-7.21,82.27,-80.13,76.65,48.55,-154.2,39.58
5,f04.png,0.806,0.194,26768,0,19.7,-100.87,17.9,71.27,-90.37,-79.28,13.82,69.63,-100.0,-96.77,19.42,-124.76,-7.21,82.27,-80.13,76.65,48.55,-154.2,39.58
6,f05.png,0.7739,0.2262,26768,0,18.4,-100.87,17.9,71.27,-90.37,-79.28,13.82,69.63,-100.0,-96.77,19.42,-124.76,-7.21,99.58,-76.37,62.35,27.9,-155.9,27.11
7,f06.png,0.7608,0.2393,28592,0,19.4,-100.47,19.36,71.31,-90.52,-79.37,13.83,69.63,-100.0,-96.77,19.42,-124.76,-7.21,101.13,-66.3,62.45,13.97,-156.89,26.69
8,f07.png,0.7592,0.2409,28592,0,19.4,-100.77,20.96,71.54,-90.22,-79.96,13.87,69.63,-100.0,-96.77,19.42,-124.76,-7.21,103.86,-75.58,70.2,6.22,-156.65,25.1
9,f08.png,0.7338,0.2663,49735,0,34.5,-100.82,20.97,71.57,-90.2,-79.58,13.99,69.63,-100.0,-96.77,19.42,-124.76,-7.21,104.07,-69.58,67.12,5.45,-156.83,23.44
10,f09.png,0.6938,0.3064,49735,0,34.5,-100.82,20.97,71.57,-90.2,-79.58,13.99,69.61,-100.0,-96.82,19.45,-124.46,-7.27,106.42,-62.09,64.13,4.02,-157.18,23.59
