frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.8129,0.1872,26352,0,18.9,109.98,-99.94,90.26,54.3,-23.98,7.84,108.8,-17.81,24.99,95.0,-143.99,-9.45,109.96,1.66,66.36,-94.94,13.16,60.74
2,f01.png,0.8104,0.1897,26768,0,19.3,109.89,-99.99,90.42,54.07,-24.15,7.72,108.8,-17.81,24.99,95.0,-143.99,-9.45,109.96,1.66,66.36,-94.94,13.16,60.74
3,f02.png,0.8109,0.1892,26768,0,19.3,109.8,-99.97,90.4,54.05,-24.21,7.65,108.8,-17.81,24.99,95.0,-143.99,-9.45,109.96,1.66,66.36,-94.94,13.16,60.74
4,f03.png,0.8098,0.1903,26768,0,19.3,108.95,-99.93,90.44,52.57,-24.11,7.8,108.8,-17.81,24.99,95.0,-143.99,-9.45,109.96,1.66,66.36,-94.94,13.16,60.74
5,f04.png,0.8227,0.1774,26768,0,18.1,108.92,-100.0,90.5,58.36,-17.3,16.19,102.67,-12.23,8.91,90.98,-143.16,12.0,109.98,12.91,56.5,-94.55,2.01,45.22
6,f05.png,0.8186,0.1816,26768,0,16.7,107.74,-100.0,90.63,57.91,-28.89,5.7,105.88,-8.3,1.29,95.0,-157.19,3.57,109.28,17.71,43.88,-95.0,-3.86,28.42
7,f06.png,0.7983,0.2019,26768,0,16.7,109.85,-100.0,90.45,57.75,-29.31,5.68,105.87,-3.31,-5.23,95.0,-147.28,0.33,110.0,17.11,37.98,-94.91,-2.86,28.91
8,f07.png,0.793,0.2071,26768,0,16.9,109.99,-100.0,90.45,57.77,-29.09,5.67,105.74,-1.35,-8.01,94.53,-130.99,-1.68,109.99,21.6,27.38,-94.83,-4.07,22.66
9,f08.png,0.7773,0.2228,26768,0,16.6,109.8,-99.96,90.45,52.64,-48.66,5.52,106.02,4.04,-16.07,94.99,-114.79,-9.36,110.0,24.19,20.91,-87.59,-3.31,23.0
10,f09.png,0.7371,0.263,49735,0,32.1,109.85,-99.98,90.37,46.45,-48.9,5.08,106.6,3.78,-13.24,95.0,-116.99,-9.95,109.98,29.39,1.26,-74.82,14.25,19.35
11,f10.png,0.7004,0.2998,49735,0,32.1,109.94,-99.99,90.42,52.42,-61.73,4.04,107.24,5.26,-12.18,95.0,-125.36,-9.95,110.0,48.34,-32.89,-59.78,34.68,-9.67
12,f11.png,0.6207,0.3796,49735,0,32.3,110.0,-100.0,90.49,52.42,-61.66,4.03,107.59,2.05,-6.96,94.79,-125.16,-9.62,110.0,56.25,-42.62,-56.05,37.19,-9.84
13,f12.png,0.6035,0.3968,49735,0,32.3,109.98,-100.0,90.48,52.44,-61.8,3.99,106.8,3.4,-5.0,94.07,-140.68,-9.25,109.97,63.29,-50.69,-57.91,35.93,-5.66
14,f13.png,0.6546,0.3456,49735,0,32.6,107.79,-100.0,90.5,58.31,-61.42,-4.12,97.96,39.52,-5.9,95.0,-95.61,12.71,110.0,71.89,-60.47,-60.04,39.83,39.3
15,f14.png,0.662,0.3381,49735,0,33.0,102.27,-100.0,90.69,58.02,-54.05,14.88,99.69,38.02,-6.45,94.93,-89.67,49.39,110.0,74.56,-64.91,-57.63,40.52,0.3
16,f15.png,0.683,0.3171,49735,0,33.0,109.99,-99.99,90.41,43.12,-118.81,7.1,109.99,35.69,-42.74,33.04,-86.96,36.07,110.0,76.55,-62.24,-22.8,73.81,55.01
17,f16.png,0.7047,0.2954,49735,0,31.7,99.4,-100.0,89.27,-8.83,-91.32,56.26,110.0,41.54,-36.49,11.63,-77.14,36.06,110.0,81.15,-67.02,-13.41,86.97,62.1
18,f17.png,0.7199,0.2802,49735,0,31.7,107.59,-99.99,89.57,-21.39,-86.4,53.09,110.0,41.54,-36.49,11.63,-77.14,36.06,110.0,81.15,-67.02,-13.41,86.97,62.1
19,f18.png,0.713,0.2871,49735,0,32.0,108.59,-100.0,90.43,-28.69,-93.47,54.16,110.0,41.54,-36.49,11.63,-77.14,36.06,110.0,81.15,-67.02,-13.41,86.97,62.1
20,f19.png,0.7249,0.2753,49735,0,32.0,108.62,-100.0,89.39,-32.66,-108.63,58.25,109.99,51.95,-49.17,10.9,-73.84,35.52,110.0,81.15,-67.02,-13.41,86.97,62.1
21,f20.png,0.7406,0.2596,49735,0,32.1,110.0,-99.98,88.12,-39.98,-126.79,66.14,109.98,51.84,-51.01,14.49,-86.24,34.44,110.0,81.15,-67.02,-13.41,86.97,62.1
22,f21.png,0.7405,0.2597,49735,0,31.9,109.96,-99.99,89.76,-46.4,-117.02,74.46,109.98,55.76,-58.6,18.65,-87.33,34.65,110.0,81.15,-67.02,-13.41,86.97,62.1
23,f22.png,0.7281,0.272,49735,0,31.9,105.65,-99.99,89.54,-50.37,-109.62,86.7,109.98,58.38,-64.31,21.51,-91.53,31.09,110.0,81.15,-67.02,-13.41,86.97,62.1
24,f23.png,0.729,0.2712,49735,0,32.0,109.92,-99.99,90.03,-62.4,-110.97,95.58,109.99,58.63,-65.2,22.79,-91.65,30.21,110.0,81.15,-67.02,-13.41,86.97,62.1
25,f24.png,0.7326,0.2675,49735,0,32.0,108.7,-99.66,90.73,-60.53,-107.53,95.42,109.99,58.63,-65.2,22.79,-91.65,30.21,110.0,81.15,-67.02,-13.41,86.97,62.1
26,f25.png,0.729,0.2711,49735,0,32.2,107.84,-99.93,90.4,-60.05,-108.22,96.66,110.0,58.45,-64.89,22.68,-91.56,30.01,110.0,81.15,-67.02,-13.41,86.97,62.1
27,f26.png,0.7358,0.2644,49735,0,31.9,108.02,-99.46,90.67,-58.7,-107.52,91.97,110.0,58.47,-64.84,22.52,-91.53,29.99,110.0,81.15,-67.02,-13.41,86.97,62.1
28,f27.png,0.7356,0.2645,49735,0,32.3,108.02,-99.46,90.67,-58.7,-107.52,91.97,109.97,63.3,-67.36,8.36,-104.39,30.55,110.0,81.15,-67.02,-13.41,86.97,62.1
29,f28.png,0.728,0.2721,49735,0,32.1,109.77,-99.99,90.46,-62.77,-104.65,95.92,110.0,63.3,-67.51,8.72,-104.2,30.8,110.0,81.15,-67.02,-13.41,86.97,62.1
30,f29.png,0.7311,0.2691,49735,0,32.1,109.07,-100.0,90.53,-61.91,-101.65,98.72,110.0,61.81,-65.03,8.32,-103.04,31.16,110.0,81.15,-67.02,-13.41,86.97,62.1
31,f30.png,0.7322,0.268,49735,0,32.2,109.72,-99.99,90.4,-62.66,-103.69,99.52,110.0,61.81,-65.03,8.32,-103.04,31.16,110.0,81.15,-67.02,-13.41,86.97,62.1
32,f31.png,0.7321,0.2681,49735,0,32.2,109.72,-99.99,90.4,-62.66,-103.69,99.52,110.0,62.1,-65.33,8.0,-103.3,31.22,110.0,81.15,-67.02,-13.41,86.97,62.1
