frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.5508,0.4495,46183,0,32.9,58.16,-98.82,-80.84,1.49,-58.53,12.14,82.86,-73.7,-77.38,-35.15,-157.21,18.68,90.03,41.6,-29.82,21.81,-11.44,12.79
2,f01.png,0.5516,0.4487,49735,0,35.2,58.33,-98.86,-80.76,1.43,-58.69,12.22,82.86,-73.7,-77.38,-35.15,-157.21,18.68,91.28,35.81,-30.98,22.8,-8.98,13.06
3,f02.png,0.5683,0.4319,49735,0,32.8,58.41,-99.39,-80.53,1.23,-58.71,11.87,83.1,-71.95,-84.92,-27.0,-143.1,24.3,91.28,35.81,-30.98,22.8,-8.98,13.06
4,f03.png,0.5691,0.4311,49735,0,29.6,26.75,-99.6,-95.36,21.66,-86.74,17.5,82.83,-77.89,-72.09,-37.23,-141.84,24.28,96.04,35.14,-29.59,4.14,-39.98,-9.96
5,f04.png,0.5655,0.4347,49735,0,29.7,50.99,-99.95,-94.42,20.19,-79.47,11.81,81.06,-78.4,-70.21,-36.12,-145.53,-5.39,98.13,34.66,-22.68,-0.54,-27.04,-5.96
6,f05.png,0.5578,0.4425,49735,0,30.1,50.7,-100.0,-94.7,20.36,-79.01,11.75,80.79,-82.04,-71.29,-23.72,-140.08,-4.96,100.37,37.14,-22.43,-0.41,-27.52,-5.47
7,f06.png,0.5699,0.4303,49735,0,29.7,39.25,-99.87,-96.51,12.32,-84.21,-9.98,80.95,-82.01,-77.11,-9.42,-134.68,-9.71,101.02,39.6,-25.49,-5.82,-41.1,-9.93
8,f07.png,0.5733,0.4269,49735,0,29.8,39.36,-99.84,-96.52,12.3,-84.16,-9.97,81.0,-81.42,-80.52,-3.63,-131.36,-9.98,101.02,39.6,-25.49,-5.82,-41.1,-9.93
9,f08.png,0.5795,0.4207,49735,0,29.8,39.13,-99.97,-96.52,12.27,-84.15,-9.96,81.19,-81.41,-80.77,-3.89,-127.72,-9.92,100.33,42.53,-25.82,-6.31,-41.4,-9.99
10,f09.png,0.575,0.4252,49735,0,29.8,61.1,-99.86,-94.51,16.02,-73.11,-9.93,81.45,-79.3,-82.17,-8.24,-119.8,-9.85,102.93,44.81,-30.52,-15.49,-67.08,-7.9
11,f10.png,0.5741,0.4261,49735,0,29.8,61.41,-99.91,-94.44,16.52,-73.43,-9.8,81.45,-79.3,-82.17,-8.24,-119.8,-9.85,102.93,44.81,-30.52,-15.49,-67.08,-7.9
12,f11.png,0.5704,0.4298,49735,0,29.8,61.42,-99.61,-94.42,16.52,-73.96,-9.8,81.45,-79.3,-82.17,-8.24,-119.8,-9.85,102.93,44.81,-30.52,-15.49,-67.08,-7.9
13,f12.png,0.5836,0.4166,49735,0,29.9,62.11,-99.95,-94.95,16.36,-74.11,-9.63,81.45,-79.3,-82.17,-8.24,-119.8,-9.85,102.93,44.81,-30.52,-15.49,-67.08,-7.9
14,f13.png,0.5886,0.4116,49735,0,29.9,62.26,-99.88,-94.75,16.32,-74.35,-9.72,81.45,-79.3,-82.17,-8.24,-119.8,-9.85,102.93,44.81,-30.52,-15.49,-67.08,-7.9
15,f14.png,0.5845,0.4157,49735,0,29.8,62.2,-99.98,-94.73,16.18,-74.3,-9.84,81.45,-79.3,-82.17,-8.24,-119.8,-9.85,103.8,43.27,-25.84,-15.55,-47.07,-7.24
16,f15.png,0.5847,0.4154,32647,0,18.7,68.81,-100.0,-83.06,11.54,-58.86,-9.73,82.44,-77.74,-83.65,-9.31,-120.89,-9.98,100.98,41.94,-26.44,-21.3,-67.49,-8.73
17,f16.png,0.6133,0.3869,49735,0,29.6,68.69,-99.92,-83.04,11.51,-59.21,-9.73,82.44,-77.74,-83.65,-9.31,-120.89,-9.98,100.98,41.94,-26.44,-21.3,-67.49,-8.73
18,f17.png,0.661,0.3391,49735,0,29.6,68.37,-99.73,-82.84,11.67,-59.64,-9.85,82.44,-77.74,-83.65,-9.31,-120.89,-9.98,102.21,44.8,-27.27,-20.91,-74.45,-9.9
19,f18.png,0.6122,0.3879,49735,0,29.4,87.51,-99.99,-92.22,0.93,-75.47,-2.89,81.64,-97.74,-49.38,-18.74,-122.74,-9.98,102.59,44.8,-26.01,-26.73,-83.49,-7.16
20,f19.png,0.5587,0.4415,49735,0,29.4,87.43,-99.99,-92.11,0.94,-75.71,-2.93,81.64,-97.74,-49.38,-18.74,-122.74,-9.98,103.48,43.48,-25.29,-26.39,-80.23,-6.92
21,f20.png,0.5578,0.4424,49735,0,29.4,87.17,-99.89,-91.83,0.64,-75.51,-2.94,81.64,-97.74,-49.38,-18.74,-122.74,-9.98,103.48,43.48,-25.29,-26.39,-80.23,-6.92
