frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.5558,0.4458,35847,0,24.2,-68.47,18.57,-96.82,-66.91,32.61,99.71,36.02,-19.78,-96.83,-31.76,128.09,-4.43,-11.81,-25.84,-96.83,-55.85,33.65,65.53
2,f01.png,0.5551,0.4464,49735,0,33.7,-68.47,18.57,-96.82,-66.91,32.61,99.71,36.02,-19.78,-96.83,-31.76,128.09,-4.43,-11.81,-25.84,-96.83,-55.85,33.65,65.53
3,f02.png,0.5497,0.4518,49735,0,33.0,-68.47,18.57,-96.82,-66.91,32.61,99.71,36.02,-19.78,-96.83,-31.76,128.09,-4.43,-11.81,-25.84,-96.83,-55.85,33.65,65.53
4,f03.png,0.5513,0.4503,49735,0,30.3,-68.27,17.23,-96.83,-70.32,48.93,99.98,40.31,-19.43,-96.82,-37.51,129.45,-7.03,-13.12,-29.02,-96.81,-60.08,30.33,63.97
5,f04.png,0.5461,0.4555,49735,0,30.2,-68.27,17.23,-96.83,-70.32,48.93,99.98,40.31,-19.43,-96.82,-37.51,129.45,-7.03,-13.12,-29.02,-96.81,-60.08,30.33,63.97
6,f05.png,0.5484,0.4532,49735,0,30.7,-68.42,15.75,-96.4,-73.23,49.52,98.38,40.31,-19.43,-96.82,-37.51,129.45,-7.03,-14.84,-31.51,-96.56,-69.94,29.34,61.07
7,f06.png,0.5496,0.452,49735,0,30.8,-66.49,14.71,-96.77,-77.0,53.11,99.65,47.58,-21.64,-96.79,-36.53,123.8,-9.15,-15.87,-33.06,-96.82,-75.54,29.58,53.96
8,f07.png,0.5529,0.4486,49735,0,30.5,-74.75,15.3,-96.64,-81.64,54.65,98.86,49.98,-22.98,-96.72,-36.84,124.24,-9.1,-15.23,-34.21,-96.81,-80.37,29.7,53.63
9,f08.png,0.5613,0.4403,49735,0,31.4,-74.68,15.4,-96.48,-85.57,57.27,99.01,52.2,-23.36,-96.28,-41.93,133.19,-9.73,-15.23,-34.21,-96.81,-80.37,29.7,53.63
10,f09.png,0.5793,0.4222,39559,0,23.3,-74.22,13.54,-96.83,-88.71,56.21,70.8,54.92,-24.09,-96.83,-42.88,142.71,-9.99,-17.1,-36.0,-95.48,-85.8,24.9,47.88
11,f10.png,0.5773,0.4241,49735,0,29.2,-70.04,7.84,-96.82,-90.23,54.69,70.83,54.18,-24.38,-96.69,-46.22,142.71,-10.0,-18.59,-35.82,-96.72,-88.16,27.66,49.19
12,f11.png,0.583,0.4183,49735,0,30.1,-73.07,6.73,-95.98,-92.08,55.97,67.73,56.91,-25.61,-96.76,-48.13,148.25,-6.68,-21.58,-37.76,-96.78,-86.74,21.2,51.08
13,f12.png,0.5875,0.4138,49735,0,29.5,-75.43,8.11,-96.8,-94.79,62.46,67.45,56.75,-27.26,-96.66,-45.99,145.9,-9.9,-20.24,-37.81,-96.8,-94.15,24.08,48.23
14,f13.png,0.5875,0.4139,49735,0,29.4,-75.48,8.22,-96.8,-94.66,62.3,67.36,56.75,-27.26,-96.66,-45.99,145.9,-9.9,-20.24,-37.81,-96.8,-94.15,24.08,48.23
