frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.3138,0.6875,70439,0,50.3,-4.44,-4.15,2.17,-37.08,162.78,-10.0,-5.74,17.17,-16.05,42.58,36.63,-1.04,-0.89,34.12,-37.52,-43.27,-101.87,96.79
2,f01.png,0.3398,0.6614,33415,0,22.4,-2.77,-8.11,11.53,-26.0,155.53,3.36,0.81,22.04,-17.25,8.49,46.33,15.69,-3.33,36.64,-36.2,-44.82,-111.02,97.77
3,f02.png,0.4039,0.597,33031,0,20.9,-5.63,-14.38,20.47,-13.64,149.02,-6.69,12.59,25.93,-20.18,23.55,33.63,34.47,-3.8,39.99,-41.07,-30.33,-92.93,72.18
4,f03.png,0.479,0.5219,49735,0,30.4,-8.16,-18.22,28.88,13.27,119.83,5.08,21.18,35.75,-26.95,41.16,24.08,25.39,5.34,46.26,-43.03,-69.31,-100.84,88.39
5,f04.png,0.6418,0.3586,49735,0,31.2,-5.3,-28.07,89.3,-17.19,79.22,15.39,14.62,42.82,-28.43,14.92,21.92,38.46,4.0,52.45,-38.39,-70.53,-124.77,98.61
6,f05.png,0.7282,0.2721,49735,0,31.3,60.12,-33.01,88.65,22.06,90.87,62.44,20.73,41.44,-34.72,-15.24,69.2,83.53,63.37,68.22,-31.49,-68.07,-130.55,85.19
7,f06.png,0.8023,0.1978,27073,0,17.9,28.04,-43.23,45.13,8.79,135.44,90.69,23.43,44.33,-61.13,-8.88,79.7,74.82,52.95,61.04,-20.42,-89.69,-120.51,96.61
8,f07.png,0.802,0.1981,26768,0,15.8,35.19,-45.28,44.9,38.45,96.47,81.11,39.0,72.72,-69.25,-10.54,51.89,35.31,54.46,63.79,-27.48,-88.81,-102.1,99.03
9,f08.png,0.7891,0.211,26768,0,15.8,38.06,-49.51,43.57,36.97,94.82,81.46,39.0,72.72,-69.25,-10.54,51.89,35.31,54.38,63.05,-27.46,-89.66,-101.91,99.26
10,f09.png,0.7898,0.2103,26768,0,15.8,37.86,-49.38,43.63,35.51,94.65,82.02,39.0,72.72,-69.25,-10.54,51.89,35.31,54.38,63.05,-27.46,-89.66,-101.91,99.26
11,f10.png,0.7806,0.2195,26768,0,15.8,37.99,-49.3,43.6,35.33,94.01,81.87,39.0,72.72,-69.25,-10.54,51.89,35.31,54.38,63.05,-27.46,-89.66,-101.91,99.26
12,f11.png,0.7952,0.2049,26768,0,15.8,37.87,-49.33,43.61,35.27,93.54,81.85,39.3,71.3,-69.4,-10.52,51.64,35.48,54.84,62.72,-28.72,-86.82,-104.39,99.29
13,f12.png,0.7954,0.2046,26768,0,15.9,37.87,-49.33,43.61,35.27,93.54,81.85,39.52,71.21,-69.42,-10.72,51.56,35.65,54.7,62.59,-28.64,-86.99,-103.85,99.41
14,f13.png,0.7934,0.2066,26768,0,15.9,41.92,-52.03,47.03,21.37,94.03,81.9,41.8,71.86,-70.02,-10.62,51.92,35.52,54.7,62.59,-28.64,-86.99,-103.85,99.41
15,f14.png,0.7959,0.2042,26768,0,15.9,41.96,-51.97,47.07,20.92,93.88,81.98,50.81,73.4,-70.59,-11.14,52.38,36.11,54.7,62.59,-28.64,-86.99,-103.85,99.41
16,f15.png,0.7993,0.2008,26768,0,15.9,41.96,-51.97,47.07,20.92,93.88,81.98,51.19,73.52,-70.63,-11.19,52.44,36.25,54.7,62.59,-28.64,-86.99,-103.85,99.41
17,f16.png,0.8111,0.189,26768,0,15.9,38.72,-49.32,46.06,20.14,93.39,82.33,51.5,73.7,-70.74,-11.51,52.23,36.22,54.7,62.59,-28.64,-86.99,-103.85,99.41
18,f17.png,0.8244,0.1758,26768,0,15.9,36.82,-47.18,44.79,24.09,87.18,80.89,51.5,73.91,-71.11,-11.99,52.64,36.22,54.7,62.59,-28.64,-86.99,-103.85,99.41
19,f18.png,0.8311,0.169,26768,0,16.0,39.02,-49.38,44.21,23.86,87.14,80.59,51.5,73.91,-71.11,-11.99,52.64,36.22,54.7,62.59,-28.64,-86.99,-103.85,99.41
20,f19.png,0.8343,0.1658,26768,0,15.9,42.52,-51.95,45.05,26.71,86.66,81.24,51.5,73.91,-71.11,-11.99,52.64,36.22,54.7,62.59,-28.64,-86.99,-103.85,99.41
21,f20.png,0.8322,0.168,26768,0,15.9,42.52,-51.95,45.05,26.71,86.66,81.24,51.5,73.91,-71.11,-11.99,52.64,36.22,54.68,62.71,-28.88,-87.34,-103.66,99.41
22,f21.png,0.8052,0.195,26768,0,15.9,42.52,-51.95,45.05,26.71,86.66,81.24,51.5,73.91,-71.11,-11.99,52.64,36.22,54.68,62.71,-28.88,-87.34,-103.66,99.41
23,f22.png,0.7955,0.2047,26768,0,15.9,42.52,-51.95,45.05,26.71,86.66,81.24,51.6,75.32,-73.83,-11.92,53.81,36.07,54.68,62.71,-28.88,-87.34,-103.66,99.41
24,f23.png,0.7878,0.2123,26768,0,15.8,42.52,-51.95,45.05,26.71,86.66,81.24,51.6,75.32,-73.83,-11.92,53.81,36.07,54.68,62.71,-28.88,-87.34,-103.66,99.41
25,f24.png,0.789,0.2111,26768,0,15.9,42.52,-51.95,45.05,26.71,86.66,81.24,51.6,75.32,-73.83,-11.92,53.81,36.07,54.68,62.71,-28.88,-87.34,-103.66,99.41
26,f25.png,0.7793,0.2209,26768,0,16.0,42.52,-51.95,45.05,26.71,86.66,81.24,51.6,75.32,-73.83,-11.92,53.81,36.07,54.68,62.71,-28.88,-87.34,-103.66,99.41
27,f26.png,0.7662,0.2339,26768,0,15.8,44.48,-48.6,46.01,23.84,97.33,82.39,51.16,75.0,-69.25,-16.59,57.48,36.71,54.68,62.71,-28.88,-87.34,-103.66,99.41
28,f27.png,0.7649,0.2352,26768,0,15.9,26.05,-44.62,46.17,40.76,105.72,71.09,37.67,76.18,-86.77,-26.86,57.07,-3.02,56.48,57.03,-19.82,-86.95,-89.79,83.79
29,f28.png,0.775,0.2251,26768,0,15.8,20.64,-45.48,44.76,41.11,103.85,70.97,50.65,76.64,-74.11,-27.15,57.91,-3.0,53.7,57.83,-21.32,-86.29,-88.78,83.86
30,f29.png,0.7958,0.2043,26768,0,15.8,20.64,-45.48,44.76,41.11,103.85,70.97,51.82,77.06,-74.15,-27.18,58.42,-3.38,53.7,57.83,-21.32,-86.29,-88.78,83.86
31,f30.png,0.8105,0.1896,26768,0,15.9,-24.04,-48.05,43.25,40.82,103.27,70.84,51.95,77.08,-74.14,-27.37,57.83,-3.44,55.14,53.51,-15.57,-83.62,-91.95,83.04
32,f31.png,0.8054,0.1947,26768,0,15.8,-35.01,-45.88,40.92,34.96,102.08,71.34,54.63,76.86,-71.64,-28.77,60.63,-6.24,54.03,52.88,-17.72,-79.22,-95.14,86.55
