frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg,q_r3_j0_deg,q_r3_j1_deg,q_r3_j2_deg,q_r3_j3_deg,q_r3_j4_deg,q_r3_j5_deg,q_r4_j0_deg,q_r4_j1_deg,q_r4_j2_deg,q_r4_j3_deg,q_r4_j4_deg,q_r4_j5_deg
1,f00.png,0.5237,0.4767,34634,0,29.4,-78.78,-99.98,90.58,48.34,-36.18,78.5,94.51,-12.46,31.05,87.24,68.57,61.04,-88.41,-91.93,-22.67,-76.39,55.94,-6.41,-88.95,-72.04,72.73,77.74,-73.56,17.18,92.7,35.99,-9.54,93.84,-2.26,18.28
2,f01.png,0.5445,0.4558,49674,0,44.1,-78.78,-99.98,90.58,48.34,-36.18,78.5,97.75,26.59,31.44,80.53,71.15,61.57,-87.14,-92.29,-11.99,-93.21,68.28,-9.7,-77.36,-99.83,5.72,84.81,-93.93,7.3,92.82,36.03,-9.5,93.97,-2.88,18.27
3,f02.png,0.5519,0.4486,47562,0,39.9,-78.78,-99.98,90.58,48.34,-36.18,78.5,96.65,-8.09,-4.08,38.47,55.03,82.15,-73.12,-91.96,-9.53,-88.75,82.33,-9.32,-72.85,-99.05,18.61,94.94,-80.03,11.24,92.82,36.47,-9.48,94.92,-3.48,18.57
4,f03.png,0.6662,0.3342,49674,0,37.4,-78.74,-99.86,90.56,48.52,-36.52,78.61,85.0,-0.86,10.28,-12.94,35.96,100.0,-67.88,-100.0,-4.22,-77.8,97.33,-10.0,-72.64,-94.07,61.52,95.0,-81.01,3.54,91.64,36.16,-8.96,95.0,-3.96,18.48
5,f04.png,0.7798,0.2206,42929,0,31.1,-92.92,-98.96,50.74,53.52,-29.07,73.66,105.82,9.33,13.95,-40.88,-9.29,100.0,-64.71,-99.5,-7.35,-71.39,112.17,-8.16,-70.1,-94.45,51.16,94.78,-78.92,3.47,63.54,21.82,-38.89,94.95,-13.44,18.26
6,f05.png,0.8261,0.1742,43699,0,31.2,-87.02,-100.0,53.29,51.6,-27.05,74.68,110.0,24.44,-4.57,-58.32,-24.05,96.91,-59.62,-95.51,-12.31,-71.14,109.3,-9.17,-68.19,-96.1,46.48,95.0,-78.03,4.61,53.78,18.71,-40.94,93.35,-11.81,18.29
7,f06.png,0.7554,0.245,52554,0,38.8,-70.47,-66.7,25.55,64.81,-1.48,62.47,110.0,28.32,-22.16,-55.92,-51.18,92.15,-53.85,-100.0,-34.63,-84.41,100.12,-4.21,-60.38,-87.99,27.19,94.93,-75.91,4.45,37.85,16.57,-44.42,93.03,-24.47,16.88
8,f07.png,0.785,0.2154,43699,0,30.5,-71.97,-57.51,20.46,60.05,-6.77,59.62,110.0,16.46,-16.71,-34.47,-84.51,93.82,-49.28,-95.05,-37.91,-93.94,105.59,-9.38,-49.75,-84.52,11.86,92.41,-70.66,5.3,29.62,27.24,-39.59,94.19,-27.11,16.69
9,f08.png,0.7928,0.2076,40505,0,28.3,-72.48,-55.47,19.16,59.33,-14.79,60.29,110.0,12.58,-21.55,-11.85,-91.99,95.98,-44.0,-94.19,-37.28,-94.77,110.63,-9.94,-48.81,-82.63,1.92,94.94,-61.85,5.46,27.56,28.87,-39.94,93.82,-27.43,16.79
10,f09.png,0.7955,0.2049,40659,0,28.3,-73.15,-53.65,18.24,57.8,-14.83,60.49,110.0,10.18,-20.64,-6.8,-95.24,96.65,-44.0,-94.19,-37.28,-94.77,110.63,-9.94,-48.53,-84.19,3.06,94.96,-60.46,4.83,27.82,28.72,-39.91,93.92,-27.45,16.8
11,f10.png,0.7958,0.2046,40659,0,28.3,-73.9,-54.46,18.91,58.2,-16.49,59.94,110.0,11.01,-20.79,-9.79,-92.85,95.9,-43.96,-94.2,-37.28,-94.76,110.63,-9.93,-48.51,-84.14,3.15,94.99,-60.46,4.83,29.98,28.33,-38.62,95.0,-28.41,16.88
12,f11.png,0.7951,0.2053,40659,0,28.3,-73.8,-55.52,20.4,56.38,-16.15,60.23,110.0,12.15,-19.89,-11.91,-91.29,94.78,-44.69,-94.3,-39.13,-95.0,110.88,-10.0,-48.56,-83.82,3.42,95.0,-60.45,4.83,29.92,28.58,-38.3,94.92,-28.55,16.77
