frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.7531,0.2472,38791,0,25.9,-71.1,-55.89,-38.42,40.35,86.22,99.81,-77.94,-72.39,-6.68,-23.39,-109.54,65.28,98.91,50.43,29.0,-93.96,91.99,-9.98
2,f01.png,0.7514,0.2489,26768,0,17.3,-71.1,-55.89,-38.42,40.35,86.22,99.81,-77.94,-72.39,-6.68,-23.39,-109.54,65.28,98.91,50.43,29.0,-93.96,91.99,-9.98
3,f02.png,0.7492,0.2511,49735,0,33.6,-71.1,-55.89,-38.42,40.35,86.22,99.81,-77.94,-72.39,-6.68,-23.39,-109.54,65.28,98.91,50.43,29.0,-93.96,91.99,-9.98
4,f03.png,0.7483,0.252,49735,0,29.6,-71.1,-55.89,-38.42,40.35,86.22,99.81,-77.94,-72.39,-6.68,-23.39,-109.54,65.28,98.91,50.43,29.0,-93.96,91.99,-9.98
5,f04.png,0.7461,0.2542,49735,0,29.0,-71.1,-55.89,-38.42,40.35,86.22,99.81,-77.94,-72.39,-6.68,-23.39,-109.54,65.28,98.91,50.43,29.0,-93.96,91.99,-9.98
6,f05.png,0.7465,0.2538,49735,0,28.9,-71.1,-55.89,-38.42,40.35,86.22,99.81,-77.94,-72.39,-6.68,-23.39,-109.54,65.28,98.91,50.43,29.0,-93.96,91.99,-9.98
7,f06.png,0.7484,0.2519,49735,0,28.9,-71.1,-55.89,-38.42,40.35,86.22,99.81,-77.94,-72.39,-6.68,-23.39,-109.54,65.28,98.91,50.43,29.0,-93.96,91.99,-9.98
8,f07.png,0.747,0.2534,49735,0,29.0,-71.1,-55.89,-38.42,40.35,86.22,99.81,-77.94,-72.39,-6.68,-23.39,-109.54,65.28,98.91,50.43,29.0,-93.96,91.99,-9.98
9,f08.png,0.7501,0.2502,26768,0,14.9,-71.1,-55.89,-38.42,40.35,86.22,99.81,-77.94,-72.39,-6.68,-23.39,-109.54,65.28,98.91,50.43,29.0,-93.96,91.99,-9.98
10,f09.png,0.7463,0.254,49735,0,28.8,-71.1,-55.89,-38.42,40.35,86.22,99.81,-77.94,-72.39,-6.68,-23.39,-109.54,65.28,98.91,50.43,29.0,-93.96,91.99,-9.98
11,f10.png,0.7446,0.2557,49735,0,28.9,-71.1,-55.89,-38.42,40.35,86.22,99.81,-77.94,-72.39,-6.68,-23.39,-109.54,65.28,98.91,50.43,29.0,-93.96,91.99,-9.98
12,f11.png,0.7412,0.2591,49735,0,28.9,-71.1,-55.89,-38.42,40.35,86.22,99.81,-77.94,-72.39,-6.68,-23.39,-109.54,65.28,98.91,50.43,29.0,-93.96,91.99,-9.98
13,f12.png,0.7476,0.2527,49735,0,28.8,-71.1,-55.89,-38.42,40.35,86.22,99.81,-77.94,-72.39,-6.68,-23.39,-109.54,65.28,98.91,50.43,29.0,-93.96,91.99,-9.98
