frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.6609,0.3397,49735,0,35.2,-56.64,-45.53,19.92,95.0,25.85,100.0,-73.88,-76.93,-95.82,-22.22,-51.64,99.79,-91.91,-45.13,16.77,77.43,-113.5,96.25
2,f01.png,0.6581,0.3425,49735,0,35.6,-58.22,-44.87,19.58,91.09,24.54,99.99,-74.92,-77.09,-93.15,-28.76,-46.96,100.0,-93.02,-45.4,17.74,80.58,-135.34,97.36
3,f02.png,0.6867,0.3137,49735,0,33.0,-58.17,-46.57,22.21,89.93,23.36,100.0,-75.92,-77.52,-92.3,-26.47,-32.55,99.73,-92.7,-53.07,20.08,81.58,-141.86,98.62
4,f03.png,0.6666,0.334,49735,0,30.9,-57.85,-46.69,22.0,88.92,24.41,99.75,-76.2,-78.8,-87.82,-34.09,-23.92,98.62,-92.7,-53.07,20.08,81.58,-141.86,98.62
5,f04.png,0.6765,0.3241,49735,0,30.8,-56.68,-45.62,21.03,93.7,24.23,100.0,-76.21,-78.33,-88.11,-35.73,-22.91,99.99,-92.7,-53.07,20.08,81.58,-141.86,98.62
6,f05.png,0.6761,0.3244,49735,0,30.8,-56.83,-45.59,21.01,94.52,24.39,99.99,-77.51,-78.55,-88.88,-33.57,-14.09,99.42,-90.61,-63.26,22.66,80.81,-144.55,99.06
7,f06.png,0.7016,0.2987,49735,0,31.3,-56.92,-45.66,21.12,94.38,24.32,99.99,-77.58,-78.8,-88.42,-33.93,-16.11,99.4,-90.61,-63.26,22.66,80.81,-144.55,99.06
8,f07.png,0.6803,0.3202,49735,0,31.1,-56.92,-45.66,21.12,94.38,24.32,99.99,-77.51,-78.45,-88.89,-34.12,-16.14,99.34,-90.61,-63.26,22.66,80.81,-144.55,99.06
9,f08.png,0.7015,0.2989,49735,0,31.0,-56.92,-45.66,21.12,94.38,24.32,99.99,-77.51,-78.45,-88.89,-34.12,-16.14,99.34,-90.61,-63.26,22.66,80.81,-144.55,99.06
10,f09.png,0.6789,0.3216,49735,0,31.0,-56.92,-45.66,21.12,94.38,24.32,99.99,-77.51,-78.45,-88.89,-34.12,-16.14,99.34,-90.61,-63.26,22.66,80.81,-144.55,99.06
11,f10.png,0.6877,0.3128,49735,0,31.3,-56.92,-45.66,21.12,94.38,24.32,99.99,-77.51,-78.45,-88.89,-34.12,-16.14,99.34,-90.61,-63.26,22.66,80.81,-144.55,99.06
12,f11.png,0.6795,0.321,49735,0,31.7,-56.92,-45.66,21.12,94.38,24.32,99.99,-77.51,-78.45,-88.89,-34.12,-16.14,99.34,-90.61,-63.26,22.66,80.81,-144.55,99.06
13,f12.png,0.7028,0.2975,49735,0,31.3,-56.92,-45.66,21.12,94.38,24.32,99.99,-77.51,-78.45,-88.89,-34.12,-16.14,99.34,-90.61,-63.26,22.66,80.81,-144.55,99.06
