frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.844,0.1563,30512,0,21.2,-68.41,-45.78,-6.62,94.89,162.78,-9.99,32.13,-36.43,46.31,64.0,-26.19,63.56,70.22,-94.44,56.57,-8.96,69.73,56.58
2,f01.png,0.8393,0.161,26768,0,18.7,-68.41,-45.78,-6.62,94.89,162.78,-9.99,31.5,-36.21,46.35,64.4,-29.3,63.78,70.22,-94.44,56.57,-8.96,69.73,56.58
3,f02.png,0.8195,0.1807,26768,0,18.7,-64.37,-53.14,-9.02,95.0,162.77,-9.9,30.6,-38.72,47.73,67.15,-23.16,63.76,58.76,-97.65,63.99,-14.45,51.53,54.9
4,f03.png,0.8248,0.1755,26768,0,18.7,-66.72,-48.51,-4.87,94.99,162.28,-9.99,27.97,-40.07,48.56,66.49,-31.76,64.26,71.11,-99.97,59.4,-17.54,73.26,56.11
5,f04.png,0.8351,0.1651,26768,0,17.3,-66.14,-48.81,-4.89,94.97,162.79,-9.76,27.86,-39.82,48.05,67.17,-32.08,64.23,69.16,-98.75,59.17,-17.36,72.47,56.68
6,f05.png,0.8281,0.1722,26768,0,16.1,-66.53,-48.4,-5.11,94.96,162.75,-8.0,27.86,-39.82,48.05,67.17,-32.08,64.23,66.64,-99.87,56.3,-13.79,77.59,55.25
7,f06.png,0.8281,0.1722,26768,0,16.1,-66.6,-48.36,-5.08,94.9,162.59,-4.24,28.12,-40.0,47.42,70.23,-26.11,64.73,66.59,-99.72,56.23,-13.81,77.94,54.78
8,f07.png,0.8311,0.1691,26768,0,16.1,-66.64,-48.36,-5.14,94.99,162.76,-3.84,28.12,-40.0,47.42,70.23,-26.11,64.73,66.44,-99.97,56.06,-11.88,76.93,54.18
9,f08.png,0.8326,0.1677,26768,0,16.2,-66.63,-48.35,-5.15,94.96,162.78,-3.68,27.48,-39.83,47.25,70.39,-26.09,64.83,66.67,-99.75,55.62,-10.9,79.22,51.15
10,f09.png,0.8299,0.1704,26768,0,16.0,-67.06,-47.96,-5.33,94.88,162.78,-6.0,27.65,-39.94,47.87,67.05,-32.7,64.75,70.02,-94.2,54.71,-7.88,70.36,51.02
