frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.7606,0.2396,51655,0,37.1,-80.78,-72.97,-6.0,-94.98,97.8,56.52,-66.73,-50.28,-74.5,-58.24,-108.91,51.59,103.06,6.23,-2.62,0.89,-85.26,-3.04
2,f01.png,0.8182,0.1819,26768,0,18.9,-80.78,-72.97,-6.0,-94.98,97.8,56.52,-59.66,-38.7,-89.82,-60.5,-76.53,51.78,103.06,6.23,-2.62,0.89,-85.26,-3.04
3,f02.png,0.8192,0.1809,26768,0,18.9,-80.78,-72.97,-6.0,-94.98,97.8,56.52,-58.96,-38.2,-87.42,-66.88,-74.64,52.28,103.06,6.23,-2.62,0.89,-85.26,-3.04
4,f03.png,0.8254,0.1747,26768,0,18.0,-80.78,-72.97,-6.0,-94.98,97.8,56.52,-63.09,-42.02,-78.49,-76.44,-83.7,54.31,102.96,11.72,-5.13,-9.6,-83.68,1.28
5,f04.png,0.8186,0.1815,26768,0,16.4,-80.19,-76.11,-0.49,-94.82,103.77,58.39,-62.76,-44.23,-74.7,-74.44,-82.74,53.5,106.64,4.8,4.43,-19.34,-97.56,-1.02
6,f05.png,0.751,0.2491,5930,0,4.2,-83.37,-76.11,-0.49,-94.82,103.77,58.39,-65.93,-44.23,-74.7,-74.44,-82.74,53.5,103.46,4.8,4.43,-19.34,-97.56,-1.02
7,f06.png,0.755,0.2452,28592,0,17.3,-85.65,-82.88,13.25,-94.47,111.2,54.04,-70.82,-43.31,-78.47,-65.69,-75.34,53.92,103.46,4.8,4.43,-19.34,-97.56,-1.02
8,f07.png,0.7555,0.2447,28592,0,17.3,-85.72,-83.86,14.14,-94.26,111.64,49.11,-71.42,-42.19,-81.91,-61.96,-75.97,53.19,102.84,2.0,7.69,-18.53,-92.27,-1.46
9,f08.png,0.7552,0.2449,26768,0,16.2,-85.67,-84.24,14.92,-93.33,109.81,48.26,-71.5,-40.31,-86.47,-57.97,-74.96,53.36,102.66,2.91,7.51,-21.18,-87.87,-3.06
10,f09.png,0.7618,0.2384,26768,0,16.2,-85.69,-84.15,14.64,-93.27,109.6,47.97,-71.5,-40.31,-86.47,-57.97,-74.96,53.36,102.83,2.11,8.07,-21.68,-82.31,-3.49
