frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.6625,0.3376,40135,0,28.3,87.39,-96.38,-93.23,-8.88,97.75,91.34,-80.21,-94.8,70.09,31.65,-79.7,50.08,106.56,-56.54,78.03,-3.76,126.0,54.23
2,f01.png,0.6571,0.343,49735,0,36.7,87.37,-96.48,-93.02,-8.7,97.41,91.45,-84.15,-98.06,76.66,25.41,-69.27,59.55,106.56,-56.54,78.03,-3.76,126.0,54.23
3,f02.png,0.6597,0.3404,49735,0,35.5,82.44,-88.76,-96.82,-9.2,100.84,87.97,-83.87,-99.96,77.86,23.93,-71.89,61.5,106.56,-56.54,78.03,-3.76,126.0,54.23
4,f03.png,0.6559,0.3442,49735,0,32.6,82.01,-88.83,-96.76,-9.33,100.77,88.16,-83.7,-99.97,77.98,23.93,-71.27,61.39,106.99,-57.93,78.86,-2.17,129.03,53.6
5,f04.png,0.6615,0.3387,49735,0,32.4,82.01,-88.83,-96.76,-9.33,100.77,88.16,-83.7,-99.97,77.98,23.93,-71.27,61.39,109.1,-57.69,76.68,1.26,121.63,53.43
6,f05.png,0.6584,0.3418,49735,0,32.2,82.01,-88.83,-96.76,-9.33,100.77,88.16,-83.7,-99.97,77.98,23.93,-71.27,61.39,109.33,-57.53,76.65,1.15,125.25,51.45
7,f06.png,0.6542,0.3459,49735,0,32.5,82.01,-88.83,-96.76,-9.33,100.77,88.16,-84.48,-99.71,76.63,26.77,-70.85,61.15,109.36,-57.55,76.59,1.27,125.32,51.49
8,f07.png,0.6531,0.347,49735,0,32.4,81.45,-88.36,-96.21,-8.02,98.64,93.54,-85.59,-99.12,73.52,33.85,-69.31,59.41,109.99,-57.71,76.76,3.1,138.81,50.39
9,f08.png,0.6509,0.3492,49735,0,32.5,81.45,-88.36,-96.21,-8.02,98.64,93.54,-85.59,-99.12,73.52,33.85,-69.31,59.41,109.92,-53.85,74.51,2.5,149.71,49.47
10,f09.png,0.6494,0.3508,49735,0,32.5,81.45,-88.36,-96.21,-8.02,98.64,93.54,-85.59,-99.12,73.52,33.85,-69.31,59.41,109.92,-53.85,74.51,2.5,149.71,49.47
11,f10.png,0.6417,0.3584,49735,0,32.6,79.33,-88.3,-96.05,-7.2,98.56,93.63,-85.59,-99.12,73.52,33.85,-69.31,59.41,109.92,-53.85,74.51,2.5,149.71,49.47
12,f11.png,0.6495,0.3507,49735,0,32.5,108.06,-96.53,-95.14,-18.54,95.85,86.72,-87.62,-98.96,73.23,36.3,-66.75,61.94,109.97,-50.42,72.85,0.9,160.14,41.35
13,f12.png,0.6439,0.3563,49735,0,32.6,108.06,-96.53,-95.14,-18.54,95.85,86.72,-87.62,-98.96,73.23,36.3,-66.75,61.94,109.97,-50.42,72.85,0.9,160.14,41.35
14,f13.png,0.6302,0.37,49735,0,32.4,108.06,-96.53,-95.14,-18.54,95.85,86.72,-87.62,-98.96,73.23,36.3,-66.75,61.94,109.97,-50.42,72.85,0.9,160.14,41.35
15,f14.png,0.6221,0.3781,49735,0,32.3,108.06,-96.53,-95.14,-18.54,95.85,86.72,-71.73,-99.96,75.58,37.11,-39.27,64.41,109.97,-50.42,72.85,0.9,160.14,41.35
16,f15.png,0.6188,0.3814,49735,0,32.3,108.06,-96.53,-95.14,-18.54,95.85,86.72,-71.99,-99.99,75.75,36.78,-38.47,64.77,109.97,-50.42,72.85,0.9,160.14,41.35
17,f16.png,0.6114,0.3888,49735,0,32.3,108.28,-96.62,-95.4,-18.47,96.16,86.66,-72.15,-99.39,75.64,36.33,-34.31,62.72,110.0,-46.29,70.04,-0.16,160.87,33.46
18,f17.png,0.6229,0.3774,49735,0,32.3,96.82,-99.96,-91.45,-18.55,93.71,93.37,-64.41,-99.97,66.68,63.6,-19.39,77.56,110.0,-50.36,69.44,5.06,109.53,-9.75
19,f18.png,0.6122,0.3881,49735,0,32.5,96.8,-99.97,-91.32,-18.49,93.82,93.33,-64.41,-99.97,66.68,63.6,-19.39,77.56,110.0,-50.36,69.44,5.06,109.53,-9.75
20,f19.png,0.6085,0.3918,49735,0,32.3,97.07,-99.96,-91.48,-18.66,94.95,93.37,-64.41,-99.97,66.68,63.6,-19.39,77.56,110.0,-50.36,69.44,5.06,109.53,-9.75
21,f20.png,0.6107,0.3896,49735,0,32.2,97.53,-99.92,-92.5,-18.23,95.83,93.95,-63.91,-99.92,70.76,58.3,-10.5,76.02,109.98,-60.66,67.21,23.08,106.58,-9.84
22,f21.png,0.6093,0.3909,49735,0,32.0,97.76,-99.77,-92.43,-18.11,96.08,94.01,-63.91,-99.92,70.76,58.3,-10.5,76.02,110.0,-60.36,66.69,23.92,104.33,-9.81
23,f22.png,0.6082,0.3921,49735,0,32.0,97.9,-99.57,-92.84,-18.13,95.59,93.88,-64.84,-99.9,70.79,58.67,-7.55,75.93,110.0,-60.37,66.8,23.67,104.09,-9.99
24,f23.png,0.6069,0.3934,49735,0,32.0,98.01,-99.55,-93.72,-17.95,95.2,93.88,-66.21,-99.59,69.44,61.21,-7.18,74.78,110.0,-60.37,66.8,23.67,104.09,-9.99
25,f24.png,0.6057,0.3946,49735,0,32.2,98.13,-99.93,-93.57,-17.82,95.56,93.62,-66.69,-99.74,68.27,64.84,-5.47,76.76,110.0,-60.37,66.8,23.67,104.09,-9.99
26,f25.png,0.5984,0.4019,49735,0,32.2,98.2,-99.92,-93.56,-17.87,95.68,93.67,-66.26,-99.75,68.13,66.69,-2.39,79.51,110.0,-60.4,66.79,23.8,104.64,-9.99
27,f26.png,0.5912,0.4091,49735,0,32.0,102.59,-97.91,-81.0,-15.55,81.35,95.4,-60.79,-99.98,65.56,76.7,0.62,94.22,110.0,-55.09,63.88,22.8,108.38,-9.91
28,f27.png,0.58,0.4203,49735,0,31.9,102.38,-97.86,-80.76,-15.71,80.87,95.09,-60.79,-99.98,65.56,76.7,0.62,94.22,110.0,-55.09,63.88,22.8,108.38,-9.91
29,f28.png,0.6108,0.3896,49735,0,32.4,82.18,-91.65,-57.74,-24.85,87.6,81.53,-63.94,-98.83,63.8,78.34,-6.99,94.32,109.81,-57.89,63.38,23.39,109.02,-9.52
30,f29.png,0.6122,0.3882,49735,0,32.2,81.22,-99.7,-43.02,-32.35,71.52,53.33,-63.92,-99.2,63.11,77.62,-8.94,94.38,109.93,-57.86,65.39,19.49,108.21,-9.88
31,f30.png,0.6208,0.3795,49735,0,32.3,80.72,-99.52,-43.19,-32.16,66.49,53.8,-65.12,-100.0,63.24,77.03,-10.78,94.94,109.93,-57.86,65.39,19.49,108.21,-9.88
32,f31.png,0.6269,0.3734,49735,0,32.3,80.73,-99.33,-43.63,-31.9,65.46,53.62,-66.41,-99.98,64.55,77.12,-7.43,96.97,109.66,-57.95,63.23,23.98,103.65,-9.97
