frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.6491,0.3512,48359,0,35.2,47.18,-48.7,62.8,-15.44,45.12,-10.0,80.49,-100.0,63.57,77.49,95.08,29.18,76.8,-79.93,77.32,43.49,76.23,36.36
2,f01.png,0.6468,0.3534,49735,0,36.4,60.12,-52.71,63.69,-5.65,85.77,-9.78,80.49,-100.0,63.57,77.49,95.08,29.18,76.89,-80.21,77.24,43.21,75.92,36.18
3,f02.png,0.6628,0.3374,49735,0,34.1,60.12,-52.71,63.69,-5.65,85.77,-9.78,80.49,-100.0,63.57,77.49,95.08,29.18,109.78,-84.17,83.61,27.86,96.78,40.47
4,f03.png,0.675,0.3252,49735,0,31.6,60.93,-51.18,64.08,-10.45,90.38,-9.92,78.49,-96.83,65.3,81.78,91.37,32.24,109.9,-85.11,82.92,27.09,96.71,40.4
5,f04.png,0.6708,0.3294,49735,0,31.7,60.93,-51.18,64.08,-10.45,90.38,-9.92,79.15,-95.64,65.53,82.58,87.21,33.44,109.99,-85.96,84.71,21.91,95.09,41.44
6,f05.png,0.6787,0.3215,49735,0,31.5,62.51,-51.41,64.66,-10.77,88.79,-9.81,79.15,-95.64,65.53,82.58,87.21,33.44,110.0,-80.62,83.69,19.31,98.12,41.67
7,f06.png,0.6768,0.3234,49735,0,31.6,62.53,-51.32,64.58,-10.69,88.76,-9.94,79.15,-95.64,65.53,82.58,87.21,33.44,109.8,-79.25,82.42,18.63,94.41,42.27
8,f07.png,0.6738,0.3264,49735,0,31.5,62.53,-51.32,64.58,-10.69,88.76,-9.94,79.15,-95.64,65.53,82.58,87.21,33.44,109.99,-77.5,81.85,18.11,94.35,42.72
9,f08.png,0.6665,0.3337,49735,0,31.7,64.0,-53.66,65.87,-9.9,88.44,-9.98,79.15,-95.64,65.53,82.58,87.21,33.44,110.0,-75.88,80.58,18.8,92.04,42.54
10,f09.png,0.6616,0.3386,49735,0,32.0,64.02,-53.77,65.7,-9.74,89.61,-9.41,78.14,-99.65,64.13,87.6,93.62,33.3,110.0,-75.88,80.58,18.8,92.04,42.54
11,f10.png,0.6543,0.3459,49735,0,31.8,66.28,-56.04,65.69,-5.45,93.76,-8.76,78.04,-99.67,64.13,87.7,93.32,33.07,110.0,-75.88,80.58,18.8,92.04,42.54
12,f11.png,0.6506,0.3496,49735,0,32.0,66.05,-55.16,65.38,-6.42,89.59,-8.55,77.43,-99.59,65.17,93.22,93.6,36.66,109.82,-70.96,78.7,18.86,93.07,45.23
13,f12.png,0.6473,0.3529,49735,0,32.3,66.05,-55.16,65.38,-6.42,89.59,-8.55,77.72,-99.75,64.02,93.94,93.64,36.52,109.7,-70.88,78.72,18.65,93.09,45.31
14,f13.png,0.6407,0.3595,49735,0,32.3,64.06,-56.39,65.31,-4.65,90.45,-9.5,78.0,-99.88,63.85,94.67,91.17,34.88,109.98,-70.7,78.64,19.43,94.58,45.17
15,f14.png,0.638,0.3622,49735,0,32.3,64.06,-56.39,65.31,-4.65,90.45,-9.5,78.0,-99.88,63.85,94.67,91.17,34.88,109.99,-69.99,78.46,19.25,95.76,45.36
16,f15.png,0.6302,0.37,49735,0,32.2,65.28,-58.84,66.63,-3.77,88.34,-9.6,81.81,-99.97,65.13,88.77,92.5,37.63,109.98,-70.33,78.56,15.82,105.23,43.77
17,f16.png,0.6264,0.3738,49735,0,32.0,65.28,-58.84,66.63,-3.77,88.34,-9.6,85.39,-99.88,66.4,83.73,95.05,39.5,110.0,-73.76,77.51,23.26,108.56,44.27
18,f17.png,0.6162,0.3841,49735,0,31.9,66.83,-62.66,68.31,-1.98,87.9,-9.77,87.38,-99.97,65.47,85.03,97.5,44.68,110.0,-73.76,77.51,23.26,108.56,44.27
19,f18.png,0.6066,0.3936,49735,0,32.0,66.83,-62.66,68.31,-1.98,87.9,-9.77,87.38,-99.97,65.47,85.03,97.5,44.68,110.0,-73.76,77.51,23.26,108.56,44.27
20,f19.png,0.6051,0.3951,49735,0,31.9,66.83,-62.66,68.31,-1.98,87.9,-9.77,89.11,-97.43,66.51,85.72,95.64,47.68,109.99,-70.74,75.36,23.66,104.08,44.74
21,f20.png,0.6069,0.3933,49735,0,31.7,66.22,-68.06,68.11,7.24,92.55,-9.95,89.33,-97.52,66.14,84.71,100.14,46.68,109.99,-70.61,75.29,23.65,103.65,44.74
22,f21.png,0.6089,0.3913,49735,0,32.0,66.29,-68.48,67.72,8.96,92.15,-9.19,86.79,-99.49,72.14,79.43,96.3,47.9,109.99,-70.61,75.29,23.65,103.65,44.74
23,f22.png,0.6034,0.3968,49735,0,31.7,66.3,-68.38,67.67,8.94,92.3,-9.25,86.79,-99.49,72.14,79.43,96.3,47.9,110.0,-69.84,72.69,28.79,105.26,44.59
24,f23.png,0.601,0.3992,49735,0,31.8,67.71,-70.59,67.72,11.77,92.24,-9.31,89.75,-100.0,72.6,78.5,92.82,47.92,110.0,-69.84,72.69,28.79,105.26,44.59
25,f24.png,0.6134,0.3868,49735,0,31.6,69.16,-70.91,67.57,13.72,90.87,-8.18,109.25,-99.9,73.2,64.31,126.08,60.79,110.0,-75.14,71.14,34.0,100.77,-9.69
26,f25.png,0.639,0.3613,49735,0,31.9,109.98,-50.86,57.05,8.95,86.25,4.79,109.98,-99.86,73.04,72.08,147.67,57.26,110.0,-86.61,71.41,60.55,115.88,-4.29
27,f26.png,0.6201,0.3801,49735,0,32.1,109.98,-50.86,57.05,8.95,86.25,4.79,107.89,-91.86,72.07,64.63,132.7,56.92,110.0,-86.61,71.41,60.55,115.88,-4.29
28,f27.png,0.6081,0.3921,49735,0,31.8,109.98,-50.86,57.05,8.95,86.25,4.79,108.04,-96.29,72.99,64.08,127.39,57.64,110.0,-86.81,71.44,59.69,114.45,-4.49
29,f28.png,0.597,0.4033,49735,0,32.0,109.98,-50.86,57.05,8.95,86.25,4.79,109.22,-98.12,75.13,65.51,127.61,58.01,110.0,-86.81,71.44,59.69,114.45,-4.49
30,f29.png,0.5927,0.4076,49735,0,31.6,110.0,-50.22,55.16,12.97,97.32,10.47,108.02,-77.67,70.27,55.0,134.87,93.18,109.12,-82.65,70.64,46.94,106.08,13.74
31,f30.png,0.59,0.4103,49735,0,31.7,110.0,-50.22,55.16,12.97,97.32,10.47,108.02,-77.67,70.27,55.0,134.87,93.18,109.95,-79.35,70.78,45.92,106.83,12.14
32,f31.png,0.5901,0.4101,49735,0,32.0,110.0,-50.22,55.16,12.97,97.32,10.47,109.77,-76.9,68.81,54.38,132.23,92.55,109.97,-78.73,70.67,45.67,107.71,12.18
