frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.6715,0.3288,27847,0,19.8,83.97,-61.64,-96.76,-94.99,15.05,97.42,96.85,-26.74,20.89,26.95,-98.47,4.97,-94.56,-83.52,-83.35,3.82,162.75,-0.02
2,f01.png,0.756,0.2441,34951,0,24.7,79.07,-88.46,-96.83,-88.94,-5.95,88.6,97.32,-21.29,16.16,28.52,-83.03,2.67,-86.22,-83.69,-88.91,-14.12,140.06,3.34
3,f02.png,0.7523,0.2479,28592,0,19.7,79.07,-88.46,-96.83,-88.94,-5.95,88.6,97.73,-20.81,14.11,31.52,-87.31,5.46,-86.22,-83.69,-88.91,-14.12,140.06,3.34
4,f03.png,0.7549,0.2453,28592,0,19.9,79.07,-88.46,-96.83,-88.94,-5.95,88.6,98.14,-23.86,15.54,34.22,-96.26,4.4,-85.69,-83.76,-88.9,-14.55,140.14,3.29
5,f04.png,0.7521,0.248,28592,0,17.4,79.07,-88.46,-96.83,-88.94,-5.95,88.6,98.66,-30.03,20.2,34.77,-98.48,4.21,-85.69,-83.76,-88.9,-14.55,140.14,3.29
6,f05.png,0.7382,0.262,49735,0,31.2,79.07,-88.46,-96.83,-88.94,-5.95,88.6,98.66,-30.03,20.2,34.77,-98.48,4.21,-85.43,-84.01,-89.08,-14.68,140.16,3.2
7,f06.png,0.7325,0.2677,49735,0,31.1,79.07,-88.46,-96.83,-88.94,-5.95,88.6,101.32,-28.02,16.36,39.35,-100.23,-1.57,-85.07,-83.31,-89.66,-15.56,140.7,3.09
8,f07.png,0.7445,0.2557,49735,0,31.0,87.0,-94.98,-95.59,-94.33,-51.47,98.19,103.99,-33.36,22.07,40.84,-71.0,-9.95,-86.26,-83.65,-89.55,-23.24,135.94,57.89
9,f08.png,0.7301,0.27,49735,0,31.3,87.0,-94.98,-95.59,-94.33,-51.47,98.19,105.26,-33.61,22.16,40.31,-73.15,-9.96,-86.26,-83.65,-89.55,-23.24,135.94,57.89
10,f09.png,0.7157,0.2845,49735,0,31.2,87.0,-94.98,-95.59,-94.33,-51.47,98.19,106.59,-36.15,24.71,39.43,-81.39,-9.27,-86.26,-83.65,-89.55,-23.24,135.94,57.89
11,f10.png,0.7093,0.2909,49735,0,31.3,87.0,-94.98,-95.59,-94.33,-51.47,98.19,106.59,-36.15,24.71,39.43,-81.39,-9.27,-86.26,-83.65,-89.55,-23.24,135.94,57.89
12,f11.png,0.7274,0.2728,49735,0,30.9,86.51,-99.92,-78.6,-93.87,-23.35,89.69,105.53,-37.67,25.84,51.48,-81.55,-10.0,-102.63,-99.88,-48.19,-19.43,128.01,48.13
13,f12.png,0.7311,0.269,49735,0,31.1,86.51,-99.92,-78.6,-93.87,-23.35,89.69,105.03,-26.36,16.97,47.55,-46.25,-8.8,-102.52,-88.69,-63.54,-25.86,131.02,48.31
14,f13.png,0.7605,0.2396,49735,0,31.2,76.95,-99.76,-76.69,-82.2,-47.32,96.89,105.68,-22.78,14.86,50.37,-29.09,4.75,-104.4,-65.78,-89.21,-54.82,138.74,97.1
15,f14.png,0.7455,0.2546,49735,0,31.3,76.95,-99.76,-76.69,-82.2,-47.32,96.89,105.68,-22.78,14.86,50.37,-29.09,4.75,-104.77,-64.84,-92.42,-55.84,139.49,97.34
16,f15.png,0.7335,0.2666,49735,0,31.4,76.95,-99.76,-76.69,-82.2,-47.32,96.89,105.68,-22.78,14.86,50.37,-29.09,4.75,-105.59,-65.09,-92.67,-56.25,142.2,98.31
17,f16.png,0.7672,0.233,49735,0,31.2,83.12,-65.26,-76.34,-54.16,21.39,31.24,108.06,-4.54,1.6,37.27,-8.77,-3.58,-107.77,-66.05,-96.72,-49.56,162.79,60.86
18,f17.png,0.7642,0.236,26768,0,15.8,83.12,-65.26,-76.34,-54.16,21.39,31.24,108.39,-8.66,7.01,37.66,-15.75,-5.06,-108.16,-70.62,-90.66,-48.61,162.04,60.48
19,f18.png,0.7621,0.238,26768,0,15.8,83.12,-65.26,-76.34,-54.16,21.39,31.24,110.0,-10.39,7.75,39.18,-17.65,-4.09,-108.96,-70.7,-89.81,-53.48,162.65,60.03
20,f19.png,0.7722,0.2279,26768,0,15.8,82.81,-64.41,-78.37,-56.14,39.5,31.71,110.0,-11.86,7.9,45.18,-24.76,-6.04,-109.04,-69.87,-88.33,-59.73,162.78,60.15
21,f20.png,0.7781,0.222,26768,0,15.8,82.73,-69.13,-71.61,-58.04,45.18,31.69,109.98,-9.61,5.55,46.39,-24.73,-7.4,-109.67,-69.35,-89.23,-64.75,162.72,59.97
22,f21.png,0.7967,0.2034,26768,0,15.9,82.73,-69.13,-71.61,-58.04,45.18,31.69,110.0,0.18,-2.68,45.16,-23.3,-8.8,-109.78,-69.19,-89.53,-66.57,162.75,61.56
23,f22.png,0.7961,0.204,26768,0,15.9,82.32,-69.26,-71.91,-57.64,39.94,31.97,109.98,6.14,-10.25,48.41,-22.13,-9.38,-110.0,-68.39,-90.66,-68.96,162.79,61.43
24,f23.png,0.8121,0.188,26768,0,15.8,82.16,-72.92,-65.92,-60.16,38.61,34.47,110.0,10.91,-13.1,48.1,-15.46,-9.99,-110.0,-69.31,-92.39,-68.92,162.77,61.3
25,f24.png,0.8215,0.1786,26768,0,15.8,82.33,-73.25,-66.11,-59.06,40.36,34.58,110.0,17.56,-20.59,49.18,-21.07,-10.0,-110.0,-69.31,-92.39,-68.92,162.77,61.3
26,f25.png,0.8392,0.1609,26768,0,15.9,83.23,-75.27,-63.52,-57.59,83.56,41.13,110.0,19.67,-22.29,51.09,-21.3,-9.42,-109.0,-70.64,-93.58,-70.43,162.68,61.37
27,f26.png,0.8458,0.1543,26768,0,15.8,83.23,-75.27,-63.52,-57.59,83.56,41.13,110.0,19.67,-22.29,51.09,-21.3,-9.42,-110.0,-72.67,-89.8,-58.32,162.55,60.04
28,f27.png,0.8506,0.1495,26768,0,15.8,82.4,-75.06,-65.23,-56.39,85.68,42.69,110.0,20.06,-22.91,54.84,-5.26,-9.56,-109.97,-70.84,-93.78,-57.1,162.72,58.02
29,f28.png,0.8498,0.1503,26768,0,15.7,82.64,-76.9,-62.59,-56.57,85.09,42.39,110.0,20.38,-23.41,55.26,-4.61,-9.74,-109.97,-70.84,-93.78,-57.1,162.72,58.02
30,f29.png,0.8478,0.1523,26768,0,15.7,82.64,-76.9,-62.59,-56.57,85.09,42.39,110.0,20.38,-23.41,55.26,-4.61,-9.74,-109.97,-70.84,-93.78,-57.1,162.72,58.02
31,f30.png,0.8486,0.1515,26768,0,15.8,83.07,-75.43,-65.06,-55.77,85.24,39.82,110.0,20.38,-23.41,55.26,-4.61,-9.74,-109.91,-70.26,-94.78,-56.69,162.79,58.18
32,f31.png,0.8471,0.153,26768,0,15.8,82.65,-76.89,-62.61,-56.42,85.58,42.2,110.0,20.38,-23.41,55.26,-4.61,-9.74,-109.91,-70.26,-94.78,-56.69,162.79,58.18
