frame,target,iou,loss,evals,surr_pct,time_s,q_r0_j0_deg,q_r0_j1_deg,q_r0_j2_deg,q_r0_j3_deg,q_r0_j4_deg,q_r0_j5_deg,q_r1_j0_deg,q_r1_j1_deg,q_r1_j2_deg,q_r1_j3_deg,q_r1_j4_deg,q_r1_j5_deg,q_r2_j0_deg,q_r2_j1_deg,q_r2_j2_deg,q_r2_j3_deg,q_r2_j4_deg,q_r2_j5_deg
1,f00.png,0.7429,0.2573,31335,0,22.3,-82.2,-99.51,-2.35,94.92,29.47,-9.83,101.54,-27.7,4.18,52.31,-79.1,-9.14,-84.21,-91.77,-47.86,-75.72,-16.81,18.14
2,f01.png,0.7518,0.2484,28592,0,19.5,-82.2,-99.51,-2.35,94.92,29.47,-9.83,100.16,-3.85,-17.8,48.98,-74.49,-9.43,-84.21,-91.77,-47.86,-75.72,-16.81,18.14
3,f02.png,0.7628,0.2373,26768,0,18.3,-81.15,-97.17,-3.34,94.88,38.08,-9.91,100.52,-4.19,-20.75,57.78,-78.99,-8.51,-84.21,-91.77,-47.86,-75.72,-16.81,18.14
4,f03.png,0.7652,0.2349,26768,0,18.3,-81.24,-99.39,1.0,90.46,39.49,-9.79,100.49,-3.98,-21.06,58.11,-79.59,-8.67,-84.94,-93.84,-45.12,-81.4,-6.55,18.99
5,f04.png,0.7713,0.2289,26768,0,16.5,-81.01,-94.0,1.88,91.89,40.6,-9.98,102.04,-7.29,-19.03,61.68,-63.61,-9.95,-84.94,-93.84,-45.12,-81.4,-6.55,18.99
6,f05.png,0.7657,0.2345,26768,0,15.6,-80.49,-92.42,2.69,90.22,44.54,-8.43,103.37,-7.72,-17.19,57.15,-42.83,-9.41,-84.94,-93.84,-45.12,-81.4,-6.55,18.99
7,f06.png,0.7631,0.237,26768,0,15.7,-80.24,-92.06,6.65,87.48,45.83,-8.18,103.64,-4.01,-22.79,63.84,-34.1,-9.3,-84.94,-93.84,-45.12,-81.4,-6.55,18.99
8,f07.png,0.7657,0.2345,26768,0,15.6,-79.83,-94.37,15.07,78.35,33.86,-7.83,104.49,-5.95,-21.68,64.36,-32.49,-9.98,-84.94,-93.84,-45.12,-81.4,-6.55,18.99
9,f08.png,0.761,0.2392,26768,0,15.6,-79.25,-94.34,20.68,70.53,21.02,-8.81,105.7,-7.54,-18.29,58.61,-27.69,-8.93,-84.94,-93.84,-45.12,-81.4,-6.55,18.99
10,f09.png,0.7587,0.2415,28592,0,16.6,-76.62,-96.63,27.36,62.34,7.78,-9.07,107.49,-8.75,-17.39,61.23,-20.52,-9.61,-84.94,-93.84,-45.12,-81.4,-6.55,18.99
11,f10.png,0.7586,0.2416,26768,0,15.6,-77.34,-92.28,24.02,66.57,7.24,-9.76,107.49,-8.75,-17.39,61.23,-20.52,-9.61,-84.94,-93.84,-45.12,-81.4,-6.55,18.99
12,f11.png,0.789,0.2112,28592,0,16.5,-74.98,-95.63,27.5,64.45,14.82,-9.98,108.92,-7.11,-12.74,50.35,-12.08,-5.25,-87.33,-73.8,-37.52,-82.47,-31.2,5.86
13,f12.png,0.7795,0.2206,26768,0,15.8,-73.14,-94.15,25.2,67.89,7.53,-10.0,108.91,2.12,-21.19,47.98,-15.31,-4.0,-87.39,-73.9,-35.62,-81.19,-29.43,6.41
14,f13.png,0.7732,0.2269,26768,0,15.7,-73.12,-92.73,24.47,70.96,0.04,-10.0,108.24,10.52,-31.98,53.55,-14.76,-3.34,-87.3,-74.44,-33.88,-79.48,-30.45,6.74
15,f14.png,0.7758,0.2244,28592,0,16.6,-72.68,-91.0,26.44,67.54,-2.99,-9.92,108.77,25.03,-54.33,62.59,-16.23,-2.92,-87.33,-74.52,-33.49,-79.29,-30.23,6.78
16,f15.png,0.7687,0.2314,26768,0,15.6,-72.84,-90.8,27.33,69.18,-2.08,-9.95,107.98,28.07,-63.37,73.61,-15.3,-4.53,-87.34,-74.73,-32.92,-79.05,-30.17,7.2
17,f16.png,0.7707,0.2295,28592,0,16.6,-74.4,-76.11,17.18,77.27,-11.57,-10.0,108.19,30.9,-67.99,79.81,-13.18,-4.9,-87.19,-75.29,-31.46,-79.1,-29.18,7.74
18,f17.png,0.7774,0.2227,26768,0,15.8,-74.06,-76.38,15.41,82.12,-20.45,-9.98,109.43,35.99,-77.99,85.21,-16.89,-1.37,-85.49,-75.07,-32.59,-80.81,-30.62,7.67
19,f18.png,0.78,0.2202,26768,0,15.7,-70.42,-75.8,15.63,82.16,-21.1,-9.75,109.41,35.11,-76.62,90.05,-20.36,0.06,-85.22,-74.87,-33.05,-81.14,-30.94,7.84
20,f19.png,0.7861,0.214,26768,0,15.8,-71.53,-74.47,18.49,77.74,-32.28,-9.98,109.94,36.59,-80.43,94.49,-17.44,-1.94,-83.86,-74.85,-32.38,-84.69,-33.01,7.79
21,f20.png,0.7873,0.2128,26768,0,15.8,-72.01,-73.93,18.96,78.07,-31.38,-9.94,110.0,39.97,-81.94,89.89,-17.66,-2.21,-81.7,-76.11,-33.35,-85.23,-34.39,7.9
22,f21.png,0.7892,0.2109,26768,0,15.8,-71.69,-73.67,19.73,78.69,-27.13,-9.91,110.0,43.84,-85.22,90.16,-22.42,-3.36,-81.48,-76.24,-33.98,-86.24,-34.81,7.92
23,f22.png,0.7888,0.2113,26768,0,15.8,-71.72,-72.77,22.41,74.61,-33.7,-9.99,110.0,46.44,-90.09,92.19,-25.43,-7.05,-80.65,-78.78,-30.7,-88.61,-34.3,8.22
24,f23.png,0.7933,0.2068,26768,0,15.8,-74.58,-70.64,23.5,72.4,-32.89,-10.0,110.0,49.07,-91.02,91.31,-25.57,-7.05,-80.74,-78.94,-30.75,-88.7,-33.1,8.29
25,f24.png,0.7909,0.2092,26768,0,15.9,-73.63,-72.72,25.38,71.88,-10.29,-9.99,110.0,49.03,-90.8,91.77,-18.52,-7.47,-80.95,-79.45,-31.08,-89.42,-32.69,8.05
26,f25.png,0.7992,0.201,26768,0,15.9,-73.66,-72.07,26.4,72.01,-9.81,-10.0,109.95,49.09,-89.46,95.0,-22.04,-8.71,-79.24,-83.52,-27.11,-88.18,-32.1,7.83
27,f26.png,0.7974,0.2027,26768,0,15.8,-73.8,-76.09,25.98,76.03,1.27,-6.27,110.0,47.86,-86.91,95.0,-27.83,-9.0,-79.08,-83.69,-26.64,-87.58,-32.4,7.99
28,f27.png,0.7986,0.2015,26768,0,15.9,-74.67,-75.25,27.64,73.36,4.06,-5.03,109.99,49.34,-86.05,94.95,-24.52,-8.88,-79.01,-85.89,-27.55,-87.29,-32.78,8.25
29,f28.png,0.8118,0.1883,26768,0,15.9,-74.34,-76.93,30.14,69.67,4.17,10.38,110.0,49.41,-86.11,94.9,-24.38,-8.77,-79.18,-85.81,-27.62,-87.13,-33.19,8.24
30,f29.png,0.8191,0.181,26768,0,15.9,-73.63,-76.11,27.94,74.07,4.99,14.69,109.97,49.63,-86.39,94.82,-23.78,-8.93,-79.49,-85.76,-28.0,-86.64,-33.09,8.73
31,f30.png,0.8197,0.1804,26768,0,15.8,-73.63,-76.11,27.94,74.07,4.99,14.69,110.0,49.7,-86.54,95.0,-23.71,-9.09,-79.33,-86.19,-27.0,-86.46,-35.37,7.84
32,f31.png,0.8185,0.1816,26768,0,15.8,-73.63,-76.11,27.94,74.07,4.99,14.69,110.0,49.71,-86.54,95.0,-23.67,-9.08,-79.36,-85.97,-27.5,-86.12,-35.81,7.86
